mode_i,mode_j,pos_i,pos_j,s_ij
1,4,0.25332666666666664,0.013306666666666578,0.24002000000000007
1,6,0.25332666666666664,0.5199599999999998,0.2666333333333331
1,27,0.25332666666666664,0.8398199999999996,0.41350666666666713
1,37,0.25332666666666664,0.3730866666666657,0.11975999999999903
1,40,0.25332666666666664,0.13306666666666622,0.12026000000000042
1,46,0.25332666666666664,0.6530266666666655,0.3996999999999989
4,6,0.013306666666666578,0.5199599999999998,0.4933466666666668
4,27,0.013306666666666578,0.8398199999999996,0.173486666666667
4,37,0.013306666666666578,0.3730866666666657,0.3597799999999991
4,40,0.013306666666666578,0.13306666666666622,0.11975999999999964
4,46,0.013306666666666578,0.6530266666666655,0.36028000000000104
6,27,0.5199599999999998,0.8398199999999996,0.3198599999999998
6,37,0.5199599999999998,0.3730866666666657,0.14687333333333408
6,40,0.5199599999999998,0.13306666666666622,0.38689333333333353
6,46,0.5199599999999998,0.6530266666666655,0.13306666666666578
27,37,0.8398199999999996,0.3730866666666657,0.4667333333333339
27,40,0.8398199999999996,0.13306666666666622,0.29324666666666666
27,46,0.8398199999999996,0.6530266666666655,0.18679333333333403
37,40,0.3730866666666657,0.13306666666666622,0.24001999999999946
37,46,0.3730866666666657,0.6530266666666655,0.27993999999999986
40,46,0.13306666666666622,0.6530266666666655,0.4800400000000007
