rho_L_over_R,k_plane_concave,k_symmetric_double_concave_near_planar,naive_2x_k_plane_concave,k_dc_over_k_pc,k_dc_over_naive_2kpc
0.025,0.050541312052129986,0.07132537856102254,0.10108262410425997,1.4112292630522765,0.7056146315261382
0.05,0.07178314656435321,0.10108262410425992,0.14356629312870642,1.4081665257406888,0.7040832628703444
0.075,0.0883009183806989,0.12406469449567502,0.1766018367613978,1.4050215645638573,0.7025107822819286
0.1,0.10241638234956676,0.14356629312870625,0.20483276469913353,1.4017903174775979,0.7008951587387989
0.125,0.11502672808130796,0.16086124651033248,0.2300534561626159,1.3984684185455216,0.6992342092727608
0.15,0.12659165555331747,0.1766018367613979,0.25318331110663495,1.3950511665993444,0.6975255832996722
0.175,0.13738443924026525,0.19117504816538586,0.2747688784805305,1.3915334896920073,0.6957667448460036
0.2,0.1475836176504333,0.20483276469913342,0.2951672353008666,1.3879099046365737,0.6939549523182869
0.225,0.15731385286324515,0.21774981903323856,0.3146277057264903,1.3841744707793224,0.6920872353896612
0.25,0.16666666666666669,0.2300534561626159,0.33333333333333337,1.3803207369756954,0.6901603684878477
0.275,0.17571198902665836,0.2418397342631803,0.3514239780533167,1.3763416805127013,0.6881708402563507
0.3,0.18450505978277268,0.253183311106635,0.36901011956554536,1.3722296364377258,0.6861148182188629
0.325,0.19309079134799256,0.26414360997555036,0.3861815826959851,1.3679762153934354,0.6839881076967177
0.35,0.20150665798966083,0.27476887848053044,0.40301331597932166,1.363572207597372,0.681786103798686
0.375,0.20978468837241684,0.28509895859172535,0.4195693767448337,1.3590074700094799,0.6795037350047399
0.4,0.2179528915755125,0.2951672353008666,0.435905783151025,1.354270792955285,0.6771353964776425
0.425,0.22603631511478162,0.30500204335892495,0.45207263022956323,1.3493497414521396,0.6746748707260698
0.45,0.23405785978537005,0.31462770572649024,0.4681157195707401,1.3442304651294443,0.6721152325647222
0.475,0.24203893338166982,0.32406531525810195,0.48407786676333964,1.3388974688096364,0.6694487344048182
0.5,0.25,0.33333333333333337,0.5,1.3333333333333335,0.6666666666666667
0.525,0.25796106661833024,0.3424480553991252,0.5159221332366605,1.3275183727852964,0.6637591863926482
0.55,0.26594214021463,0.3514239780533167,0.53188428042926,1.3214302094797694,0.6607151047398847
0.575,0.27396368488521844,0.360274092152535,0.5479273697704369,1.315043241236435,0.6575216206182175
0.6,0.2820471084244875,0.36901011956554536,0.564094216848975,1.3083279655899769,0.6541639827949884
0.625,0.29021531162758313,0.37764270646087694,0.5804306232551663,1.3012501109710035,0.6506250554855018
0.65,0.29849334201033917,0.3861815826959852,0.5969866840206783,1.2937695028474325,0.6468847514237163
0.675,0.30690920865200744,0.39463569450639685,0.6138184173040149,1.2858385587050245,0.6429192793525123
0.7,0.3154949402172273,0.40301331597932166,0.6309898804344546,1.2774002514963805,0.6387001257481902
0.725,0.3242880109733417,0.41132214353973756,0.6485760219466834,1.2683852921517673,0.6341926460758837
0.75,0.33333333333333337,0.4195693767448338,0.6666666666666667,1.2587081302345013,0.6293540651172507
0.775,0.3426861471367549,0.4277617879838115,0.6853722942735098,1.2482611029301562,0.6241305514650781
0.8,0.3524163823495668,0.43590578315102513,0.7048327646991336,1.2369055611002897,0.6184527805501449
0.825,0.3626155607597348,0.44400745495673516,0.7252311215194696,1.2244578087781781,0.6122289043890891
0.85,0.3734083444466825,0.4520726302295631,0.746816688893365,1.210665580865488,0.605332790432744
0.875,0.3849732719186921,0.46010691232523176,0.7699465438373841,1.1951658618586078,0.5975829309293039
0.9,0.39758361765043326,0.4681157195707401,0.7951672353008665,1.1774019320441937,0.5887009660220969
0.925,0.41169908161930113,0.47610432052960916,0.8233981632386023,1.1564376550391815,0.5782188275195908
0.95,0.42821685343564686,0.48407786676333964,0.8564337068712937,1.1304502914341452,0.5652251457170726
0.975,0.4494586879478701,0.4920414236801861,0.8989173758957402,1.0947422685869963,0.5473711342934982
