M,k,one_minus_k,max_distance_matrix_difference
5,0.2,0.8,4.440892098500626e-16
5,0.4,0.6,0.0
9,0.1111111111111111,0.8888888888888888,1.1102230246251565e-15
9,0.2222222222222222,0.7777777777777778,2.220446049250313e-16
17,0.058823529411764705,0.9411764705882353,1.6653345369377348e-15
17,0.11764705882352941,0.8823529411764706,1.9984014443252818e-15
