tau_0,M,F_min,finite_noise,finite_ER_sum_dB,finite_eta_sort,large_M_noise,large_M_ER_sum_dB,large_M_eta_sort
2.0,2,4.0,0.13360846428120055,8.741660278322046,0.8821387908691039,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,3,6.0,0.16746648894323668,7.76072084884308,0.85655563519016,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,4,8.0,0.18029500198446868,7.440163123272461,0.8472458142402257,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,5,10.0,0.18642247012151736,7.295017418659551,0.8428700780570826,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,6,12.0,0.1898034020067203,7.216960076120721,0.8404749879798644,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,7,14.0,0.19186021636557826,7.170150701009888,0.8390245653549617,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,8,16.0,0.1932025939917661,7.1398704692286845,0.8380806453450441,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,9,18.0,0.1941263279493084,7.119155603988167,0.8374323357540533,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,10,20.0,0.19478877733834543,7.104360684041744,0.8369680222706141,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,11,22.0,0.19527983527795967,7.093425999258911,0.8366241699103476,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,12,24.0,0.19565385062299567,7.085116004192548,0.836362463499741,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,13,26.0,0.19594523734056768,7.078652880513941,0.8361586875195953,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,14,28.0,0.1961766401752545,7.073527076949801,0.8359969308993426,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,15,30.0,0.1963634509854426,7.069393440056324,0.8358663909168251,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,16,32.0,0.19651642630214172,7.066011422136449,0.8357595249156088,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,17,34.0,0.19664326609480542,7.063209210973097,0.8356709374745054,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,18,36.0,0.19674959930446034,7.060861434417771,0.8355966867097266,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,19,38.0,0.19683961777217296,7.058874869604384,0.835533838578493,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,20,40.0,0.19691649489487673,7.057179032535447,0.8354801728150871,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,21,42.0,0.19698266864918335,7.055719831842865,0.8354339842936224,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,22,44.0,0.19704003695745187,7.054455197113004,0.8353939460051196,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,23,46.0,0.19709009509646536,7.0533520095159785,0.8353590127394854,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,24,48.0,0.197134033992298,7.052383909459588,0.835328352218941,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,25,50.0,0.1971728116241438,7.051529706101295,0.8353012950931876,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,26,52.0,0.1972072056258274,7.050772207012787,0.8352772981158768,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,27,54.0,0.19723785253655457,7.050097345763162,0.8352559166763127,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,28,56.0,0.19726527743694433,7.049493523789633,0.8352367840657322,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,29,58.0,0.19728991657025663,7.048951108441268,0.8352195956553187,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,30,60.0,0.19731213478388798,7.0484620462301155,0.8352040966998949,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,31,62.0,0.19733223910336095,7.0480195620294115,0.8351900728480042,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,32,64.0,0.1973504893885838,7.0476179230622655,0.8351773426932334,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,33,66.0,0.19736710676765545,7.047252252207505,0.835165751880009,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,34,68.0,0.19738228036252115,7.046918379186348,0.835155168403894,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,35,70.0,0.19739617269064724,7.046612721093726,0.8351454788375664,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,36,72.0,0.19740892403241284,7.046332185841595,0.8351365852798094,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,37,74.0,0.19742065598446645,7.046074093626714,0.8351284028734615,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,38,76.0,0.19743147436792663,7.045836112677398,0.8351208577742268,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,39,78.0,0.1974414716218964,7.04561620638712,0.8351138854791222,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,40,80.0,0.1974507287838243,7.045412589585371,0.8351074294435792,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,41,82.0,0.19745931713620357,7.045223692185263,0.8351014399316383,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,42,84.0,0.1974672995823883,7.045048128818104,0.8350958730553609,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,43,86.0,0.1974747318012351,7.044884673354904,0.8350906899687188,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,44,88.0,0.19748166322033156,7.044732237435213,0.835085856188183,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,45,90.0,0.1974881378396096,7.044589852300066,0.8350813410177922,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,46,92.0,0.1974941949311253,7.04445665335907,0.8350771170606933,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,47,94.0,0.19749986963579724,7.0443318670320485,0.8350731598026278,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,48,96.0,0.19750519347407103,7.044214799490343,0.8350694472555141,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,49,98.0,0.19751019478447263,7.044104826989303,0.8350659596513744,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,50,100.0,0.19751489910137598,7.044001387541837,0.8350626791786953,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,51,102.0,0.19751932948148698,7.043903973723193,0.8350595897545882,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,52,104.0,0.19752350678683395,7.043812126435006,0.8350566768273099,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,53,106.0,0.19752744993074245,7.043725429485574,0.8350539272046197,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,54,108.0,0.1975311760922387,7.043643504866292,0.8350513289041721,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,55,110.0,0.19753470090343694,7.043566008623649,0.8350488710227654,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,56,112.0,0.19753803861373287,7.043492627242513,0.8350465436217772,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,57,114.0,0.1975412022339933,7.043423074470313,0.8350443376265606,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,58,116.0,0.1975442036635362,7.043357088520498,0.8350422447378497,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,59,118.0,0.19754705380215243,7.04329442960561,0.8350402573536043,0.19762901264525268,7.041492990863029,0.834983111999983
2.0,60,120.0,0.19754976264919288,7.043234877755379,0.8350383684998796,0.19762901264525268,7.041492990863029,0.834983111999983
3.0,2,6.0,0.06414265143206865,11.928530918270248,0.9397236344716108,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,3,9.0,0.07806082051233543,11.075668880777421,0.9275914502901256,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,4,12.0,0.0831140294082382,10.803256623732684,0.9232638234280395,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,5,15.0,0.08548637179875129,10.681031147963896,0.9212460201991367,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,6,18.0,0.08678408506568047,10.615599107898072,0.9201459735579072,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,7,21.0,0.08756966791123211,10.576462972558138,0.9194813256612637,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,8,24.0,0.08808079742829356,10.55118762188667,0.9190493962980739,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,9,27.0,0.08843179944424207,10.533915377039246,0.9187530174243387,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,10,30.0,0.08868315590072173,10.521588603716957,0.9185408946394971,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,11,33.0,0.08886928545973216,10.512483116978599,0.9183838807408269,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,12,36.0,0.08901094017364919,10.505566117253036,0.9182644205948419,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,13,39.0,0.08912123346148948,10.500188113780272,0.9181714296596342,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,14,42.0,0.08920878059877269,10.495923969925027,0.9180976299605923,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,15,45.0,0.089279430318852,10.49248589577737,0.9180380829437693,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,16,48.0,0.08933726600386604,10.489673424126778,0.9179893419678998,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,17,51.0,0.08938520840331199,10.48734342952514,0.9179489424734141,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,18,54.0,0.0894253913026708,10.485391508131123,0.9179150843953241,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,19,57.0,0.08945940286480192,10.483740050386913,0.9178864282326052,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,20,60.0,0.08948844485068186,10.482330391150112,0.9178619605617326,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,21,63.0,0.08951344016417861,10.481117518247153,0.9178409032286101,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,22,66.0,0.0895351070337782,10.480066428796789,0.9178226507289569,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,23,69.0,0.08955401115487471,10.479149571805033,0.9178067262035484,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,24,72.0,0.08957060296949249,10.4783450220128,0.9177927499829945,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,25,75.0,0.08958524473453222,10.477635155395806,0.9177804167526527,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,26,78.0,0.08959823045418158,10.477005674759692,0.9177694787400361,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,27,81.0,0.08960980074796288,10.47644488351429,0.9177597331756284,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,28,84.0,0.08962015407319845,10.4759431379184,0.9177510128293956,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,29,87.0,0.08962945528872601,10.475492429367723,0.9177431787900995,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,30,90.0,0.08963784225610127,10.475086062595476,0.9177361148998775,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,31,93.0,0.08964543097583655,10.474718405418283,0.9177297234242939,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,32,96.0,0.08965231961884101,10.474384692403348,0.9177239216540178,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,33,99.0,0.08965859171645896,10.474080869577815,0.9177186392159526,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,34,102.0,0.08966431870399871,10.473803470657458,0.9177138159294399,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,35,105.0,0.0896695619632557,10.473549517689433,0.917709400084831,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,36,108.0,0.08967437447371385,10.473316440756015,0.9177053470519352,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,37,111.0,0.08967880215581436,10.473102012671676,0.917701618148032,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,38,114.0,0.08968288497020338,10.472904295557333,0.9176981797115629,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,39,117.0,0.08968665782236629,10.472721596883956,0.9176950023398502,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,40,120.0,0.0896901513110111,10.472552433116515,0.9176920602585015,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,41,123.0,0.08969339235031648,10.472395499491792,0.917689330797115,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,42,126.0,0.08969640468978768,10.472249644774115,0.9176867939512728,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,43,129.0,0.08969920935047804,10.472113850076116,0.917684432015011,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,44,132.0,0.08970182499268553,10.47198721100945,0.9176822292710324,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,45,135.0,0.089704268227069,10.471868922584374,0.9176801717285953,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,46,138.0,0.08970655387898963,10.471758266381466,0.9176782469008152,0.08975742102876128,10.469296343529383,0.9176354119763389
3.0,47,141.0,0.08970869521390501,10.471654599614856,0.9176764436147813,0.08975742102876128,10.469296343529383,0.9176354119763389
