row\col,1,4,6,10,15,18,22,27,31,37,40,46
1,0,0.275862068966,0.206896551724,0.172413793103,0.379310344828,0.103448275862,0.0689655172414,0.275862068966,0.241379310345,0.310344827586,0.413793103448,0.137931034483
4,0.275862068966,0,0.48275862069,0.448275862069,0.344827586207,0.379310344828,0.344827586207,0.448275862069,0.48275862069,0.0344827586207,0.310344827586,0.137931034483
6,0.206896551724,0.48275862069,0,0.0344827586207,0.172413793103,0.103448275862,0.137931034483,0.0689655172414,0.0344827586207,0.48275862069,0.206896551724,0.344827586207
10,0.172413793103,0.448275862069,0.0344827586207,0,0.206896551724,0.0689655172414,0.103448275862,0.103448275862,0.0689655172414,0.48275862069,0.241379310345,0.310344827586
15,0.379310344828,0.344827586207,0.172413793103,0.206896551724,0,0.275862068966,0.310344827586,0.103448275862,0.137931034483,0.310344827586,0.0344827586207,0.48275862069
18,0.103448275862,0.379310344828,0.103448275862,0.0689655172414,0.275862068966,0,0.0344827586207,0.172413793103,0.137931034483,0.413793103448,0.310344827586,0.241379310345
22,0.0689655172414,0.344827586207,0.137931034483,0.103448275862,0.310344827586,0.0344827586207,0,0.206896551724,0.172413793103,0.379310344828,0.344827586207,0.206896551724
27,0.275862068966,0.448275862069,0.0689655172414,0.103448275862,0.103448275862,0.172413793103,0.206896551724,0,0.0344827586207,0.413793103448,0.137931034483,0.413793103448
31,0.241379310345,0.48275862069,0.0344827586207,0.0689655172414,0.137931034483,0.137931034483,0.172413793103,0.0344827586207,0,0.448275862069,0.172413793103,0.379310344828
37,0.310344827586,0.0344827586207,0.48275862069,0.48275862069,0.310344827586,0.413793103448,0.379310344828,0.413793103448,0.448275862069,0,0.275862068966,0.172413793103
40,0.413793103448,0.310344827586,0.206896551724,0.241379310345,0.0344827586207,0.310344827586,0.344827586207,0.137931034483,0.172413793103,0.275862068966,0,0.448275862069
46,0.137931034483,0.137931034483,0.344827586207,0.310344827586,0.48275862069,0.241379310345,0.206896551724,0.413793103448,0.379310344828,0.172413793103,0.448275862069,0
