N,numeric_k_peak,numeric_lr_peak,numeric_smin_peak,analytic_smin_peak,matched_family_m,matched_family_k,matched_family_lr,abs_error_smin,abs_error_k,visible_peak_families
9,0.444445055550,0.969846967015,0.111109888900,0.111111111111,4,0.444444444444,0.969846310393,1.222211111152e-06,6.111055556035e-07,3
10,0.299999800000,0.654507899621,0.099998600000,0.100000000000,3,0.300000000000,0.654508497187,1.399999999846e-06,1.999999999502e-07,2
30,0.233333400000,0.447735976658,0.033332200000,0.033333333333,7,0.233333333333,0.447735768366,1.133333333965e-06,6.666666668709e-08,4
50,0.220000120000,0.406309713021,0.019998920000,0.020000000000,11,0.220000000000,0.406309342707,1.080000000080e-06,1.200000000201e-07,10
100,0.230000080000,0.437333632563,0.009998960000,0.010000000000,23,0.230000000000,0.437333383218,1.040000000110e-06,8.000000001340e-08,20
