l,fit_role,used_in_k_relative_fit,pos_meas,pos_fit,residual,residual_percent_fsr,residual_mhz,m_l
0,reference,False,0.0,0.0,0.0,0.0,0.0,0
1,anchor,True,0.22442364661964498,0.22275676392399998,0.0016668826956449945,0.16668826956449945,16.52793334588087,-1
2,anchor,True,0.44816409396218915,0.44551352784799997,0.002650566114189179,0.2650566114189179,26.281621483398816,-1
3,anchor,True,0.6684332880915484,0.6682702917719999,0.00016299631954852511,0.01629963195485251,1.616185897280247,-1
4,anchor,True,0.8914453379063796,0.8910270556959999,0.0004182822103796502,0.04182822103796502,4.147466711955688,-1
5,anchor,True,0.11455835728890817,0.11378381961999984,0.0007745376689083372,0.07745376689083372,7.679908729652656,-2
6,anchor,True,0.33677966231751066,0.33654058354399985,0.00023907877351081464,0.023907877351081464,2.3705795514738863,-2
7,anchor,True,0.5589473474666646,0.5592973474679999,0.0003500000013352267,0.03500000013352267,3.470416189597819,-2
8,anchor,True,0.7803099454295843,0.7820541113919999,0.0017441659624155559,0.1744165962415556,17.294233629201955,-3
9,holdout,False,0.002312743929217131,0.004810875315999663,0.002498131386782532,0.2498131386782532,24.77015878673935,-2
