rho_actual_floor,worst_case_finesse_shortfall,required_nominal_rho
1.000000000000,0.000000000000,1.000000000000
1.000000000000,0.020000000000,1.020408163265
1.000000000000,0.050000000000,1.052631578947
1.000000000000,0.100000000000,1.111111111111
1.050000000000,0.000000000000,1.050000000000
1.050000000000,0.020000000000,1.071428571429
1.050000000000,0.050000000000,1.105263157895
1.050000000000,0.100000000000,1.166666666667
1.100000000000,0.000000000000,1.100000000000
1.100000000000,0.020000000000,1.122448979592
1.100000000000,0.050000000000,1.157894736842
1.100000000000,0.100000000000,1.222222222222
