scenario,N,tau0,finesse_nominal,finesse_nominal_ceiling,finesse_actual,finesse_actual_ceiling,finesse_scale,finesse_relative_error,rho_nominal,rho_actual,reflectivity_nominal,reflectivity_actual,reflectivity_abs_error,rho_crosses_1p00,rho_crosses_1p05,rho_crosses_1p10,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,mean_final_platform_width_L_mm
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,31.671000000000,32,1.020000000000,0.020000000000,1.150000000000,1.173000000000,0.903810648856,0.905603241639,0.001792592783,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.570579577,0.419586023
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,32.602500000000,33,1.050000000000,0.050000000000,1.150000000000,1.207500000000,0.903810648856,0.908170410476,0.004359761620,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.664840131,0.487500723
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,34.155000000000,35,1.100000000000,0.100000000000,1.150000000000,1.265000000000,0.903810648856,0.912152518771,0.008341869915,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.810522934,0.591679026
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,29.160000000000,30,0.900000000000,-0.100000000000,1.200000000000,1.080000000000,0.907624264072,0.897910989039,-0.009713275034,yes,yes,no,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.286527562,0.212518591
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,30.780000000000,31,0.950000000000,-0.050000000000,1.200000000000,1.140000000000,0.907624264072,0.903009877550,-0.004614386522,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.475084325,0.350375134
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,31.752000000000,32,0.980000000000,-0.020000000000,1.200000000000,1.176000000000,0.907624264072,0.905832150570,-0.001792113503,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.578995497,0.425665913
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,32.400000000000,33,1.000000000000,0.000000000000,1.200000000000,1.200000000000,0.907624264072,0.907624264072,0.000000000000,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.644809378,0.473101973
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,33.048000000000,34,1.020000000000,0.020000000000,1.200000000000,1.224000000000,0.907624264072,0.909349519281,0.001725255209,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.708044316,0.518495855
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,34.020000000000,35,1.050000000000,0.050000000000,1.200000000000,1.260000000000,0.907624264072,0.911819994993,0.004195730921,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.798382463,0.583033847
CURRENT_PLATFORM,9,3.000000000000,32.400000000000,33,35.640000000000,36,1.100000000000,0.100000000000,1.200000000000,1.320000000000,0.907624264072,0.915651515011,0.008027250939,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.937999115,0.682052689
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,34.020000000000,35,0.900000000000,-0.100000000000,1.050000000000,0.945000000000,0.920271066136,0.911819994993,-0.008451071144,no,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,35.910000000000,36,0.950000000000,-0.050000000000,1.050000000000,0.997500000000,0.920271066136,0.916257994751,-0.004013071386,no,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,37.044000000000,38,0.980000000000,-0.020000000000,1.050000000000,1.029000000000,0.920271066136,0.918712850800,-0.001558215336,yes,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,37.800000000000,38,1.000000000000,0.000000000000,1.050000000000,1.050000000000,0.920271066136,0.920271066136,0.000000000000,yes,yes,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,38.556000000000,39,1.020000000000,0.020000000000,1.050000000000,1.071000000000,0.920271066136,0.921770716149,0.001499650013,yes,yes,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,39.690000000000,40,1.050000000000,0.050000000000,1.050000000000,1.102500000000,0.920271066136,0.923917399767,0.003646333630,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.104562656,0.104562656
CURRENT_PLATFORM,12,3.000000000000,37.800000000000,38,41.580000000000,42,1.100000000000,0.100000000000,1.050000000000,1.155000000000,0.920271066136,0.927245033413,0.006973967276,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.151090698,0.151090698
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,35.640000000000,36,0.900000000000,-0.100000000000,1.100000000000,0.990000000000,0.923751338026,0.915651515011,-0.008099823015,no,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,37.620000000000,38,0.950000000000,-0.050000000000,1.100000000000,1.045000000000,0.923751338026,0.919905500951,-0.003845837075,yes,no,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,38.808000000000,39,0.980000000000,-0.020000000000,1.100000000000,1.078000000000,0.923751338026,0.922258151586,-0.001493186441,yes,yes,no,2,1,1,0,2,0,5,-,"1,5",-,0.000000000,0.000000000
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,39.600000000000,40,1.000000000000,0.000000000000,1.100000000000,1.100000000000,0.923751338026,0.923751338026,0.000000000000,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.102238801,0.102238801
CURRENT_PLATFORM,12,3.000000000000,39.600000000000,40,40.392000000000,41,1.020000000000,0.020000000000,1.100000000000,1.122000000000,0.923751338026,0.925188290501,0.001436952475,yes,yes,yes,2,1,1,0,2,1,5,-,"1,5",5,0.122341340,0.122341340
