dataset_key,analysis_source,analysis_source_label,reference_source,reference_peak_l,reference_peak_lambda_nm,reference_peak_nu_ghz,n_sellmeier_20p00C,n_sellmeier_20p18C,delta_n_temp_20p18_minus_20p00,n_malitson_20C,delta_n_sellmeier20_minus_malitson20,fsr_method_A_ghz,fsr_method_B_ghz,fsr_final_ghz,fsr_final_err_ghz,fwhm_l0_ghz,fwhm_l0_nm,finesse_l0,finesse_mode_l_min,finesse_mode_l_max,finesse_mode_count,finesse_mode_mean,finesse_mode_sd,finesse_mode_min,finesse_mode_max,finesse_all_weighted_mean,finesse_all_weighted_err,k_relative_fit,k_relative_fit_err,k_relative_fit_mode_count,k_relative_fit_fit_l_values,k_relative_fit_holdout_l_values,k_relative_fit_band_min,k_relative_fit_band_max,k_relative_fit_holdout_l,k_relative_fit_holdout_pos_meas,k_relative_fit_holdout_pos_fit,k_relative_fit_holdout_abs_delta_pos,k_relative_fit_holdout_abs_delta_mhz,k_relative_fit_holdout_abs_delta_pos_max,k_relative_fit_holdout_abs_delta_mhz_max,k_relative_fit_strategy,k_joint_method_B,k_joint_method_B_err,k_joint_method_B_mode_count,k_joint_method_B_band_min,k_joint_method_B_band_max,delta_k_relative_fit_minus_joint_method_B,L_mm,L_err_mm,L_over_R,L_over_R_err,R_mm,R_err_mm,baseline_L_mm,baseline_R_mm,baseline_k,baseline_F,delta_L_mm_vs_thesis,delta_R_mm_vs_thesis,delta_k_vs_thesis,delta_F_vs_thesis,fsr_choice,fsr_choice_reason
0p88mm,raw,原始数据,final,0,794.9747644259032,377109.40197768074,1.4537986337971684,1.45380015274427,1.518947101653012e-06,1.4534046216112706,0.0003940121858978518,9.915474789595464,9.894893840016273,9.915474789595464,0.004200239553829707,0.30903112740448213,0.0006514779654738687,32.08568299534881,0,9,10,32.20602581541962,0.19434393586104162,31.965530292592483,32.58997672986314,32.25619660368136,0.0001272071771501077,0.22275676392399998,0.00029438594712767857,8,"1,2,3,4,5,6,7,8",9,0.222681763924,0.22280676392399998,9,0.002312743929217131,0.004810875315999663,0.002498131386782532,24.77015878673935,0.002498131386782532,24.77015878673935,"reference l=0, fit l=1..8, hold out l=9",0.22247972826,0.00010140534344021048,9,0.2223783229165598,0.22258113360344023,0.0002770356639999749,10.398542770110936,0.00440486931508721,0.4148301975166431,0.000911324566727537,25.066986039977824,0.05608310021847607,10.25,25.0,0.221,29.8,0.14854277011093586,0.06698603997782371,0.0017567639239999822,2.4060258154196212,A_direct,Method A selected because rising/falling direct FSR agree within 1%
0p88mm,final,FSR补全后数据,raw,0,794.9956705276295,377099.48508402717,1.453798267295386,1.453799786239413,1.5189440270013677e-06,1.4534042560174256,0.00039401127796034885,9.938667579495814,9.93146357881119,9.938667579495814,0.0401545436857721,0.31085857573452597,0.0006553475453233011,31.971669290486172,0,9,10,32.20830665144302,0.2077350707384851,31.971669290486172,32.66860197593871,32.23673875767173,0.0001450466508419769,0.222491264714,0.0002510364088181144,8,"1,2,3,4,5,6,7,8",9,0.222441264714,0.22256626471399998,9,0.002296273926682385,0.002421382425999763,0.00012510849931737789,1.2434117860849978,0.00012510849931737789,1.2434117860849978,"reference l=0, fit l=1..8, hold out l=9",0.222539031322,9.097237298278711e-05,9,0.22244805894901723,0.2226300036949828,-4.7766608000016086e-05,10.374279434756836,0.04191451755874938,0.4140084159199133,0.000776903102958109,25.05813658813076,0.11162799875095783,10.25,25.0,0.221,29.8,0.12427943475683634,0.05813658813076117,0.0014912647139999902,2.4083066514430165,A_direct,Method A selected because rising/falling direct FSR agree within 1%
0p98mm,raw,原始数据,final,0,794.9744547477371,377109.5488786878,1.4537986392262263,1.4538001581733735,1.518947147172156e-06,1.4534046270268788,0.0003940121993475376,9.919382513937308,9.907733285794885,9.919382513937308,0.0007804766166547199,0.30699205538753793,0.0006471787341428609,32.31152839253565,0,9,10,32.45468527974923,0.2690664817030844,32.1233978831201,32.960328893826684,32.28262579580192,0.00032730889362264453,0.221870127861,3.769023143231962e-05,8,"1,2,3,4,5,6,7,8",9,0.221820127861,0.221920127861,9,0.9974022287078429,0.996831150749,0.0005710779588429249,5.664740719041519,0.0005710779588429249,5.664740719041519,"reference l=0, fit l=1..8, hold out l=9",0.221837053566,3.769023143231962e-05,9,0.22179936333456768,0.22187474379743233,3.3074294999990705e-05,10.39444624256111,0.0008178555695371922,0.4120867921691698,0.00011656270803948507,25.223924765572157,0.0074057207090699895,10.25,25.0,0.221,29.8,0.14444624256110927,0.22392476557215701,0.0008701278609999918,2.654685279749227,A_direct,Method A selected because rising/falling direct FSR agree within 1%
0p98mm,final,FSR补全后数据,raw,0,794.9744547398052,377109.5488824505,1.4537986392263653,1.4538001581735127,1.5189471473942007e-06,1.4534046270270176,0.00039401219934775966,9.91938636751729,9.907737134557893,9.91938636751729,0.0007780968014389973,0.3069312990061591,0.0006470506572027195,32.31793694431352,0,9,10,32.4886763816806,0.2423273921815023,32.10740929183148,32.935471964844844,32.29060611346112,0.00036824079219728665,0.221838108471,5.162688489429651e-05,8,"1,2,3,4,5,6,7,8",9,0.221788108471,0.221888108471,9,0.9974030203985063,0.9965429762389999,0.0008600441595063568,8.531110311270222,0.0008600441595063568,8.531110311270222,"reference l=0, fit l=1..8, hold out l=9",0.22181215988300002,5.162688489429651e-05,9,0.22176053299810572,0.2218637867678943,2.59485879999799e-05,10.394442204424239,0.0008153611455734961,0.41198776917076974,0.00015965816400280019,25.229977640709336,0.009975694384330944,10.25,25.0,0.221,29.8,0.14444220442423905,0.22997764070933613,0.0008381084709999931,2.6886763816805974,A_direct,Method A selected because rising/falling direct FSR agree within 1%
