,in_1,in_10,in_18,in_22,in_27,in_31,in_37,in_46
out_1,0.9418976441838126,0.0022771723704062175,0.005307786473526592,0.021266597295970475,0.003542129621364477,0.002417598713012782,0.02108441458249081,0.002723057421021393
out_10,0.0022798172795900364,0.940804910239026,0.004696548469078949,0.0027065056348757454,0.005345419054113259,0.021285533499281355,0.002443705208074876,0.020942590172821015
out_18,0.005244313606807918,0.0046350015574186726,0.9532976000434893,0.01579764388382187,0.0023237700183294232,0.0028570358034887937,0.0030537153094767518,0.01246545795441892
out_22,0.02119090515935757,0.002693743879796788,0.015931938049739112,0.9452620236014353,0.0025324813698955123,0.0022899978416224404,0.006046044573487349,0.004213406090872208
out_27,0.0034751323296355807,0.005238229464299789,0.0023074103163875487,0.0024934556940463663,0.9600565472874422,0.015811710421700823,0.007044844993924782,0.003033174479691285
out_31,0.0024068508803205685,0.02116632072438041,0.0028787598693053858,0.002287960595775989,0.016044896614585177,0.9461037038012365,0.0032727054028656053,0.006005375827427727
out_37,0.02080072512312525,0.002408028412720607,0.003049090137214494,0.005986000819665393,0.007084047632854896,0.003243089045213326,0.9547436594969582,0.0022953660832857217
out_46,0.0027046114373502706,0.020776593351951384,0.012530866641258605,0.004199812474408766,0.0030707084014150233,0.005991330874443887,0.0023109104327215177,0.9483215719704617
