l,rising_lambda_nm,falling_lambda_nm,merged_lambda_nm,rising_nu_ghz,falling_nu_ghz,merged_nu_ghz,rising_falling_lambda_diff_nm,rising_falling_nu_diff_ghz,falling_branch_shift_fsr,m_l,k_fit_role,used_in_k_relative_fit
0,794.9956393900443,794.9957016652171,794.9956705276295,377099.49985387846,377099.47031417594,377099.48508402717,6.227517280876782e-05,0.029539702518377453,0,0,reference,False
1,794.9909723771616,794.990980175867,794.9909762765143,377101.71362521045,377101.7099259167,377101.71177556354,7.798705382811022e-06,0.003699293767567724,0,0,anchor,True
2,794.9862816065918,794.9863171456763,794.9862993761336,377103.9386920588,377103.92183399666,377103.9302630277,3.553908447884169e-05,0.016858062124811113,0,0,anchor,True
3,794.9816643836058,794.9817255626887,794.9816949731461,377106.128897257,377106.0998764552,377106.1143868561,6.117908287706086e-05,0.029020801768638194,0,0,anchor,True
4,794.9770240099934,794.9770428670427,794.9770334385179,377108.3301097157,377108.3211646142,377108.32563716493,1.885704921278375e-05,0.00894510152284056,0,0,anchor,True
5,794.9932641451668,794.9932816015433,794.9932728733548,377100.62653468904,377100.61825435434,377100.6223945217,1.745637644035014e-05,0.008280334703158587,0,-1,anchor,True
6,794.9886084164726,794.9886468826179,794.9886276495448,377102.8349665949,377102.8167201803,377102.8258433876,3.846614526992198e-05,0.018246414605528116,0,-1,anchor,True
7,794.983985404439,794.9839817912087,794.9839835978239,377105.02790503885,377105.0296189945,377105.0287620167,3.6132302057012566e-06,0.0017139556584879756,0,-1,anchor,True
8,794.9793764250103,794.9793877006208,794.9793820628157,377107.2142124672,377107.2088637574,377107.21153811226,1.127561063185567e-05,0.005348709819372743,0,-1,anchor,True
9,794.9956096904272,794.9956351392266,794.9956224148267,377099.5139416427,377099.5018702181,377099.5079059304,2.5448799419791612e-05,0.012071424629539251,0,-2,holdout,False
