l,fit_role,used_in_k_relative_fit,pos_meas,pos_fit,residual,residual_percent_fsr,residual_mhz,m_l
0,reference,False,0.0,0.0,0.0,0.0,0.0,0
1,anchor,True,0.22404326521256757,0.222491264714,0.001552000498567574,0.1552000498567574,15.424817038474886,0
2,anchor,True,0.4472610603986591,0.444982529428,0.0022785309706591095,0.22785309706591095,22.645561886966817,0
3,anchor,True,0.6670212858913468,0.6674737941419999,0.0004525082506531275,0.04525082506531275,4.497329080220604,0
4,anchor,True,0.8895108994291647,0.889965058856,0.00045415942683524335,0.045415942683524335,4.513739571409834,0
5,anchor,True,0.11443289409324041,0.11245632357000002,0.0019765705232403924,0.19765705232403924,19.644477377916367,-1
6,anchor,True,0.3361375489908033,0.33494758828399984,0.001189960706803439,0.1189960706803439,11.826623897581262,-1
7,anchor,True,0.5577888529994599,0.5574388529979999,0.00035000000146001575,0.035000000146001575,3.4785336673341463,-1
8,anchor,True,0.7774134735151587,0.7799301177119999,0.002516644196841278,0.2516644196841278,25.01209008827269,-1
9,holdout,False,0.002296273926682385,0.002421382425999763,0.00012510849931737789,0.012510849931737789,1.2434117860849978,-2
