,in_1,in_4,in_6,in_15,in_37,in_40,in_46
out_1,0.952826019422837,0.00493191943109095,0.004178040127662615,0.0023832789321361716,0.016793810768367275,0.01659623811084576,0.0025600285173741637
out_4,0.004873730233006822,0.9642021480416139,0.0023124524109406587,0.006019597863093335,0.002812163613580988,0.016726118887781086,0.0028234598827225205
out_6,0.004139971037401987,0.002318739639613463,0.9615877279972154,0.003923988100551859,0.011502065265648145,0.0026076709971342683,0.013875649335929519
out_15,0.002340002023147721,0.005980855706872963,0.0038881619388451737,0.9704479550094227,0.002427882434526563,0.003056466444055989,0.011565298618977139
out_37,0.016708464210505602,0.002831276919304779,0.011548841180467702,0.002460217885950829,0.957693038915128,0.004878879966298199,0.0038937026840180746
out_40,0.016578720524739705,0.016907952505331898,0.0026288720802292486,0.003109708111898142,0.004898625166143303,0.9538328047060811,0.0023238421564303413
out_46,0.0025330925483613097,0.0028271077561720166,0.013855904264639283,0.011655254096946985,0.00387241383660582,0.0023018208878034948,0.9629580188045483
