tau0,M,noise_direct,noise_closed_form,abs_diff_direct_vs_closed,limit_noise,limit_minus_direct,ER_direct_dB,ER_limit_dB
1.0,4,0.605053300804784,0.605053300804785,4.441e-16,0.712688574959648,0.107635274154863,2.182063655,1.471002033
1.0,5,0.641150621163372,0.641150621163372,0.000e+00,0.712688574959648,0.071537953796275,1.930399326,1.471002033
1.0,6,0.661942234804825,0.661942234804825,0.000e+00,0.712688574959648,0.050746340154822,1.791799081,1.471002033
1.0,7,0.674914577044185,0.674914577044185,0.000e+00,0.712688574959648,0.037773997915463,1.707511917,1.471002033
1.0,8,0.683517988206844,0.683517988206845,2.220e-16,0.712688574959648,0.029170586752803,1.652500516,1.471002033
1.0,9,0.689502666907652,0.689502666907652,2.220e-16,0.712688574959648,0.023185908051995,1.614640497,1.471002033
1.0,10,0.693827394920364,0.693827394920364,2.220e-16,0.712688574959648,0.018861180039283,1.587485566,1.471002033
1.0,15,0.704219623956040,0.704219623956040,0.000e+00,0.712688574959648,0.008468951003608,1.522918769,1.471002033
1.0,30,0.710558170125144,0.710558170125143,1.110e-15,0.712688574959648,0.002130404834504,1.484003626,1.471002033
1.0,50,0.711920609553913,0.711920609553914,8.882e-16,0.712688574959648,0.000767965405734,1.475684344,1.471002033
1.0,100,0.712496475840938,0.712496475840940,1.776e-15,0.712688574959648,0.000192099118710,1.472172794,1.471002033
1.0,300,0.712667227062383,0.712667227062380,3.109e-15,0.712688574959648,0.000021347897265,1.471132123,1.471002033
1.0,1000,0.712686653612495,0.712686653612539,4.419e-14,0.712688574959648,0.000001921347153,1.471013741,1.471002033
2.0,4,0.180295001984469,0.180295001984469,5.551e-17,0.197629012645253,0.017334010660784,7.440163123,7.041492991
2.0,5,0.186422470121517,0.186422470121517,1.388e-16,0.197629012645253,0.011206542523735,7.295017419,7.041492991
2.0,6,0.189803402006720,0.189803402006720,1.665e-16,0.197629012645253,0.007825610638532,7.216960076,7.041492991
2.0,7,0.191860216365578,0.191860216365578,2.776e-17,0.197629012645253,0.005768796279675,7.170150701,7.041492991
2.0,8,0.193202593991766,0.193202593991766,1.943e-16,0.197629012645253,0.004426418653487,7.139870469,7.041492991
2.0,9,0.194126327949308,0.194126327949308,5.551e-17,0.197629012645253,0.003502684695944,7.119155604,7.041492991
2.0,10,0.194788777338346,0.194788777338345,2.220e-16,0.197629012645253,0.002840235306907,7.104360684,7.041492991
2.0,15,0.196363450985443,0.196363450985443,6.106e-16,0.197629012645253,0.001265561659810,7.069393440,7.041492991
2.0,30,0.197312134783888,0.197312134783888,3.331e-16,0.197629012645253,0.000316877861365,7.048462046,7.041492991
2.0,50,0.197514899101372,0.197514899101376,3.553e-15,0.197629012645253,0.000114113543880,7.044001388,7.041492991
2.0,100,0.197600480300692,0.197600480300690,1.860e-15,0.197629012645253,0.000028532344561,7.042120041,7.041492991
2.0,300,0.197625842254397,0.197625842254397,0.000e+00,0.197629012645253,0.000003170390856,7.041562662,7.041492991
2.0,1000,0.197628727308727,0.197628727308738,1.099e-14,0.197629012645253,0.000000285336526,7.041499261,7.041492991
3.0,4,0.083114029408238,0.083114029408238,1.665e-16,0.089757421028761,0.006643391620523,10.803256624,10.469296344
3.0,5,0.085486371798751,0.085486371798751,1.665e-16,0.089757421028761,0.004271049230010,10.681031148,10.469296344
3.0,6,0.086784085065680,0.086784085065680,5.551e-17,0.089757421028761,0.002973335963081,10.615599108,10.469296344
3.0,7,0.087569667911232,0.087569667911232,1.665e-16,0.089757421028761,0.002187753117529,10.576462973,10.469296344
3.0,8,0.088080797428293,0.088080797428294,7.494e-16,0.089757421028761,0.001676623600468,10.551187622,10.469296344
3.0,9,0.088431799444243,0.088431799444242,4.996e-16,0.089757421028761,0.001325621584518,10.533915377,10.469296344
3.0,10,0.088683155900722,0.088683155900722,4.857e-16,0.089757421028761,0.001074265128039,10.521588604,10.469296344
3.0,15,0.089279430318853,0.089279430318852,5.829e-16,0.089757421028761,0.000477990709908,10.492485896,10.469296344
3.0,30,0.089637842256101,0.089637842256101,4.302e-16,0.089757421028761,0.000119578772660,10.475086063,10.469296344
3.0,50,0.089714366436753,0.089714366436755,1.804e-15,0.089757421028761,0.000043054592008,10.471380055,10.469296344
3.0,100,0.089746656723131,0.089746656723128,3.331e-15,0.089757421028761,0.000010764305630,10.469817210,10.469296344
3.0,300,0.089756224973151,0.089756224973139,1.177e-14,0.089757421028761,0.000001196055611,10.469354215,10.469296344
