dataset,detector_l,lock_l,theory_pct,experiment_pct,abs_error_pp
run_2,4,3,0.488678,0.000000,0.488678
run_2,4,4,94.784368,93.231803,1.552565
run_2,4,5,0.488678,0.000000,0.488678
run_2,4,6,0.122630,1.868583,1.745953
run_2,4,7,0.211870,0.972237,0.760366
run_2,4,8,1.776912,1.684919,0.091993
run_2,5,0,2.093259,1.315674,0.777585
run_2,5,1,1.776233,1.522312,0.253921
run_2,5,2,0.211860,0.175273,0.036586
run_2,5,3,0.122645,0.000000,0.122645
run_2,5,4,0.490229,0.514981,0.024752
run_2,5,5,94.484614,93.025346,1.459268
run_2,5,6,0.488619,0.545973,0.057354
run_2,5,7,0.122637,2.356459,2.233822
run_2,5,8,0.211951,0.622179,0.410227
run_2,6,0,0.224069,0.583402,0.359333
run_2,6,1,2.092458,1.512598,0.579860
run_2,6,2,1.776145,1.436316,0.339829
run_2,6,3,0.211885,0.074559,0.137327
run_2,6,4,0.123034,0.000000,0.123034
run_2,6,5,0.488678,0.301588,0.187090
run_2,6,6,94.473170,91.891090,2.582080
run_2,6,7,0.488643,0.068870,0.419773
run_2,6,8,0.122683,2.347771,2.225087
run_2,7,0,0.117719,0.410532,0.292813
run_2,7,1,0.223983,0.477217,0.253234
run_2,7,2,2.092355,1.492576,0.599779
run_2,7,3,1.776360,1.518808,0.257552
run_2,7,4,0.212558,0.069820,0.142738
run_2,7,5,0.122645,0.000000,0.122645
run_2,7,6,0.488619,0.000000,0.488619
run_2,7,7,94.477858,91.267760,3.210099
run_2,7,8,0.488830,0.000000,0.488830
run_2,8,0,0.450581,1.401561,0.950980
run_2,8,1,0.117674,0.728561,0.610887
run_2,8,2,0.223972,0.511004,0.287032
run_2,8,3,2.092608,1.711553,0.381055
run_2,8,4,1.781995,2.201132,0.419136
run_2,8,5,0.211885,0.000000,0.211885
run_2,8,6,0.122630,0.000000,0.122630
run_2,8,7,0.488643,0.000005,0.488639
run_2,8,8,94.513995,92.358885,2.155110
run_3,0,0,94.513995,93.451692,1.062303
run_3,0,1,0.488643,0.982561,0.493918
run_3,0,2,0.122630,0.543520,0.420890
run_3,0,3,0.211885,0.394877,0.182991
run_3,0,4,1.781995,2.295760,0.513764
run_3,0,5,2.092608,2.584716,0.492108
run_3,0,6,0.223972,0.330945,0.106973
run_3,0,7,0.117674,0.310364,0.192690
run_3,0,8,0.450581,0.632803,0.182222
run_3,1,0,0.488830,1.085008,0.596178
run_3,1,1,94.477858,94.225755,0.252103
run_3,1,2,0.488619,1.000864,0.512245
run_3,1,3,0.122645,0.722835,0.600190
run_3,1,4,0.212558,0.497692,0.285134
run_3,1,5,1.776360,2.039925,0.263565
run_3,1,6,2.092355,2.479021,0.386666
run_3,1,7,0.223983,0.293693,0.069709
run_3,1,8,0.117719,0.326946,0.209227
run_3,2,0,0.122683,0.039644,0.083039
run_3,2,1,0.488643,0.508038,0.019395
run_3,2,2,94.473170,94.097250,0.375920
run_3,2,3,0.488678,0.815355,0.326677
run_3,2,4,0.123034,0.858358,0.735324
run_3,2,5,0.211885,0.589915,0.378030
run_3,2,6,1.776145,1.929127,0.152982
run_3,2,7,2.092458,2.471769,0.379311
run_3,2,8,0.224069,0.271398,0.047330
run_3,3,0,0.211951,0.197775,0.014176
run_3,3,1,0.122637,0.000000,0.122637
run_3,3,2,0.488619,0.474902,0.013717
run_3,3,3,94.484614,93.197848,1.286766
run_3,3,4,0.490229,0.744865,0.254636
run_3,3,5,0.122645,1.220377,1.097732
run_3,3,6,0.211860,0.653343,0.441483
run_3,3,7,1.776233,1.916278,0.140045
run_3,3,8,2.093259,2.434916,0.341657
run_3,4,0,1.776912,1.226001,0.550911
run_3,4,1,0.211870,0.117040,0.094830
run_3,4,2,0.122630,0.000000,0.122630
run_3,4,3,0.488678,0.892184,0.403506
run_3,4,4,94.784368,92.971145,1.813223
run_3,4,5,0.488678,0.556161,0.067483
run_3,4,6,0.122630,1.476506,1.353875
run_3,4,7,0.211870,0.319507,0.107637
