detector_l,lock_l=0,lock_l=1,lock_l=2,lock_l=3,lock_l=4,lock_l=5,lock_l=6,lock_l=7,lock_l=8
detector_l=0,0.945139949644,0.004886432361,0.001226304340,0.002118854611,0.017819953729,0.020926080413,0.002239720654,0.001176738659,0.004505814280
detector_l=1,0.004888301359,0.944778584044,0.004886189877,0.001226452891,0.002125576709,0.017763598447,0.020923545790,0.002239831804,0.001177188747
detector_l=2,0.001226834266,0.004886432361,0.944731700280,0.004886781777,0.001230343832,0.002118854611,0.017761446872,0.020924584153,0.002240688511
detector_l=3,0.002119513485,0.001226365197,0.004886189877,0.944846142581,0.004902285165,0.001226452891,0.002118597970,0.017762328311,0.020932587536
detector_l=4,0.017769122172,0.002118703108,0.001226304340,0.004886781777,0.947843681130,0.004886781777,0.001226304340,0.002118703108,0.017769122172
detector_l=5,0.020932587536,0.017762328311,0.002118597970,0.001226452891,0.004902285165,0.944846142581,0.004886189877,0.001226365197,0.002119513485
detector_l=6,0.002240688511,0.020924584153,0.017761446872,0.002118854611,0.001230343832,0.004886781777,0.944731700280,0.004886432361,0.001226834266
detector_l=7,0.001177188747,0.002239831804,0.020923545790,0.017763598447,0.002125576709,0.001226452891,0.004886189877,0.944778584044,0.004888301359
detector_l=8,0.004505814280,0.001176738659,0.002239720654,0.020926080413,0.017819953729,0.002118854611,0.001226304340,0.004886432361,0.945139949644
