M,recommended_m,k_star,s_min,F_min_tau0_3,plane_concave_L_over_R,ER_sum_dB_at_boundary,eta_sort_at_boundary
4,1,0.25,0.25,12.0,0.5000000000000001,10.803256623732684,0.9232638234280395
6,1,0.16666666666666666,0.16666666666666663,18.0,0.24999999999999994,10.615599107898072,0.9201459735579072
9,2,0.2222222222222222,0.11111111111111094,27.0,0.41317591116653474,10.533915377039246,0.9187530174243387
12,1,0.08333333333333333,0.08333333333333326,36.0,0.06698729810778066,10.505566117253036,0.9182644205948419
15,4,0.26666666666666666,0.06666666666666643,45.0,0.5522642316338265,10.49248589577737,0.9180380829437693
20,7,0.35,0.04999999999999938,60.0,0.7938926261462365,10.482330391150112,0.9178619605617326
30,7,0.23333333333333334,0.03333333333333277,90.0,0.4477357683661733,10.475086062595476,0.9177361148998775
50,13,0.26,0.019999999999998685,150.0,0.5313952597646567,10.471380055108996,0.9176716677324255
