dataset_key,method,scan_direction,fsr_ghz,fsr_err_ghz,peak1_lambda_nm,peak2_lambda_nm,peak1_nu_ghz,peak2_nu_ghz
0p98mm_final,A_direct_l0_adjacent_modes,Falling,9.918836169992574,1.5602178200504406e-05,794.9744609369309,794.9953711178766,377109.54594273935,377099.62710656936
0p98mm_final,A_direct_l0_adjacent_modes,Rising,9.919936565042008,1.2127678772252385e-05,794.974449702536,794.9953622027259,377109.5512719641,377099.63133539906
0p98mm_final,A_direct_l0_adjacent_modes,combined,9.91938636751729,0.0007780968014389973,,,,
0p98mm_final,B_global_merged,merged,9.907737134557893,0.011258098936617573,,,,
0p98mm_final,B_global_rising,rising,9.91317667433353,0.011258098936617573,,,,
0p98mm_final,B_global_falling,falling,9.92161621410917,0.011474609652039145,,,,
0p98mm_final,recommended,A_direct,9.91938636751729,0.0007780968014389973,,,,
0p98mm_final,A_minus_B,difference,0.011649232959397793,,,,,
