dataset_key,l,scan_direction,source,candidate_rank,fit_model,selected,branch_role,lambda_center_nm,lambda_center_err_nm,nu_center_ghz,nu_center_err_ghz,fwhm_nm,fwhm_err_nm,fwhm_ghz,fwhm_err_ghz,finesse_with_final_fsr,peak_power_uw,baseline_uw,amplitude_uw,prominence_uw,r_squared,residual_rms_uw,window_lambda_min_nm,window_lambda_max_nm,peak_index
0p98mm_final,0,Falling,final,2,lorentz,True,selected,794.9953711178766,1.0457002660627126e-08,377099.62710656936,4.960194671863318e-06,0.0006491778962932059,5.083913434700547e-08,0.3079322867927706,2.411513236576309e-05,32.21288183461173,3.2351460383572688,-0.00811319294590988,3.2432596788273846,3.2063892482925693,0.9999679196821829,0.005387075393128538,794.994215964549,794.9965277537594,287982
0p98mm_final,0,Falling,final,1,lorentz,False,candidate,794.9744609369309,3.1184124609608146e-08,377109.54594273935,1.4792715552511435e-05,0.0006508596702218556,1.4658103645463234e-07,0.3087462638995109,6.953318731280341e-05,32.12795595397326,3.195488147283586,-0.012298470363766467,3.2077866252086613,3.1681827786189127,0.9996969731134222,0.01592285356633439,794.973305768456,794.9756173725472,69007
0p98mm_final,0,Falling,final,2,lorentz,False,candidate,794.9953711178766,1.0457002660627126e-08,377099.62710656936,4.960194671863318e-06,0.0006491778962932059,5.083913434700547e-08,0.3079322867927706,2.411513236576309e-05,32.21288183461173,3.2351460383572688,-0.00811319294590988,3.2432596788273846,3.2063892482925693,0.9999679196821829,0.005387075393128538,794.994215964549,794.9965277537594,287982
0p98mm_final,0,Falling,raw,1,lorentz,True,raw_validation,794.9953711178767,1.0457002707270927e-08,377099.6271065693,4.960194693988427e-06,0.0006491778962985567,5.083913457431157e-08,0.30793228679530865,2.4115132473583893e-05,32.21288183434623,3.2351460379276493,-0.00811319306992965,3.243259678520941,3.0054887640042227,0.9999679196818965,0.00538707541665702,794.994215964549,794.9965277537594,12104
0p98mm_final,0,Rising,final,1,lorentz,True,selected,794.974449702536,2.2580830586958605e-08,377109.5512719641,1.0711598206939248e-05,0.000644923418112233,1.0932648497838035e-07,0.30593031121954767,5.1860863840045267e-05,32.42367952353288,3.272106527909311,0.0039322125940750114,3.268174325470809,3.2422997327377443,0.9998494240701734,0.011761062759425076,794.9732950791106,794.975606677335,38234
0p98mm_final,0,Rising,final,1,lorentz,False,candidate,794.974449702536,2.2580830586958605e-08,377109.5512719641,1.0711598206939248e-05,0.000644923418112233,1.0932648497838035e-07,0.30593031121954767,5.1860863840045267e-05,32.42367952353288,3.272106527909311,0.0039322125940750114,3.268174325470809,3.2422997327377443,0.9998494240701734,0.011761062759425076,794.9732950791106,794.975606677335,38234
0p98mm_final,0,Rising,final,2,lorentz,False,candidate,794.9953622027259,1.1989294942548209e-08,377099.63133539906,5.687025255442165e-06,0.0006490622022578733,5.8266097573952696e-08,0.3078774151675761,2.7638052948649783e-05,32.218622993564566,3.2618874124015225,-0.007038403406869596,3.268925925266842,3.2388221275186293,0.9999578252461854,0.006225874362791028,794.9942201662395,794.9965320509428,257364
0p98mm_final,0,Rising,raw,1,lorentz,True,raw_validation,794.974449702536,2.2580830695127386e-08,377109.5512719641,1.0711598258250937e-05,0.0006449234180991302,1.093264854994611e-07,0.30593031121333214,5.186086408722872e-05,32.423679524191634,2.807454396067386,0.0033738228820699937,2.8040805818987575,2.603279704614662,0.9998494240687286,0.010090945151647568,794.9732950791106,794.975606677335,12105
0p98mm_final,1,Falling,final,2,lorentz,True,selected,794.9906867389617,5.8953607369702e-08,377101.8491169294,2.7964496593565587e-05,0.000642708799917017,2.848225018812143e-07,0.30486731597651,0.0001351048432656464,32.53673269548376,2.946852163257164,-0.004847619846937611,2.9516997834432877,2.920263652308675,0.9989708814182986,0.027780018291233534,794.9895307931653,794.9918426778686,382274
0p98mm_final,1,Falling,final,1,lorentz,False,candidate,794.9708000330321,2.45429989717578e-06,377111.2825622566,0.0011642492805747273,0.0007088345101053557,5.437756047852209e-06,0.33625070407505847,0.0025795150682025145,29.499972036647595,0.21891112650390362,0.046965080143695416,0.17194604636020822,0.22471021892387455,0.9336410526203185,0.013425778366577218,794.970800033032,794.9719559812503,0
0p98mm_final,1,Falling,final,2,lorentz,False,candidate,794.9906867389617,5.8953607369702e-08,377101.8491169294,2.7964496593565587e-05,0.000642708799917017,2.848225018812143e-07,0.30486731597651,0.0001351048432656464,32.53673269548376,2.946852163257164,-0.004847619846937611,2.9516997834432877,2.920263652308675,0.9989708814182986,0.027780018291233534,794.9895307931653,794.9918426778686,382274
0p98mm_final,1,Falling,raw,1,lorentz,True,raw_validation,794.9906867389617,5.895360736935556e-08,377101.8491169294,2.796449659340125e-05,0.0006427087999169225,2.8482250187926716e-07,0.3048673159764651,0.00013510484326472277,32.536732695488546,2.9468521632619944,-0.004847619849473032,2.9516997834506533,2.717559987475633,0.9989708814182986,0.02778001829123354,794.9895307931653,794.9918426778686,12105
0p98mm_final,1,Rising,final,2,lorentz,True,selected,794.9906986803745,5.0408380358716216e-08,377101.84345255006,2.3911088759004204e-05,0.0006451588563928893,2.4410840061770095e-07,0.3060294849604428,0.00011579220741574837,32.41317211248277,2.9804672049135146,-0.00974809922106457,2.9902153060842003,2.963945630576539,0.9992502927439012,0.024017838461500973,794.9895424433071,794.9918541370246,208378
0p98mm_final,1,Rising,final,1,lorentz,False,candidate,794.9708000388988,1.247413692242086e-06,377111.28255947365,0.0005917371774417924,0.0007119245748756804,2.770112849696247e-06,0.33771654192058254,0.0013140618618096595,29.37192922533814,0.23525139394879552,0.04595153493724923,0.18929985901154628,0.23659962407158672,0.9909762189406014,0.005289649308241728,794.9708000388987,794.9719559812504,0
0p98mm_final,1,Rising,final,2,lorentz,False,candidate,794.9906986803745,5.0408380358716216e-08,377101.84345255006,2.3911088759004204e-05,0.0006451588563928893,2.4410840061770095e-07,0.3060294849604428,0.00011579220741574837,32.41317211248277,2.9804672049135146,-0.00974809922106457,2.9902153060842003,2.963945630576539,0.9992502927439012,0.024017838461500973,794.9895424433071,794.9918541370246,208378
0p98mm_final,1,Rising,final,3,lorentz,False,candidate,794.991319089937,1.0256547851434818e-06,377101.54916306026,0.00048651601482500834,0.0007741727044376212,1.7684266598522182e-06,0.36722630694556774,0.000838847440214733,27.01164426378526,0.5619454257875149,0.04027108509148663,0.5216743406960284,0.07280702913963222,0.9905041437788527,0.014076824661623513,794.9913190899368,794.9936309746402,226983
