dataset_key,l,scan_direction,primary_label,reference_label,final_lambda_center_nm,raw_lambda_center_nm,delta_lambda_nm,final_nu_center_ghz,raw_nu_center_ghz,delta_nu_ghz,final_fwhm_ghz,raw_fwhm_ghz,delta_fwhm_ghz,final_peak_power_uw,raw_peak_power_uw,delta_peak_power_uw,final_r_squared,raw_r_squared
0p98mm_final,0,Rising,final,raw,794.974449702536,794.974449702536,0.0,377109.5512719641,377109.5512719641,0.0,0.30593031121954767,0.30593031121333214,-6.215528092212708e-12,3.272106527909311,2.807454396067386,-0.464652131841925,0.9998494240701734,0.9998494240687286
0p98mm_final,0,Falling,final,raw,794.9953711178766,794.9953711178767,1.1368683772161603e-13,377099.62710656936,377099.6271065693,-5.820766091346741e-11,0.3079322867927706,0.30793228679530865,2.538025345444339e-12,3.2351460383572688,3.2351460379276493,-4.2961945112551803e-10,0.9999679196821829,0.9999679196818965
0p98mm_final,1,Rising,final,raw,794.9906986803745,794.9906986803745,0.0,377101.84345255006,377101.84345255006,0.0,0.3060294849604428,0.3060294849604726,2.980948821118545e-14,2.9804672049135146,2.9804672049099583,-3.5562663924793014e-12,0.9992502927439012,0.9992502927439012
0p98mm_final,1,Falling,final,raw,794.9906867389617,794.9906867389617,0.0,377101.8491169294,377101.8491169294,0.0,0.30486731597651,0.3048673159764651,-4.490852134608758e-14,2.946852163257164,2.9468521632619944,4.830358335539131e-12,0.9989708814182986,0.9989708814182986
0p98mm_final,2,Rising,final,raw,794.9860806850676,794.9860806850676,0.0,377104.03399976285,377104.03399976285,0.0,0.3056039557982013,0.30560395579821603,1.4710455076283324e-14,3.4123261593418635,3.412326159339469,-2.3945290195115376e-12,0.9991904496247072,0.9991904496247072
0p98mm_final,2,Falling,final,raw,794.9860783034474,794.9860783034474,0.0,377104.0351294916,377104.0351294916,0.0,0.30419934167902907,0.3041993416790552,2.6145752229922437e-14,3.3590700287449224,3.3590700287418165,-3.105959933691338e-12,0.9992551507427,0.9992551507427
0p98mm_final,3,Rising,final,raw,794.9814695467896,794.9814695467896,0.0,377106.22131973517,377106.22131973517,0.0,0.3077473682474545,0.30774736824744486,-9.658940314238862e-15,3.5199409305661353,3.519940930568311,2.1755930390554568e-12,0.9995945729565173,0.9995945729565173
0p98mm_final,3,Falling,final,raw,794.9814593426248,794.9814593426248,0.0,377106.2261601676,377106.2261601676,0.0,0.30818937852366957,0.30818937852367156,1.9984014443252818e-15,3.4652881279242886,3.4652881279238517,-4.369837824924616e-13,0.9994677599484885,0.9994677599484885
0p98mm_final,4,Rising,final,raw,794.976804947809,794.9768049478091,1.1368683772161603e-13,377108.4340249168,377108.4340249167,-5.820766091346741e-11,0.3047850397547792,0.3047850397610411,6.261879903490808e-12,3.907326784855831,3.4655064105058773,-0.4418203743499536,0.9990650761401829,0.9990650761363188
0p98mm_final,4,Falling,final,raw,794.9768102708666,794.9768102708666,0.0,377108.4314998495,377108.4314998495,0.0,0.306172045547151,0.30617204554111205,-6.0389471201460765e-12,3.8223749136617378,3.3901604591512,-0.43221445451053775,0.9969668282447626,0.99696682824353
