case,l_target,control,target_l_weight,other_l_weight,p0_weight,p1_weight,p2plus_weight,target_mode_weight
axisymmetric_z_offset,0,0.1,1.0000000000000004,1.1086159478611297e-32,0.9975062344139657,0.00248754671923682,6.218866798091409e-06,0.9975062344139657
axisymmetric_z_offset,0,0.25,0.9999999999997962,1.0388533002335742e-32,0.9846153846153848,0.015147928994082842,0.00023668639032855545,0.9846153846153848
axisymmetric_z_offset,0,0.5,0.9999999975629894,7.481702782565315e-33,0.941176470588236,0.055363321799307995,0.003460205175445411,0.941176470588236
lateral_shift,0,0.05,0.9975046809966978,0.0012476595015496555,0.9987507809244794,1.559573158900964e-06,6.090814525387872e-13,0.9975031223974602
lateral_shift,0,0.1,0.9900745851497078,0.0049627073993377705,0.9950124791668743,2.4813227217442806e-05,1.54953864852403e-10,0.9900498337491683
lateral_shift,0,0.2,0.9611737933612701,0.019413096887881325,0.980198666875786,0.00038818468257450833,3.8690790947613436e-08,0.9607894391523235
phase_tilt_x,0,0.1,0.9975046809966978,0.001247659501549655,0.9987507809244794,1.5595731589009012e-06,6.090814525516445e-13,0.9975031223974602
phase_tilt_x,0,0.2,0.9900745851497078,0.004962707399337773,0.9950124791668743,2.4813227217442047e-05,1.5495386485233166e-10,0.9900498337491683
phase_tilt_x,0,0.4,0.9611737933612703,0.019413096887881325,0.9801986668757863,0.0003881846825745084,3.8690790947611775e-08,0.9607894391523237
axisymmetric_z_offset,4,0.1,1.0000000000000002,8.178687121143213e-33,0.9875932058471216,0.012314129748717222,9.266440416119726e-05,0.9875932058471216
axisymmetric_z_offset,4,0.25,0.9999999999362348,4.777529925251416e-33,0.9254076529317817,0.07118520407167553,0.003407142932777569,0.9254076529317817
axisymmetric_z_offset,4,0.5,0.9999993488257314,4.4566767063659325e-33,0.7385081737104506,0.21720828638542694,0.04428288872985382,0.7385081737104506
lateral_shift,4,0.05,0.9875700851330637,0.012429914852752052,0.9987507809173871,0.001248438474533069,7.805938955409804e-07,0.9875623310227902
lateral_shift,4,0.1,0.9511105434481515,0.04888945296457902,0.9950124773732811,0.004975061984328239,1.2457055121230954e-05,0.9509892415573216
lateral_shift,4,0.2,0.8170985035776952,0.18290062156273132,0.9801982295349234,0.019603871812888755,0.00019702379261449327,0.8153255589001499
phase_tilt_x,4,0.1,0.9875700851330641,0.012429914852752024,0.9987507809173876,0.0012484384745330705,7.805938955409873e-07,0.9875623310227907
phase_tilt_x,4,0.2,0.9511105434481515,0.048889452964579035,0.9950124773732811,0.004975061984328231,1.2457055121230996e-05,0.9509892415573216
phase_tilt_x,4,0.4,0.8170985035776952,0.18290062156273135,0.9801982295349234,0.019603871812888755,0.00019702379261449322,0.8153255589001499
axisymmetric_z_offset,8,0.1,0.9999999999999959,6.708106083753005e-33,0.9777786910859829,0.021945157655296376,0.0002761512587166756,0.9777786910859829
axisymmetric_z_offset,8,0.25,0.9999999988221142,9.37784464608128e-33,0.8697602510438451,0.12042834245222474,0.009811405326044227,0.8697602510438451
axisymmetric_z_offset,8,0.5,0.9999897105681564,5.620053594431624e-33,0.5794814678019673,0.30678430648339466,0.11372393628279434,0.5794814678019673
lateral_shift,8,0.05,0.9777098667977977,0.022290133102082443,0.998750780867431,0.0012484384534881977,7.805789608013443e-07,0.9776959791026989
lateral_shift,8,0.1,0.9133071439576884,0.08669283085723127,0.9950124648084823,0.004975056683371743,1.2453323065768135e-05,0.9130931464974584
lateral_shift,8,0.2,0.6898225925010528,0.31017139680920214,0.9801952329774531,0.019602599629345633,0.0001961567034561181,0.6868817019109699
phase_tilt_x,8,0.1,0.977709866797797,0.02229013310208241,0.9987507808674303,0.001248438453488197,7.805789608013263e-07,0.9776959791026982
phase_tilt_x,8,0.2,0.9133071439576884,0.08669283085723117,0.9950124648084822,0.004975056683371738,1.2453323065768096e-05,0.9130931464974584
phase_tilt_x,8,0.4,0.6898225925010527,0.3101713968092021,0.9801952329774529,0.019602599629345626,0.00019615670345611759,0.6868817019109698
