l,experiment_mean,experiment_std,ideal_same_scaled_to_l0,bolduc_same_scaled_to_l0,bolduc_scaled_scaled_to_l0,yang_actual_scaled_to_l0,yang_bestfit_p0_scaled_to_l0,rep_shift_w0,effective_aperture_mm
0,0.9289277258882961,0.007105239837219942,0.9289277258882961,0.9289277258882961,0.9289277258882961,0.9289277258882961,0.9289277258882961,0.08,2.45
1,0.916597562572524,0.009309224137042566,0.9289277258882961,0.9229865080405856,0.7261672289867014,0.7226022251583146,0.8482310357670578,0.08,2.45
2,0.9049943586820689,0.010775930747389388,0.9289277258882961,0.9170364801621238,0.38318412661583695,0.4556048015358975,0.7445061908151197,0.08,2.45
3,0.888196729902147,0.01850684709242252,0.9289277258882961,0.9109385027147584,0.1505302964255527,0.26578958677691567,0.6510297637471878,0.08,2.45
4,0.8859959934115933,0.025188468762189272,0.9289277258882961,0.9042477910517666,0.046893410102434196,0.1489515171863128,0.5679203399463609,0.08,2.45
5,0.8654287286765405,0.02257698271090176,0.9289277258882961,0.8958510178330815,0.012079942201461148,0.08145483286309126,0.4931143428440096,0.08,2.45
6,0.8514261712679075,0.032250264517763506,0.9289277258882961,0.883494870473036,0.0026501384933047645,0.043814274924917,0.4250839687598421,0.08,2.45
7,0.8264728899731679,0.025498571674541493,0.9289277258882961,0.8634438758619237,0.0005059989654956313,0.02328735469330628,0.36292815719033783,0.08,2.45
8,0.8270643588565291,0.024164764314380242,0.9289277258882961,0.8306701401299799,8.549212993633048e-05,0.012264284429428526,0.3061653179169315,0.08,2.45
