,in_1,in_10,in_18,in_22,in_27,in_31,in_37,in_46
out_1,1.0,0.0024187038822041053,0.003302040192961035,0.005674562973819631,0.011580214560379,0.004802035493503824,0.0245012802322449,0.002817237147764431
out_10,0.0024187038822041053,1.0,0.006929198213604794,0.003669329009232268,0.0033020401929610413,0.005674562973819652,0.002542665098883992,0.024501280232244342
out_18,0.003302040192961035,0.006929198213604794,1.0,0.024624692225819422,0.0024187038822041044,0.0025416444430760945,0.005685642304340422,0.0036648828550356043
out_22,0.005674562973819631,0.003669329009232268,0.024624692225819422,1.0,0.0028152852193703863,0.0024187038822041044,0.016211429829494146,0.00265601412730074
out_27,0.011580214560379,0.0033020401929610413,0.0024187038822041044,0.0028152852193703863,1.0,0.024624692225819422,0.004794031532378282,0.005685642304340495
out_31,0.004802035493503824,0.005674562973819652,0.0025416444430760945,0.0024187038822041044,0.024624692225819422,1.0,0.0030255647055863664,0.016211429829494577
out_37,0.0245012802322449,0.002542665098883992,0.005685642304340422,0.016211429829494146,0.004794031532378282,0.0030255647055863664,1.0,0.0024187038822041066
out_46,0.002817237147764431,0.024501280232244342,0.0036648828550356043,0.00265601412730074,0.005685642304340495,0.016211429829494577,0.0024187038822041066,1.0
