q,m,k_fraction,k_float,rho,s_min_fraction,s_min_float,L_over_R,geometry_gap_to_target,limiting_diffs
43,11,11/43,0.2558139534883721,1,1/43,0.023255813953488372,0.5182610115288295,0.01826101152882953,"4,39"
43,10,10/43,0.23255813953488372,1,1/43,0.023255813953488372,0.4453143958110627,0.05468560418893731,"13,30"
43,12,12/43,0.27906976744186046,1,1/43,0.023255813953488372,0.5908184254897182,0.09081842548971819,"18,25"
43,9,9/43,0.20930232558139536,1,1/43,0.023255813953488372,0.3735333088041596,0.12646669119584042,"19,24"
87,19,19/87,0.21839080459770116,2,2/87,0.022988505747126436,0.40134832548679994,0.09865167451320006,23
88,19,19/88,0.2159090909090909,2,1/44,0.022727272727272728,0.3937173552235117,0.1062826447764883,14
44,9,9/44,0.20454545454545456,1,1/44,0.022727272727272728,0.3591337215792852,0.1408662784207148,"5,39"
44,13,13/44,0.29545454545454547,1,1/44,0.022727272727272728,0.6408662784207149,0.14086627842071486,"17,27"
89,25,25/89,0.2808988764044944,2,2/89,0.02247191011235955,0.5964630327047484,0.09646303270474843,25
90,23,23/90,0.25555555555555554,2,1/45,0.022222222222222223,0.5174497483512503,0.01744974835125035,4
46,11,11/46,0.2391304347826087,1,1/46,0.021739130434782608,0.4658787933176644,0.03412120668233559,"21,25"
46,13,13/46,0.2826086956521739,1,1/46,0.021739130434782608,0.6017280065263169,0.10172800652631686,"7,39"
47,12,12/47,0.2553191489361702,1,1/47,0.02127659574468085,0.5167074885038372,0.016707488503837187,4
47,11,11/47,0.23404255319148937,1,1/47,0.02127659574468085,0.44995215418795087,0.05004784581204913,"17,30"
47,13,13/47,0.2765957446808511,1,1/47,0.02127659574468085,0.5831646772915651,0.08316467729156507,18
47,10,10/47,0.2127659574468085,1,1/47,0.02127659574468085,0.38408992486623583,0.11591007513376417,"14,33"
47,14,14/47,0.2978723404255319,1,1/47,0.02127659574468085,0.6481377904428168,0.14813779044281683,10
48,13,13/48,0.2708333333333333,1,1/48,0.020833333333333332,0.5652630961100256,0.06526309611002556,11
48,11,11/48,0.22916666666666666,1,1/48,0.020833333333333332,0.43473690388997416,0.06526309611002584,13
49,12,12/49,0.24489795918367346,1,1/49,0.02040816326530612,0.4839742112141724,0.01602578878582761,"4,45"
49,13,13/49,0.2653061224489796,1,1/49,0.02040816326530612,0.5480115129538409,0.048011512953840874,"15,34"
49,11,11/49,0.22448979591836735,1,1/49,0.02040816326530612,0.42020005248331027,0.07979994751668973,"9,40"
49,10,10/49,0.20408163265306123,1,1/49,0.02040816326530612,0.3577362066844838,0.1422637933155162,5
50,13,13/50,0.26,1,1/50,0.02,0.5313952597646567,0.031395259764656736,"23,27"
50,11,11/50,0.22,1,1/50,0.02,0.4063093427071376,0.09369065729286241,9
51,13,13/51,0.2549019607843137,1,1/51,0.0196078431372549,0.515397529278085,0.01539752927808502,4
51,14,14/51,0.27450980392156865,1,1/51,0.0196078431372549,0.5766958274393428,0.07669582743934278,"11,40"
51,11,11/51,0.21568627450980393,1,1/51,0.0196078431372549,0.3930334583967514,0.10696654160324859,14
52,15,15/52,0.28846153846153844,1,1/52,0.019230769230769232,0.6196578321437787,0.11965783214377868,"7,45"
52,11,11/52,0.21153846153846154,1,1/52,0.019230769230769232,0.38034216785622116,0.11965783214377884,"19,33"
53,13,13/53,0.24528301886792453,1,1/53,0.018867924528301886,0.48518333608872,0.014816663911280004,4
53,14,14/53,0.2641509433962264,1,1/53,0.018867924528301886,0.5443979476614675,0.04439794766146754,"19,34"
53,12,12/53,0.22641509433962265,1,1/53,0.018867924528301886,0.42617671799875934,0.07382328200124066,"22,31"
53,15,15/53,0.2830188679245283,1,1/53,0.018867924528301886,0.6029893093705492,0.10298930937054918,7
53,11,11/53,0.20754716981132076,1,1/53,0.018867924528301886,0.36820641696546624,0.13179358303453376,24
54,13,13/54,0.24074074074074073,1,1/54,0.018518518518518517,0.4709275855447621,0.029072414455237894,25
54,11,11/54,0.2037037037037037,1,1/54,0.018518518518518517,0.3565983836444549,0.1434016163555451,5
55,14,14/55,0.2545454545454545,1,1/55,0.01818181818181818,0.5142780253968481,0.014278025396848082,4
55,13,13/55,0.23636363636363636,1,1/55,0.01818181818181818,0.45721249576058004,0.04278750423941996,17
55,12,12/55,0.21818181818181817,1,1/55,0.01818181818181818,0.4007047666771273,0.09929523332287271,23
55,16,16/55,0.2909090909090909,1,1/55,0.01818181818181818,0.6271091670967435,0.12710916709674347,"24,31"
56,15,15/56,0.26785714285714285,1,1/56,0.017857142857142856,0.5559822380516539,0.05598223805165392,15
56,13,13/56,0.23214285714285715,1,1/56,0.017857142857142856,0.444017761948346,0.055982238051653976,13
57,14,14/57,0.24561403508771928,1,1/57,0.017543859649122806,0.486222828815919,0.013777171184081005,4
57,13,13/57,0.22807017543859648,1,1/57,0.017543859649122806,0.43132322109079585,0.06867677890920415,22
57,16,16/57,0.2807017543859649,1,1/57,0.017543859649122806,0.595855315961869,0.09585531596186903,25
57,17,17/57,0.2982456140350877,1,1/57,0.017543859649122806,0.6492574055008471,0.1492574055008471,10
58,15,15/58,0.25862068965517243,1,1/58,0.017241379310344827,0.5270694542927088,0.027069454292708794,"27,31"
58,13,13/58,0.22413793103448276,1,1/58,0.017241379310344827,0.41910900172361754,0.08089099827638246,9
58,17,17/58,0.29310344827586204,1,1/58,0.017241379310344827,0.6337641692646104,0.13376416926461043,17
59,15,15/59,0.2542372881355932,1,1/59,0.01694915254237288,0.5133102607188873,0.013310260718887301,4
59,14,14/59,0.23728813559322035,1,1/59,0.01694915254237288,0.4601069472234585,0.03989305277654148,21
59,16,16/59,0.2711864406779661,1,1/59,0.01694915254237288,0.5663627636418609,0.06636276364186089,11
59,13,13/59,0.22033898305084745,1,1/59,0.01694915254237288,0.4073556379564428,0.0926443620435572,9
59,17,17/59,0.288135593220339,1,1/59,0.01694915254237288,0.6186633499355574,0.11866334993555738,7
59,12,12/59,0.2033898305084746,1,1/59,0.01694915254237288,0.3556540263301895,0.1443459736698105,5
60,17,17/60,0.2833333333333333,1,1/60,0.016666666666666666,0.6039558454088795,0.10395584540887948,7
60,13,13/60,0.21666666666666667,1,1/60,0.016666666666666666,0.3960441545911204,0.10395584540887959,23
61,15,15/61,0.2459016393442623,1,1/61,0.01639344262295082,0.4871260431725057,0.012873956827494315,4
61,16,16/61,0.26229508196721313,1,1/61,0.01639344262295082,0.5385877310633232,0.03858773106332325,"19,42"
61,14,14/61,0.22950819672131148,1,1/61,0.01639344262295082,0.4358008224267245,0.06419917757327548,13
61,17,17/61,0.2786885245901639,1,1/61,0.01639344262295082,0.5896403794053677,0.08964037940536773,18
61,13,13/61,0.21311475409836064,1,1/61,0.01639344262295082,0.3851561289341021,0.11484387106589788,14
61,18,18/61,0.29508196721311475,1,1/61,0.01639344262295082,0.6397428174258046,0.13974281742580463,17
62,15,15/62,0.24193548387096775,1,1/62,0.016129032258064516,0.4746754155806436,0.025324584419356422,33
62,17,17/62,0.27419354838709675,1,1/62,0.016129032258064516,0.5757138887522882,0.07571388875228824,11
62,13,13/62,0.20967741935483872,1,1/62,0.016129032258064516,0.3746737338706397,0.12532626612936032,19
63,16,16/63,0.25396825396825395,1,1/63,0.015873015873015872,0.5124653458690365,0.01246534586903647,4
63,17,17/63,0.2698412698412698,1,1/63,0.015873015873015872,0.5621718523237424,0.06217185232374245,26
63,13,13/63,0.20634920634920634,1,1/63,0.015873015873015872,0.36457976592849745,0.13542023407150255,34
64,17,17/64,0.265625,1,1/64,0.015625,0.5490085701647803,0.04900857016478033,15
64,15,15/64,0.234375,1,1/64,0.015625,0.4509914298352196,0.049008570164780385,17
64,19,19/64,0.296875,1,1/64,0.015625,0.645142338627231,0.14514233862723103,27
64,13,13/64,0.203125,1,1/64,0.015625,0.3548576613727688,0.1451423386272312,5
65,16,16/65,0.24615384615384617,1,1/65,0.015384615384615385,0.48791812738193385,0.012081872618066147,4
65,17,17/65,0.26153846153846155,1,1/65,0.015384615384615385,0.5362174000808811,0.036217400080881146,"23,42"
65,18,18/65,0.27692307692307694,1,1/65,0.015384615384615385,0.5841785206735193,0.08417852067351927,18
65,14,14/65,0.2153846153846154,1,1/65,0.015384615384615385,0.39210790161609693,0.10789209838390307,14
65,19,19/65,0.2923076923076923,1,1/65,0.015384615384615385,0.6313536890992935,0.13135368909929346,24
66,17,17/66,0.25757575757575757,1,1/66,0.015151515151515152,0.5237909579118712,0.023790957911871247,31
66,19,19/66,0.2878787878787879,1,1/66,0.015151515151515152,0.6178794677547137,0.1178794677547137,7
67,17,17/67,0.2537313432835821,1,1/67,0.014925373134328358,0.5117212868016303,0.011721286801630315,4
67,16,16/67,0.23880597014925373,1,1/67,0.014925373134328358,0.46486190552735357,0.03513809447264643,21
67,18,18/67,0.26865671641791045,1,1/67,0.014925373134328358,0.5584776609860412,0.058477660986041236,26
67,15,15/67,0.22388059701492538,1,1/67,0.014925373134328358,0.41831131909073493,0.08168868090926507,9
67,19,19/67,0.2835820895522388,1,1/67,0.014925373134328358,0.6047201313830721,0.10472013138307212,7
67,14,14/67,0.208955223880597,1,1/67,0.014925373134328358,0.3724786157191618,0.1275213842808382,24
67,20,20/67,0.29850746268656714,1,1/67,0.014925373134328358,0.6500423175001702,0.15004231750017016,10
68,15,15/68,0.22058823529411764,1,1/68,0.014705882352941176,0.4081252410917148,0.09187475890828523,9
68,19,19/68,0.27941176470588236,1,1/68,0.014705882352941176,0.5918747589082852,0.09187475890828523,25
69,17,17/69,0.2463768115942029,1,1/69,0.014492753623188406,0.4886184010719472,0.011381598928052794,4
69,16,16/69,0.2318840579710145,1,1/69,0.014492753623188406,0.4432099069747626,0.05679009302523741,13
69,19,19/69,0.2753623188405797,1,1/69,0.014492753623188406,0.5793412732281257,0.07934127322812567,40
69,20,20/69,0.2898550724637681,1,1/69,0.014492753623188406,0.6239038929964499,0.12390389299644988,31
69,14,14/69,0.2028985507246377,1,1/69,0.014492753623188406,0.35417703027258746,0.14582296972741254,5
70,17,17/70,0.24285714285714285,1,1/70,0.014285714285714285,0.4775675848247425,0.022432415175257514,33
70,19,19/70,0.2714285714285714,1,1/70,0.014285714285714285,0.5671166329088276,0.06711663290882763,11
71,18,18/71,0.2535211267605634,1,1/71,0.014084507042253521,0.5110610435765934,0.011061043576593432,4
71,17,17/71,0.23943661971830985,1,1/71,0.014084507042253521,0.466838521782448,0.033161478217552,25
71,19,19/71,0.2676056338028169,1,1/71,0.014084507042253521,0.5551969977076349,0.055196997707634865,15
71,16,16/71,0.22535211267605634,1,1/71,0.014084507042253521,0.42287553351734886,0.07712446648265114,"31,40"
71,20,20/71,0.28169014084507044,1,1/71,0.014084507042253521,0.5989009604927585,0.09890096049275854,39
71,15,15/71,0.2112676056338028,1,1/71,0.014084507042253521,0.3795161487716929,0.12048385122830713,19
71,21,21/71,0.29577464788732394,1,1/71,0.014084507042253521,0.6418308891671484,0.14183088916714837,27
72,19,19/72,0.2638888888888889,1,1/72,0.013888888888888888,0.5435778713738292,0.04357787137382918,19
72,17,17/72,0.2361111111111111,1,1/72,0.013888888888888888,0.45642212862617076,0.043577871373829236,17
73,18,18/73,0.2465753424657534,1,1/73,0.0136986301369863,0.4892419512818888,0.010758048718111202,4
73,19,19/73,0.2602739726027397,1,1/73,0.0136986301369863,0.5322542247246581,0.03225422472465811,23
73,17,17/73,0.2328767123287671,1,1/73,0.0136986301369863,0.4463093266679185,0.053690673332081496,30
73,20,20/73,0.273972602739726,1,1/73,0.0136986301369863,0.5750276991723262,0.07502769917232621,11
73,21,21/73,0.2876712328767123,1,1/73,0.0136986301369863,0.6172456947852049,0.11724569478520486,7
73,15,15/73,0.2054794520547945,1,1/73,0.0136986301369863,0.36195151345126547,0.13804848654873453,"34,39"
74,19,19/74,0.25675675675675674,1,1/74,0.013513513513513514,0.5212206015980742,0.02122060159807415,39
74,17,17/74,0.22972972972972974,1,1/74,0.013513513513513514,0.4364910901265607,0.06350890987343932,13
74,21,21/74,0.28378378378378377,1,1/74,0.013513513513513514,0.605339634997863,0.10533963499786303,7
74,15,15/74,0.20270270270270271,1,1/74,0.013513513513513514,0.3535886143617248,0.14641138563827522,5
75,19,19/75,0.25333333333333335,1,1/75,0.013333333333333334,0.5104712099416785,0.010471209941678494,4
75,17,17/75,0.22666666666666666,1,1/75,0.013333333333333334,0.42695848571879413,0.07304151428120587,22
75,16,16/75,0.21333333333333335,1,1/75,0.013333333333333334,0.3858245649446722,0.11417543505532779,14
75,22,22/75,0.29333333333333333,1,1/75,0.013333333333333334,0.6344599103076328,0.13445991030763282,17
76,17,17/76,0.2236842105263158,1,1/76,0.013157894736842105,0.41770270485963307,0.08229729514036693,9
77,19,19/77,0.24675324675324675,1,1/77,0.012987012987012988,0.4898007313042973,0.010199268695702701,4
77,20,20/77,0.2597402597402597,1,1/77,0.012987012987012988,0.5305808304109212,0.03058083041092119,27
77,18,18/77,0.23376623376623376,1,1/77,0.012987012987012988,0.44908850664808225,0.05091149335191775,30
77,17,17/77,0.22077922077922077,1,1/77,0.012987012987012988,0.4087150895803191,0.0912849104196809,9
77,16,16/77,0.2077922077922078,1,1/77,0.012987012987012988,0.36894915853044896,0.13105084146955104,24
77,23,23/77,0.2987012987012987,1,1/77,0.012987012987012988,0.650623094768617,0.15062309476861702,10
78,17,17/78,0.21794871794871795,1,1/78,0.01282051282051282,0.39998715311197786,0.10001284688802214,23
78,23,23/78,0.2948717948717949,1,1/78,0.01282051282051282,0.6391087319582264,0.13910873195822637,17
79,20,20/79,0.25316455696202533,1,1/79,0.012658227848101266,0.509941093832535,0.009941093832535053,4
79,19,19/79,0.24050632911392406,1,1/79,0.012658227848101266,0.47019243741509004,0.029807562584909963,25
79,21,21/79,0.26582278481012656,1,1/79,0.012658227848101266,0.5496268994540308,0.04962689945403076,15
79,18,18/79,0.22784810126582278,1,1/79,0.012658227848101266,0.43063223400546585,0.06936776599453415,22
79,22,22/79,0.27848101265822783,1,1/79,0.012658227848101266,0.588998947838775,0.08899894783877504,18
79,17,17/79,0.21518987341772153,1,1/79,0.012658227848101266,0.39151059594684107,0.10848940405315893,14
79,23,23/79,0.2911392405063291,1,1/79,0.012658227848101266,0.6278083162202374,0.12780831622023736,24
79,16,16/79,0.20253164556962025,1,1/79,0.012658227848101266,0.3530748628310395,0.1469251371689605,5
80,21,21/80,0.2625,1,1/80,0.0125,0.5392295478639225,0.03922954786392252,19
80,19,19/80,0.2375,1,1/80,0.0125,0.4607704521360774,0.039229547863922576,21
80,23,23/80,0.2875,1,1/80,0.0125,0.6167226819279525,0.11672268192795254,7
80,17,17/80,0.2125,1,1/80,0.0125,0.3832773180720473,0.11672268192795271,33
81,20,20/81,0.24691358024691357,1,1/81,0.012345679012345678,0.49030433411408775,0.009695665885912252,4
81,19,19/81,0.2345679012345679,1,1/81,0.012345679012345678,0.45159456464841047,0.04840543535158953,17
81,22,22/81,0.2716049382716049,1,1/81,0.012345679012345678,0.5676656498750654,0.0676656498750654,11
81,23,23/81,0.2839506172839506,1,1/81,0.012345679012345678,0.6058519361147052,0.10585193611470523,7
81,17,17/81,0.20987654320987653,1,1/81,0.012345679012345678,0.3752794279710093,0.12472057202899067,19
82,21,21/82,0.25609756097560976,1,1/82,0.012195121951219513,0.5191513668450177,0.019151366845017725,39
82,19,19/82,0.23170731707317074,1,1/82,0.012195121951219513,0.44265828730079976,0.05734171269920024,13
82,23,23/82,0.2804878048780488,1,1/82,0.012195121951219513,0.5951955545823343,0.09519555458233431,25
83,21,21/83,0.25301204819277107,1,1/83,0.012048192771084338,0.5094620636205094,0.009462063620509387,4
83,22,22/83,0.26506024096385544,1,1/83,0.012048192771084338,0.5472425659440157,0.04724256594401566,34
83,23,23/83,0.27710843373493976,1,1/83,0.012048192771084338,0.5847524671280483,0.08475246712804829,18
83,18,18/83,0.21686746987951808,1,1/83,0.012048192771084338,0.39666129365752356,0.10333870634247644,23
83,24,24/83,0.2891566265060241,1,1/83,0.012048192771084338,0.6217769138554959,0.12177691385549594,45
83,17,17/83,0.20481927710843373,1,1/83,0.012048192771084338,0.35995932288754645,0.14004067711245355,39
84,19,19/84,0.2261904761904762,1,1/84,0.011904761904761904,0.4254788669119128,0.07452113308808722,31
84,23,23/84,0.27380952380952384,1,1/84,0.011904761904761904,0.5745211330880873,0.07452113308808728,11
84,17,17/84,0.20238095238095238,1,1/84,0.011904761904761904,0.35262241279454787,0.14737758720545213,5
85,21,21/85,0.24705882352941178,1,1/85,0.011764705882352941,0.4907605475204351,0.009239452479564925,4
85,22,22/85,0.25882352941176473,1,1/85,0.011764705882352941,0.527705737457985,0.02770573745798499,27
85,19,19/85,0.2235294117647059,1,1/85,0.011764705882352941,0.41722306190793507,0.08277693809206493,9
85,24,24/85,0.2823529411764706,1,1/85,0.011764705882352941,0.6009412045785051,0.10094120457850508,39
85,18,18/85,0.21176470588235294,1,1/85,0.011764705882352941,0.3810324024786906,0.11896759752130942,33
86,21,21/86,0.2441860465116279,1,1/86,0.011627906976744186,0.4817389884711704,0.018261011528829585,45
86,23,23/86,0.26744186046511625,1,1/86,0.011627906976744186,0.5546856041889371,0.05468560418893709,15
86,19,19/86,0.22093023255813954,1,1/86,0.011627906976744186,0.4091815745102818,0.09081842548971819,9
86,25,25/86,0.29069767441860467,1,1/86,0.011627906976744186,0.6264666911958404,0.12646669119584042,31
87,22,22/87,0.25287356321839083,1,1/87,0.011494252873563218,0.5090270746252803,0.009027074625280296,4
87,23,23/87,0.26436781609195403,1,1/87,0.011494252873563218,0.5450765405560327,0.04507654055603272,34
87,20,20/87,0.22988505747126436,1,1/87,0.011494252873563218,0.43697514438985535,0.06302485561014465,13
87,25,25/87,0.28735632183908044,1,1/87,0.011494252873563218,0.6162837277871551,0.11628372778715512,7
87,26,26/87,0.2988505747126437,1,1/87,0.011494252873563218,0.6510702077847864,0.15107020778478641,10
88,21,21/88,0.23863636363636365,1,1/88,0.011363636363636364,0.4643304084003838,0.03566959159961619,21
88,23,23/88,0.26136363636363635,1,1/88,0.011363636363636364,0.5356695915996162,0.035669591599616246,23
88,25,25/88,0.2840909090909091,1,1/88,0.011363636363636364,0.6062826447764884,0.10628264477648841,7
89,22,22/89,0.24719101123595505,1,1/89,0.011235955056179775,0.4911757596784356,0.008824240321564425,4
89,23,23/89,0.25842696629213485,1,1/89,0.011235955056179775,0.5264617270600815,0.02646172706008154,31
89,21,21/89,0.23595505617977527,1,1/89,0.011235955056179775,0.45593375421819904,0.04406624578180096,17
89,24,24/89,0.2696629213483146,1,1/89,0.011235955056179775,0.5616158634485793,0.06161586344857928,26
89,20,20/89,0.2247191011235955,1,1/89,0.011235955056179775,0.42091128457784793,0.07908871542215207,40
89,19,19/89,0.21348314606741572,1,1/89,0.011235955056179775,0.38628283093944665,0.11371716906055335,14
89,26,26/89,0.29213483146067415,1,1/89,0.011235955056179775,0.6308296279842204,0.13082962798422038,24
89,18,18/89,0.20224719101123595,1,1/89,0.011235955056179775,0.3522209105171579,0.14777908948284207,5
90,19,19/90,0.2111111111111111,1,1/90,0.011111111111111112,0.37903905220016615,0.12096094779983385,19
4,1,1/4,0.25,0,0/1,0.0,0.5000000000000001,1.1102230246251565e-16,"4,8,12,16,24,28,36,40"
45,11,11/45,0.24444444444444444,0,0/1,0.0,0.4825502516487495,0.017449748351250516,45
39,10,10/39,0.2564102564102564,0,0/1,0.0,0.5201329700547075,0.02013297005470749,39
33,8,8/33,0.24242424242424243,0,0/1,0.0,0.47620904208812875,0.023790957911871247,33
31,8,8/31,0.25806451612903225,0,0/1,0.0,0.5253245844193564,0.025324584419356366,31
27,7,7/27,0.25925925925925924,0,0/1,0.0,0.529072414455238,0.029072414455238005,27
25,6,6/25,0.24,0,0/1,0.0,0.4686047402353432,0.03139525976465679,25
23,6,6/23,0.2608695652173913,0,0/1,0.0,0.5341212066823354,0.034121206682335425,23
21,5,5/21,0.23809523809523808,0,0/1,0.0,0.4626349532067878,0.037365046793212175,"21,42"
42,11,11/42,0.2619047619047619,0,0/1,0.0,0.5373650467932122,0.037365046793212175,42
19,5,5/19,0.2631578947368421,0,0/1,0.0,0.5412896727361661,0.04128967273616613,19
34,9,9/34,0.2647058823529412,0,0/1,0.0,0.5461341797316509,0.046134179731650904,34
17,4,4/17,0.23529411764705882,0,0/1,0.0,0.453865820268349,0.046134179731651015,"17,34"
15,4,4/15,0.26666666666666666,0,0/1,0.0,0.5522642316338265,0.05226423163382654,"15,30,45"
30,7,7/30,0.23333333333333334,0,0/1,0.0,0.4477357683661733,0.05226423163382671,30
26,7,7/26,0.2692307692307692,0,0/1,0.0,0.5602683401276615,0.06026834012766147,26
13,3,3/13,0.23076923076923078,0,0/1,0.0,0.4397316598723385,0.060268340127661524,"13,26,39"
11,3,3/11,0.2727272727272727,0,0/1,0.0,0.5711574191366425,0.07115741913664253,"11,22,33"
22,5,5/22,0.22727272727272727,0,0/1,0.0,0.42884258086335736,0.07115741913664264,22
31,7,7/31,0.22580645161290322,0,0/1,0.0,0.4242861112477116,0.0757138887522884,31
40,9,9/40,0.225,0,0/1,0.0,0.4217827674798846,0.07821723252011542,40
40,11,11/40,0.275,0,0/1,0.0,0.5782172325201156,0.07821723252011559,40
18,5,5/18,0.2777777777777778,0,0/1,0.0,0.5868240888334652,0.08682408883346515,"18,36"
9,2,2/9,0.2222222222222222,0,0/1,0.0,0.41317591116653474,0.08682408883346526,"9,18,27,36,45"
25,7,7/25,0.28,0,0/1,0.0,0.5936906572928623,0.0936906572928623,25
39,11,11/39,0.28205128205128205,0,0/1,0.0,0.6000128468880223,0.10001284688802226,39
23,5,5/23,0.21739130434782608,0,0/1,0.0,0.3982719934736831,0.10172800652631692,23
7,2,2/7,0.2857142857142857,0,0/1,0.0,0.6112604669781572,0.11126046697815717,"7,14,21,28,42"
14,3,3/14,0.21428571428571427,0,0/1,0.0,0.3887395330218427,0.11126046697815728,"14,28,42"
33,7,7/33,0.21212121212121213,0,0/1,0.0,0.3821205322452863,0.1178794677547137,33
45,13,13/45,0.28888888888888886,0,0/1,0.0,0.6209609477998338,0.1209609477998338,45
19,4,4/19,0.21052631578947367,0,0/1,0.0,0.37725725642960045,0.12274274357039955,19
31,9,9/31,0.2903225806451613,0,0/1,0.0,0.6253262661293604,0.12532626612936038,31
24,5,5/24,0.20833333333333334,0,0/1,0.0,0.37059047744873963,0.12940952255126037,24
24,7,7/24,0.2916666666666667,0,0/1,0.0,0.6294095225512604,0.12940952255126037,24
17,5,5/17,0.29411764705882354,0,0/1,0.0,0.6368314950360414,0.13683149503604142,"17,34"
34,7,7/34,0.20588235294117646,0,0/1,0.0,0.36316850496395847,0.13683149503604153,34
39,8,8/39,0.20512820512820512,0,0/1,0.0,0.36089126804177357,0.13910873195822643,39
27,8,8/27,0.2962962962962963,0,0/1,0.0,0.643401616355545,0.14340161635554505,27
5,1,1/5,0.2,0,0/1,0.0,0.3454915028125263,0.15450849718747373,"5,10,15,25,30,40,45"
10,3,3/10,0.3,0,0/1,0.0,0.6545084971874737,0.15450849718747373,"10,30,40"
