M,m,inverse_a,k_star,L_over_R_star,left_slope_numeric,right_slope_numeric,left_slope_theory,right_slope_theory
4,1,1,0.250000000000,0.500000000000,1.000000000,-3.000000000,1.000000000,-3.000000000
9,1,1,0.111111111111,0.116977778441,1.000000000,-8.000000000,1.000000000,-8.000000000
9,2,5,0.222222222222,0.413175911167,5.000000001,-4.000000000,5.000000000,-4.000000000
9,4,7,0.444444444444,0.969846310393,6.999999997,-1.999999996,7.000000000,-2.000000000
15,1,1,0.066666666667,0.043227271179,1.000000000,-14.000000000,1.000000000,-14.000000000
15,2,8,0.133333333333,0.165434696821,8.000000000,-7.000000000,8.000000000,-7.000000000
15,4,4,0.266666666667,0.552264231634,4.000000000,-10.999999998,4.000000000,-11.000000000
15,7,13,0.466666666667,0.989073800367,13.000000001,-1.999999998,13.000000000,-2.000000000
