coarse_M,fine_M,max_fine_minus_coarse,min_fine_minus_coarse,equality_fraction
4,9,0.000000000000e+00,-2.500000000000e-01,0.460626968652
9,15,0.000000000000e+00,-1.110735557000e-01,0.627968601570
4,15,0.000000000000e+00,-2.500000000000e-01,0.280885955702
