q,m,k_fraction,shell1_projection,shell1_hits_D,shell1_hits_complement,shell2_projection,shell2_hits_D,shell2_hits_complement,shell3_projection,shell3_hits_D,exact_rho,predicted_ge_2_by_shell1_complement,predicted_ge_3_by_shell12_complement,limiting_diffs
65,17,17/65,"23,42","23,42",,19,19,,4,4,1,False,False,"23,42"
65,18,18/65,18,18,,"29,36",36,29,11,11,1,False,False,18
65,19,19/65,"24,41",24,41,17,17,,7,7,1,False,False,24
66,17,17/66,"31,35",31,35,4,4,,"27,39","27,39",1,False,False,31
66,19,19/66,7,7,,14,14,,"21,45","21,45",1,False,False,7
67,14,14/67,"24,43",24,43,19,19,,5,5,1,False,False,24
67,15,15/67,9,9,,18,18,,"27,40","27,40",1,False,False,9
67,16,16/67,21,21,,"25,42","25,42",,4,4,1,False,False,21
67,17,17/67,4,4,,8,8,,12,12,1,False,False,4
67,18,18/67,"26,41",26,41,15,15,,11,11,1,False,False,26
67,19,19/67,7,7,,14,14,,21,21,1,False,False,7
67,20,20/67,10,10,,20,,20,"30,37",30,1,False,False,10
68,15,15/68,9,9,,18,18,,"27,41",27,1,False,False,9
68,19,19/68,"25,43",25,43,18,18,,7,7,1,False,False,25
69,14,14/69,5,5,,10,10,,15,15,1,False,False,5
69,16,16/69,13,13,,"26,43",26,43,"30,39","30,39",1,False,False,13
69,17,17/69,4,4,,8,8,,12,12,1,False,False,4
69,19,19/69,"29,40",40,29,11,11,,18,18,1,False,False,40
69,20,20/69,"31,38",31,38,7,7,,"24,45","24,45",1,False,False,31
70,17,17/70,"33,37",33,37,4,4,,"29,41",,1,False,False,33
70,19,19/70,11,11,,22,22,,"33,37",33,1,False,False,11
71,15,15/71,19,19,,"33,38",33,38,14,14,1,False,False,19
71,16,16/71,"31,40","31,40",,9,9,,22,22,1,False,False,"31,40"
71,17,17/71,25,25,,21,21,,4,4,1,False,False,25
71,18,18/71,4,4,,8,8,,12,12,1,False,False,4
71,19,19/71,15,15,,"30,41",30,41,"26,45","26,45",1,False,False,15
71,20,20/71,"32,39",39,32,7,7,,25,25,1,False,False,39
71,21,21/71,"27,44",27,44,17,17,,10,10,1,False,False,27
72,17,17/72,17,17,,"34,38",34,38,21,21,1,False,False,17
72,19,19/72,19,19,,"34,38",34,38,15,15,1,False,False,19
73,15,15/73,"34,39","34,39",,5,5,,"29,44",,1,False,False,"34,39"
73,16,16/73,"32,41",,"32,41",9,9,,23,23,2,True,False,9
73,17,17/73,"30,43",30,43,13,13,,17,17,1,False,False,30
73,18,18/73,4,4,,8,8,,12,12,1,False,False,4
73,19,19/73,23,23,,27,27,,4,4,1,False,False,23
73,20,20/73,11,11,,22,22,,"33,40","33,40",1,False,False,11
73,21,21/73,7,7,,14,14,,21,21,1,False,False,7
74,15,15/74,5,5,,10,10,,15,15,1,False,False,5
74,17,17/74,13,13,,26,26,,"35,39",39,1,False,False,13
74,19,19/74,"35,39",39,35,4,4,,"31,43",31,1,False,False,39
74,21,21/74,7,7,,14,14,,21,21,1,False,False,7
75,16,16/75,14,14,,28,28,,"33,42","33,42",1,False,False,14
75,17,17/75,22,22,,"31,44",31,44,9,9,1,False,False,22
75,19,19/75,4,4,,8,8,,12,12,1,False,False,4
75,22,22/75,17,17,,"34,41",34,41,24,24,1,False,False,17
76,17,17/76,9,9,,18,18,,27,27,1,False,False,9
76,21,21/76,29,,29,18,18,,11,11,2,True,False,18
77,16,16/77,24,24,,29,,29,5,5,1,False,False,24
77,17,17/77,9,9,,18,18,,27,27,1,False,False,9
77,18,18/77,30,30,,17,17,,13,13,1,False,False,30
77,19,19/77,4,4,,8,8,,12,12,1,False,False,4
77,20,20/77,27,27,,23,23,,4,4,1,False,False,27
77,23,23/77,10,10,,20,,20,30,30,1,False,False,10
78,17,17/78,23,23,,32,,32,9,9,1,False,False,23
78,19,19/78,"37,41",,"37,41",4,4,,"33,45","33,45",2,True,False,4
78,23,23/78,17,17,,"34,44",34,44,27,27,1,False,False,17
79,16,16/79,5,5,,10,10,,15,15,1,False,False,5
79,17,17/79,14,14,,28,28,,"37,42",42,1,False,False,14
79,18,18/79,22,22,,"35,44",,"35,44",13,13,1,False,False,22
79,19,19/79,25,25,,29,,29,4,4,1,False,False,25
79,20,20/79,4,4,,8,8,,12,12,1,False,False,4
79,21,21/79,15,15,,30,30,,"34,45","34,45",1,False,False,15
79,22,22/79,18,18,,"36,43",36,43,25,25,1,False,False,18
79,23,23/79,24,24,,31,31,,7,7,1,False,False,24
80,17,17/80,33,33,,14,14,,19,19,1,False,False,33
80,19,19/80,21,21,,"38,42",42,38,17,17,1,False,False,21
80,21,21/80,19,19,,"38,42",42,38,23,23,1,False,False,19
80,23,23/80,7,7,,14,14,,21,21,1,False,False,7
81,17,17/81,19,19,,"38,43",,"38,43",24,24,1,False,False,19
