detuning_from_l0_peak_mhz,T_l0_exp_rising_smooth,T_l9_exp_rising_smooth,T_overlap_min_exp_rising_smooth
-529.8804714693688,,,
-529.4295851943752,,,
-528.9786989193817,,,
-528.5278126443882,,,
-528.0769263693946,,,
-527.6260400944011,,,
-527.1751538194076,,,
-526.724267544414,,,
-526.2733812694205,,,
-525.822494994427,,,
-525.3716087194334,,,
-524.9207224444399,,,
-524.4698361694464,,,
-524.0189498944528,,,
-523.5680636194593,,,
-523.1171773444657,,,
-522.6662910694722,,,
-522.2154047944787,,,
-521.7645185194851,,,
-521.3136322444916,,,
-520.8627459694981,,,
-520.4118596945045,,,
-519.960973419511,,,
-519.5100871445175,,,
-519.0592008695239,,,
-518.6083145945304,,,
-518.1574283195368,,,
-517.7065420445433,,,
-517.2556557695498,,,
-516.8047694945562,,,
-516.3538832195627,,,
-515.9029969445692,,,
-515.4521106695756,,,
-515.0012243945821,,0.06828548946131846,
-514.5503381195886,,0.06834206954503111,
-514.099451844595,,0.06839864962874377,
-513.6485655696015,,0.06845522971245643,
-513.197679294608,,0.06851180979616907,
-512.7467930196144,,0.0686090093895845,
-512.2959067446209,,0.0687221695570098,
-511.84502046962734,,0.0688353297244351,
-511.3941341946338,,0.06894848989186038,
-510.94324791964027,,0.06906165005928568,
-510.49236164464673,,0.06917481022671099,
-510.0414753696532,,0.0692879703941363,
-509.59058909465966,,0.06940113056156158,
-509.1397028196661,,0.06951429072898688,
-508.6888165446726,,0.06962745089641217,
-508.23793026967905,,0.06974061106383746,
-507.7870439946855,,0.06985377123126277,
-507.336157719692,,0.06996693139868805,
-506.88527144469845,,0.07008009156611336,
-506.4343851697049,0.08470439498385875,0.07019325173353866,0.07019325173353866
-505.9834988947114,0.08477757911580464,0.07030641190096394,0.07030641190096394
-505.53261261971784,0.08485076324775051,0.07041957206838925,0.07041957206838925
-505.0817263447243,0.0849239473796964,0.07053273223581454,0.07053273223581454
-504.63084006973077,0.08499713151164229,0.07064589240323983,0.07064589240323983
-504.17995379473723,0.08507031564358818,0.07075905257066514,0.07075905257066514
-503.7290675197437,0.08514349977553407,0.07087221273809044,0.07087221273809044
-503.27818124475016,0.08521668390747994,0.07098537290551572,0.07098537290551572
-502.8272949697566,0.08528986803942584,0.07109853307294102,0.07109853307294102
-502.3764086947631,0.08536305217137173,0.07121169324036632,0.07121169324036632
-501.92552241976955,0.0854486343368705,0.07132485340779163,0.07132485340779163
-501.474636144776,0.08559500260076228,0.07143801357521691,0.07143801357521691
-501.0237498697825,0.08574137086465405,0.07155117374264221,0.07155117374264221
-500.57286359478894,0.08588773912854585,0.07166433391006749,0.07166433391006749
-500.1219773197954,0.08603410739243761,0.0717774940774928,0.0717774940774928
-499.67109104480187,0.08618047565632937,0.0718906542449181,0.0718906542449181
-499.22020476980833,0.08632684392022116,0.0720038144123434,0.0720038144123434
-498.7693184948148,0.08647321218411294,0.07211697457976869,0.07211697457976869
-498.31843221982126,0.08661958044800472,0.07223013474719399,0.07223013474719399
-497.8675459448277,0.08676594871189648,0.0723432949146193,0.0723432949146193
-497.4166596698342,0.08691231697578826,0.07245645508204458,0.07245645508204458
-496.96577339484065,0.08705868523968005,0.07256961524946988,0.07256961524946988
-496.5148871198471,0.08720505350357181,0.07268277541689519,0.07268277541689519
-496.0640008448536,0.0873514217674636,0.07279593558432047,0.07279593558432047
-495.61311456986004,0.08749779003135537,0.07290909575174576,0.07290909575174576
-495.1622282948665,0.08764415829524716,0.07302225591917107,0.07302225591917107
-494.711342019873,0.08779052655913892,0.07313541608659636,0.07313541608659636
-494.26045574487944,0.08793689482303071,0.07324857625402166,0.07324857625402166
-493.8095694698859,0.08808326308692248,0.07336173642144696,0.07336173642144696
-493.35868319489236,0.08822963135081427,0.07347489658887223,0.07347489658887223
-492.90779691989883,0.08837599961470603,0.07358805675629755,0.07358805675629755
-492.4569106449053,0.0885223678785978,0.07370121692372283,0.07370121692372283
-492.00602436991176,0.0886687361424896,0.07381437709114813,0.07381437709114813
-491.5551380949182,0.08881510440638136,0.07392753725857343,0.07392753725857343
-491.1042518199247,0.08896147267027313,0.07404069742599874,0.07404069742599874
-490.65336554493115,0.0891078409341649,0.07415385759342402,0.07415385759342402
-490.2024792699376,0.0892542091980567,0.0742670177608493,0.0742670177608493
-489.7515929949441,0.08940057746194846,0.07438017792827462,0.07438017792827462
-489.30070671995054,0.08954694572584024,0.0744933380956999,0.0744933380956999
-488.849820444957,0.08969331398973202,0.07460649826312522,0.07460649826312522
-488.39893416996347,0.08983968225362379,0.0747196584305505,0.0747196584305505
-487.94804789496993,0.08998605051751556,0.07483281859797582,0.07483281859797582
-487.4971616199764,0.09013241878140733,0.0749459787654011,0.0749459787654011
-487.04627534498286,0.09027878704529911,0.07505913893282638,0.07505913893282638
-486.5953890699893,0.09042515530919089,0.07517229910025168,0.07517229910025168
-486.1445027949958,0.09057152357308267,0.07528545926767698,0.07528545926767698
