detuning_from_l0_peak_mhz,T_l0_exp_rising_raw,T_l9_exp_rising_raw,T_overlap_min_exp_rising_raw
-529.8804714693688,,,
-529.4295851943752,,,
-528.9786989193817,,,
-528.5278126443882,,,
-528.0769263693946,,,
-527.6260400944011,,,
-527.1751538194076,,,
-526.724267544414,,,
-526.2733812694205,,,
-525.822494994427,,,
-525.3716087194334,,,
-524.9207224444399,,,
-524.4698361694464,,,
-524.0189498944528,,,
-523.5680636194593,,,
-523.1171773444657,,,
-522.6662910694722,,,
-522.2154047944787,,,
-521.7645185194851,,,
-521.3136322444916,,,
-520.8627459694981,,,
-520.4118596945045,,,
-519.960973419511,,,
-519.5100871445175,,,
-519.0592008695239,,,
-518.6083145945304,,,
-518.1574283195368,,,
-517.7065420445433,,,
-517.2556557695498,,,
-516.8047694945562,,,
-516.3538832195627,,,
-515.9029969445692,,,
-515.4521106695756,,,
-515.0012243945821,,0.06795390949713108,
-514.5503381195886,,0.06806692115456887,
-514.099451844595,,0.06817993281200667,
-513.6485655696015,,0.06829294446944446,
-513.197679294608,,0.06840595612688226,
-512.7467930196144,,0.06851896778432005,
-512.2959067446209,,0.06863197944175783,
-511.84502046962734,,0.06874499109919563,
-511.3941341946338,,0.06885800275663342,
-510.94324791964027,,0.06897101441407122,
-510.49236164464673,,0.06908402607150903,
-510.0414753696532,,0.06919703772894682,
-509.59058909465966,,0.06931004938638462,
-509.1397028196661,,0.06942306104382241,
-508.6888165446726,,0.0695360727012602,
-508.23793026967905,,0.06964908435869799,
-507.7870439946855,,0.06976209601613578,
-507.336157719692,,0.06987510767357358,
-506.88527144469845,,0.06998811933101137,
-506.4343851697049,,0.07010113098844917,
-505.9834988947114,,0.07021414264588696,
-505.53261261971784,,0.07032715430332476,
-505.0817263447243,,0.07044016596076255,
-504.63084006973077,,0.07055317761820035,
-504.17995379473723,0.08467324735129339,0.07066618927563816,0.07066618927563816
-503.7290675197437,0.08481954037976464,0.07077920093307595,0.07077920093307595
-503.27818124475016,0.08496583340823587,0.07089221259051373,0.07089221259051373
-502.8272949697566,0.0851121264367071,0.07100522424795151,0.07100522424795151
-502.3764086947631,0.08525841946517831,0.07111823590538932,0.07111823590538932
-501.92552241976955,0.08540471249364956,0.0712312475628271,0.0712312475628271
-501.474636144776,0.08555100552212079,0.07134425922026491,0.07134425922026491
-501.0237498697825,0.08569729855059202,0.07145727087770269,0.07145727087770269
-500.57286359478894,0.08584359157906327,0.0715702825351405,0.0715702825351405
-500.1219773197954,0.08598988460753448,0.07168329419257828,0.07168329419257828
-499.67109104480187,0.08613617763600571,0.07179630585001609,0.07179630585001609
-499.22020476980833,0.08628247066447696,0.07190931750745387,0.07190931750745387
-498.7693184948148,0.08642876369294819,0.07202232916489167,0.07202232916489167
-498.31843221982126,0.08657505672141944,0.07213534082232946,0.07213534082232946
-497.8675459448277,0.08672134974989065,0.07224835247976727,0.07224835247976727
-497.4166596698342,0.08686764277836188,0.07236136413720505,0.07236136413720505
-496.96577339484065,0.08701393580683313,0.07247437579464286,0.07247437579464286
-496.5148871198471,0.08716022883530435,0.07258738745208064,0.07258738745208064
-496.0640008448536,0.08730652186377559,0.07270039910951845,0.07270039910951845
-495.61311456986004,0.08745281489224682,0.07281341076695623,0.07281341076695623
-495.1622282948665,0.08759910792071805,0.07292642242439404,0.07292642242439404
-494.711342019873,0.08774540094918928,0.07303943408183182,0.07303943408183182
-494.26045574487944,0.08789169397766051,0.07315244573926963,0.07315244573926963
-493.8095694698859,0.08803798700613176,0.07326545739670741,0.07326545739670741
-493.35868319489236,0.08818428003460299,0.0733784690541452,0.0733784690541452
-492.90779691989883,0.08833057306307421,0.073491480711583,0.073491480711583
-492.4569106449053,0.08847686609154545,0.0736044923690208,0.0736044923690208
-492.00602436991176,0.0886231591200167,0.07371750402645859,0.07371750402645859
-491.5551380949182,0.08876945214848793,0.0738305156838964,0.0738305156838964
-491.1042518199247,0.08891574517695916,0.07394352734133418,0.07394352734133418
-490.65336554493115,0.08906203820543039,0.07405653899877199,0.07405653899877199
-490.2024792699376,0.08920833123390162,0.07416955065620977,0.07416955065620977
-489.7515929949441,0.08935462426237285,0.07428256231364758,0.07428256231364758
-489.30070671995054,0.08950091729084408,0.07439557397108534,0.07439557397108534
-488.849820444957,0.08964721031931532,0.07450858562852314,0.07450858562852314
-488.39893416996347,0.08979350334778653,0.07462159728596093,0.07462159728596093
-487.94804789496993,0.08993979637625778,0.07473460894339873,0.07473460894339873
-487.4971616199764,0.09008608940472901,0.07484762060083652,0.07484762060083652
-487.04627534498286,0.09023238243320025,0.07496063225827432,0.07496063225827432
-486.5953890699893,0.09037867546167148,0.07507364391571211,0.07507364391571211
-486.1445027949958,0.0905249684901427,0.07518665557314991,0.07518665557314991
-485.69361652000225,0.09067126151861395,0.0752996672305877,0.0752996672305877
-485.2427302450087,0.09081755454708518,0.07541267888802552,0.07541267888802552
