detuning_from_l0_peak_mhz,detuning_from_l0_peak_fsr,T_l0,T_l9,T_overlap_min
-1224.6585325598717,-0.12350982263047394,0.01566950849739322,0.014985544257820805,0.014985544257820805
-1224.040470302105,-0.12344748953287832,0.01568508842778077,0.015000180232772478,0.015000180232772478
-1223.4224080443382,-0.12338515643528271,0.01570069148235348,0.01501483755098465,0.01501483755098465
-1222.8043457865715,-0.12332282333768708,0.015716317706648397,0.015029516253762061,0.015029516253762061
-1222.1862835288048,-0.12326049024009147,0.015731967146314096,0.015044216382508921,0.015044216382508921
-1221.568221271038,-0.12319815714249585,0.015747639847111007,0.015058937978729144,0.015058937978729144
-1220.9501590132713,-0.12313582404490024,0.01576333585491174,0.015073681084026654,0.015073681084026654
-1220.3320967555046,-0.12307349094730463,0.015779055215701394,0.015088445740105696,0.015088445740105696
-1219.7140344977379,-0.12301115784970901,0.015794797975577927,0.015103231988771088,0.015103231988771088
-1219.0959722399712,-0.1229488247521134,0.015810564180752454,0.015118039871928517,0.015118039871928517
-1218.4779099822044,-0.12288649165451777,0.015826353877549593,0.015132869431584864,0.015132869431584864
-1217.8598477840424,-0.12282415856293344,0.015842167110881652,0.01514772070841517,0.01514772070841517
-1217.2417855262756,-0.12276182546533781,0.015858003930351233,0.015162593747493978,0.015162593747493978
-1216.623723268509,-0.1226994923677422,0.01587386438110159,0.01517748858970222,0.01517748858970222
-1216.0056610107422,-0.1226371592701466,0.015889748509914668,0.015192405277454383,0.015192405277454383
-1215.3875987529755,-0.12257482617255097,0.015905656363687584,0.015207343853267564,0.015207343853267564
-1214.7695364952087,-0.12251249307495536,0.015921587989432988,0.015222304359761792,0.015222304359761792
-1214.151474237442,-0.12245015997735974,0.015937543434279354,0.015237286839660353,0.015237286839660353
-1213.5334119796753,-0.12238782687976413,0.01595352274547136,0.01525229133579004,0.01525229133579004
-1212.9153497219086,-0.1223254937821685,0.015969525970370223,0.015267317891081468,0.015267317891081468
-1212.2972874641418,-0.1222631606845729,0.015985553156454037,0.015282366548569416,0.015282366548569416
-1211.6792252063751,-0.12220082758697728,0.016001604351318106,0.01529743735139306,0.01529743735139306
-1211.0611629486084,-0.12213849448938166,0.01601767960267532,0.015312530342796317,0.015312530342796317
-1210.4431006908417,-0.12207616139178605,0.016033778958356466,0.015327645566128157,0.015327645566128157
-1209.825038433075,-0.12201382829419043,0.016049902466310606,0.01534278306484288,0.01534278306484288
-1209.2069761753082,-0.12195149519659482,0.016066050174605398,0.015357942882500421,0.015357942882500421
-1208.5889139175415,-0.1218891620989992,0.016082222131427484,0.015373125062766698,0.015373125062766698
