detuning_from_l0_peak_mhz,T_l0_exp,T_l9_exp,T_overlap_min_exp
-557.7242280336213,0.0752868228880427,0.07094111467991115,0.07094111467991115
-557.2450226212095,0.07535018646237969,0.07104305687147193,0.07104305687147193
-556.7658172087977,0.07541355003671668,0.07114499906303269,0.07114499906303269
-556.2866117963858,0.07547691361105369,0.07124694125459345,0.07124694125459345
-555.807406383974,0.07554027718539069,0.07134888344615423,0.07134888344615423
-555.3282009715622,0.0756036407597277,0.07145082563771497,0.07145082563771497
-554.8489955591504,0.07566700433406469,0.07155276782927573,0.07155276782927573
-554.3697901467385,0.0757303679084017,0.0716547100208365,0.0716547100208365
-553.8905847343267,0.0757937314827387,0.07175665221239728,0.07175665221239728
-553.4113793219149,0.07585709505707569,0.07185859440395805,0.07185859440395805
-552.932173909503,0.07593367835175174,0.07196053659551879,0.07196053659551879
-552.4529684970912,0.07606040550042575,0.07206247878707957,0.07206247878707957
-551.9737630846794,0.07618713264909975,0.07216442097864034,0.07216442097864034
-551.4945576722675,0.07631385979777375,0.0722663631702011,0.0722663631702011
-551.0153522598557,0.07644058694644774,0.07236830536176186,0.07236830536176186
-550.5361468474439,0.07656731409512176,0.07247024755332263,0.07247024755332263
-550.0569414350321,0.07669404124379574,0.07257218974488341,0.07257218974488341
-549.5777360226202,0.07682076839246973,0.07267413193644418,0.07267413193644418
-549.0985306102084,0.07694749554114373,0.07277607412800492,0.07277607412800492
-548.6193251977966,0.07707422268981774,0.07287801631956568,0.07287801631956568
-548.1401197853847,0.07720094983849173,0.07297995851112646,0.07297995851112646
-547.6609143729729,0.07732767698716574,0.0730819007026872,0.0730819007026872
-547.1817089605611,0.07745440413583975,0.07318384289424798,0.07318384289424798
-546.7025035481493,0.07758113128451374,0.07328578508580876,0.07328578508580876
-546.2232981357374,0.07770785843318773,0.07338772727736953,0.07338772727736953
-545.7440927233256,0.07783458558186172,0.07348966946893028,0.07348966946893028
-545.2648873109138,0.07796131273053573,0.07359161166049102,0.07359161166049102
-544.7856818985019,0.07808803987920974,0.07369355385205181,0.07369355385205181
-544.3064764860901,0.07821476702788373,0.07379549604361259,0.07379549604361259
-543.8272710736783,0.07834149417655774,0.07389743823517333,0.07389743823517333
-543.3480656612664,0.07846822132523174,0.0739993804267341,0.0739993804267341
-542.8688602488546,0.07859494847390573,0.07410132261829487,0.07410132261829487
-542.3896548364428,0.07872167562257973,0.07420326480985565,0.07420326480985565
-541.910449424031,0.07884840277125373,0.07430520700141639,0.07430520700141639
-541.4312440116191,0.07897512991992774,0.07440714919297715,0.07440714919297715
-540.9520385992073,0.07910185706860175,0.07450909138453794,0.07450909138453794
-540.4728331867955,0.07922858421727572,0.0746110335760987,0.0746110335760987
-539.9936277743836,0.07935531136594971,0.07471297576765946,0.07471297576765946
-539.5144223619718,0.07948203851462372,0.07481491795922021,0.07481491795922021
-539.03521694956,0.07960876566329773,0.074916860150781,0.074916860150781
-538.5560115371482,0.07973549281197172,0.07501880234234178,0.07501880234234178
-538.0768061247363,0.07986221996064571,0.07512074453390252,0.07512074453390252
-537.5976007123245,0.07998894710931974,0.07522268672546328,0.07522268672546328
-537.1183952999127,0.08011567425799374,0.07532462891702404,0.07532462891702404
-536.6391898875008,0.08024240140666772,0.07542657110858482,0.07542657110858482
-536.159984475089,0.08036912855534172,0.0755285133001456,0.0755285133001456
-535.6807790626772,0.08049585570401574,0.07563045549170634,0.07563045549170634
-535.2015736502653,0.08062258285268974,0.07573239768326712,0.07573239768326712
-534.7223682378535,0.08074931000136372,0.07583571139628079,0.07583571139628079
-534.2431628254417,0.0808760371500377,0.07594048662386597,0.07594048662386597
-533.7639574130299,0.08100276429871173,0.0760468323310548,0.0760468323310548
-533.284752000618,0.08112949144738572,0.07615500167451994,0.07615500167451994
-532.8055465882062,0.0812562185960597,0.07626518324092509,0.07626518324092509
-532.3263411757944,0.08138294574473369,0.07637693528693384,0.07637693528693384
-531.8471357633825,0.08150967289340771,0.07649025781254624,0.07649025781254624
-531.3679303509707,0.08163640004208171,0.07660522329484927,0.07660522329484927
-530.8887249385589,0.0817631271907557,0.07672238167967795,0.07672238167967795
-530.409519526147,0.08188985433942969,0.07684111054411026,0.07684111054411026
-529.9303141137352,0.08201658148810372,0.07696140988814623,0.07696140988814623
-529.4511087013234,0.08214330863677771,0.0770831986861045,0.0770831986861045
-528.9719032889116,0.0822700357854517,0.07720552929417894,0.07720552929417894
-528.4926978764997,0.08239676293412569,0.07732785990225338,0.07732785990225338
-528.0134924640879,0.0825234900827997,0.07745019051032784,0.07745019051032784
-527.5342870516761,0.0826502172314737,0.0775725211184023,0.0775725211184023
-527.0550816392642,0.0827769443801477,0.07769485172647672,0.07769485172647672
-526.5758762268524,0.08290367152882169,0.07781718233455116,0.07781718233455116
-526.0966708144406,0.0830303986774957,0.0779395129426256,0.0779395129426256
-525.6174654020288,0.0831571258261697,0.07806184355070006,0.07806184355070006
-525.1382599896169,0.0832838529748437,0.07818417415877449,0.07818417415877449
-524.6590545772051,0.08341137230231888,0.07830650476684893,0.07830650476684893
-524.1798491647933,0.08354034261006217,0.0784288353749234,0.0784288353749234
-523.7006437523814,0.08367194824999617,0.07855116598299786,0.07855116598299786
-523.2214383399696,0.08380586696201633,0.07867349659107228,0.07867349659107228
-522.7422329275578,0.08394181165245468,0.07879582719914671,0.07879582719914671
-522.263027515146,0.08407978232131123,0.07891815780722115,0.07891815780722115
-521.7838221027341,0.08422015523882125,0.07904048841529561,0.07904048841529561
-521.3046166903223,0.08436307431195464,0.07916281902337005,0.07916281902337005
-520.8254112779105,0.08450801936350624,0.0792851496314445,0.0792851496314445
-520.3462058654986,0.08465499039347606,0.07940748023951895,0.07940748023951895
-519.8670004530868,0.08480413058856208,0.0795298108475934,0.0795298108475934
-519.387795040675,0.08495605002280873,0.07965214145566783,0.07965214145566783
-518.9085896282631,0.08510873522771475,0.07977447206374226,0.07977447206374226
-518.4293842158513,0.0852617642091168,0.07989680267181672,0.07989680267181672
-517.9501788034395,0.08541479319051883,0.08001913327989117,0.08001913327989117
-517.4709733910277,0.08556782217192085,0.08014146388796561,0.08014146388796561
-516.9917679786158,0.0857208511533229,0.08026379449604006,0.08026379449604006
-516.512562566204,0.08587388013472495,0.08038612510411451,0.08038612510411451
-516.0333571537922,0.08602690911612698,0.08050845571218895,0.08050845571218895
-515.5541517413803,0.08617993809752901,0.0806307863202634,0.0806307863202634
-515.0749463289685,0.08633296707893107,0.08075311692833782,0.08075311692833782
-514.5957409165567,0.08648599606033311,0.08087544753641226,0.08087544753641226
-514.1165355041448,0.08663902504173512,0.08099777814448672,0.08099777814448672
-513.637330091733,0.08679205402313717,0.08112010875256115,0.08112010875256115
-513.1581246793212,0.08694508300453921,0.08124243936063558,0.08124243936063558
-512.6789192669094,0.08709811198594125,0.08136476996871006,0.08136476996871006
-512.1997138544975,0.0872511409673433,0.0814871005767845,0.0814871005767845
-511.7205084420857,0.08740416994874532,0.08160943118485894,0.08160943118485894
-511.2413030296739,0.08755719893014736,0.08173176179293339,0.08173176179293339
-510.76209761726204,0.08771022791154941,0.08185409240100783,0.08185409240100783
-510.2828922048502,0.08786325689295144,0.08197642300908227,0.08197642300908227
-509.8036867924384,0.08801628587435346,0.0820987536171567,0.0820987536171567
-509.32448138002655,0.08816931485575549,0.08222108422523114,0.08222108422523114
-508.8452759676147,0.08832234383715754,0.08234341483330561,0.08234341483330561
-508.3660705552029,0.08847537281855956,0.08246574544138006,0.08246574544138006
-507.88686514279107,0.08862840179996159,0.0825880760494545,0.0825880760494545
-507.40765973037924,0.08878143078136363,0.08271040665752895,0.08271040665752895
-506.9284543179674,0.08893445976276568,0.08283273726560339,0.08283273726560339
-506.4492489055556,0.08908748874416772,0.08295506787367782,0.08295506787367782
-505.97004349314375,0.08924051772556976,0.08307739848175226,0.08307739848175226
-505.4908380807319,0.08939354670697179,0.08319972908982672,0.08319972908982672
-505.0116326683201,0.08954657568837383,0.08332205969790117,0.08332205969790117
-504.53242725590826,0.08969960466977586,0.08344439030597561,0.08344439030597561
-504.05322184349643,0.0898526336511779,0.08356672091405005,0.08356672091405005
-503.5740164310846,0.09000566263257993,0.0836890515221245,0.0836890515221245
-503.0948110186728,0.090158691613982,0.08381138213019895,0.08381138213019895
-502.61560560626094,0.09031172059538403,0.08393371273827338,0.08393371273827338
-502.1364001938491,0.09046474957678606,0.08405604334634781,0.08405604334634781
-501.6571947814373,0.09061777855818812,0.08417837395442226,0.08417837395442226
-501.17798936902545,0.09077080753959015,0.08430107151320747,0.08430107151320747
-500.6987839566136,0.09092383652099216,0.0844249052995806,0.0844249052995806
-500.2195785442018,0.09107686550239419,0.08455157041401459,0.08455157041401459
-499.74037313178997,0.09122989448379623,0.0846803295010274,0.0846803295010274
-499.26116771937814,0.09138292346519826,0.08481118256061904,0.08481118256061904
-498.7819623069663,0.0915359524466003,0.0849441295927895,0.0849441295927895
-498.3027568945545,0.09168898142800233,0.08508004540245917,0.08508004540245917
-497.82355148214265,0.09184201040940439,0.08521810691303261,0.08521810691303261
-497.3443460697308,0.09199503939080642,0.08535826239618485,0.08535826239618485
-496.865140657319,0.09214806837220846,0.08550051185191594,0.08550051185191594
-496.38593524490716,0.09230109735361049,0.085645489179058,0.085645489179058
-495.90672983249533,0.09245412633501253,0.08579285311319206,0.08579285311319206
-495.4275244200835,0.09260715531641457,0.08594158440280888,0.08594158440280888
-494.94831900767167,0.09276018429781661,0.0860910995633005,0.0860910995633005
-494.46911359525984,0.09291321327921864,0.08624061472379212,0.08624061472379212
-493.989908182848,0.09306624226062069,0.08639012988428374,0.08639012988428374
-493.5107027704362,0.09321927124202273,0.08653964504477536,0.08653964504477536
-493.03149735802435,0.09337230022342476,0.08668916020526697,0.08668916020526697
-492.5522919456125,0.0935253292048268,0.08683867536575858,0.08683867536575858
-492.0730865332007,0.09367835818622884,0.08698819052625022,0.08698819052625022
-491.59388112078886,0.09383138716763086,0.08713770568674183,0.08713770568674183
-491.11467570837704,0.0939844161490329,0.08728722084723343,0.08728722084723343
-490.6354702959652,0.09413842776086997,0.08743673600772504,0.08743673600772504
-490.1562648835534,0.09429411810815562,0.08758625116821667,0.08758625116821667
-489.67705947114155,0.09445174644910927,0.08773576632870829,0.08773576632870829
-489.1978540587297,0.09461153540035608,0.0878852814891999,0.0878852814891999
-488.7186486463179,0.09477389724491919,0.08803479664969151,0.08803479664969151
-488.23944323390606,0.09493819708315032,0.08818431181018313,0.08818431181018313
-487.76023782149423,0.09510443491504943,0.08833382697067477,0.08833382697067477
-487.2810324090824,0.0952726107406165,0.08848334213116638,0.08848334213116638
-486.80182699667057,0.09544358173162923,0.08863285729165798,0.08863285729165798
-486.32262158425874,0.0956164910608058,0.0887823724521496,0.0887823724521496
-485.8434161718469,0.09579133838365037,0.08893188761264123,0.08893188761264123
-485.3642107594351,0.09596803032432173,0.08908140277313285,0.08908140277313285
-484.88500534702325,0.09614621889519709,0.08923091793362445,0.08923091793362445
-484.4057999346114,0.09632440746607245,0.08938043309411607,0.08938043309411607
-483.9265945221996,0.09650259603694779,0.08952994825460771,0.08952994825460771
-483.44738910978776,0.09668078460782312,0.08967946341509932,0.08967946341509932
-482.96818369737593,0.09685897317869849,0.08982897857559093,0.08982897857559093
-482.4889782849641,0.09703716174957384,0.08997849373608253,0.08997849373608253
-482.0097728725523,0.09721535032044919,0.09012800889657419,0.09012800889657419
-481.53056746014045,0.09739353889132454,0.09027752405706578,0.09027752405706578
-481.0513620477286,0.0975717274621999,0.09042703921755739,0.09042703921755739
-480.5721566353168,0.09774991603307524,0.09057655437804901,0.09057655437804901
-480.09295122290496,0.09792810460395059,0.09072606953854065,0.09072606953854065
-479.6137458104931,0.09810629317482593,0.09087558469903226,0.09087558469903226
-479.1345403980813,0.09828448174570129,0.09102509985952387,0.09102509985952387
-478.65533498566947,0.09846267031657664,0.09117461502001549,0.09117461502001549
-478.17612957325764,0.09864085888745197,0.09132413018050713,0.09132413018050713
-477.6969241608458,0.09881904745832731,0.09147364534099872,0.09147364534099872
-477.217718748434,0.09899723602920267,0.09162316050149033,0.09162316050149033
-476.73851333602215,0.09917542460007803,0.09177267566198195,0.09177267566198195
-476.2593079236103,0.09935361317095337,0.0919221908224736,0.0919221908224736
-475.7801025111985,0.09953180174182871,0.0920717059829652,0.0920717059829652
-475.30089709878666,0.09970999031270408,0.09222122114345681,0.09222122114345681
-474.82169168637483,0.09988817888357941,0.09237073630394843,0.09237073630394843
-474.342486273963,0.10006636745445477,0.09252025146444005,0.09252025146444005
-473.8632808615512,0.10024455602533011,0.09266976662493166,0.09266976662493166
-473.38407544913935,0.10042274459620545,0.09281928178542327,0.09281928178542327
-472.9048700367275,0.10060093316708082,0.0929687969459149,0.0929687969459149
-472.4256646243157,0.10077912173795615,0.09311831210640652,0.09311831210640652
-471.94645921190386,0.10095731030883151,0.09326782726689813,0.09326782726689813
-471.467253799492,0.10113549887970685,0.09341734242738975,0.09341734242738975
-470.9880483870802,0.10131368745058221,0.09356685758788137,0.09356685758788137
-470.50884297466837,0.10149187602145757,0.093716372748373,0.093716372748373
-470.02963756225654,0.10167006459233291,0.0938658879088646,0.0938658879088646
-469.5504321498447,0.10184825316320825,0.09401540306935621,0.09401540306935621
-469.0712267374329,0.10202644173408361,0.09416491822984784,0.09416491822984784
-468.59202132502105,0.10220463030495895,0.09431443339033946,0.09431443339033946
-468.1128159126092,0.10238281887583431,0.09446394855083107,0.09446394855083107
-467.6336105001974,0.10256100744670966,0.09461346371132269,0.09461346371132269
-467.15440508778556,0.10273919601758502,0.09476348491793919,0.09476348491793919
-466.67519967537373,0.10291738458846035,0.09491487117392661,0.09491487117392661
-466.1959942629619,0.10309557315933571,0.09506835140173224,0.09506835140173224
-465.7167888505501,0.10327376173021106,0.09522465204158213,0.09522465204158213
-465.23758343813824,0.10345195030108639,0.09538324674593295,0.09538324674593295
-464.7583780257264,0.10363013887196174,0.09554393542210197,0.09554393542210197
-464.2791726133146,0.10380832744283709,0.09570671807008921,0.09570671807008921
-463.79996720090276,0.10398651601371246,0.09587208022411998,0.09587208022411998
-463.3207617884909,0.1041647045845878,0.09603997734865241,0.09603997734865241
-462.8415563760791,0.10434289315546315,0.09620996844500304,0.09620996844500304
-462.36235096366727,0.10452108172633849,0.09638205351317189,0.09638205351317189
-461.88314555125544,0.10469927029721385,0.09655647718138356,0.09655647718138356
-461.4039401388436,0.10487745886808919,0.09673299255020616,0.09673299255020616
-460.9247347264318,0.10505564743896453,0.09690969225324042,0.09690969225324042
-460.44552931401995,0.10523383600983988,0.09708639195627469,0.09708639195627469
-459.9663239016081,0.10541202458071523,0.09726309165930898,0.09726309165930898
-459.4871184891963,0.10559021315159059,0.09743979136234326,0.09743979136234326
-459.00791307678446,0.10576840172246593,0.09761649106537754,0.09761649106537754
-458.52870766437263,0.10594659029334129,0.09779319076841182,0.09779319076841182
-458.0495022519608,0.10612477886421665,0.09796989047144612,0.09796989047144612
-457.570296839549,0.10630296743509199,0.09814659017448042,0.09814659017448042
-457.09109142713714,0.10648115600596733,0.0983232898775147,0.0983232898775147
-456.6118860147253,0.10665934457684269,0.09849998958054898,0.09849998958054898
-456.1326806023135,0.10683753314771803,0.09867668928358327,0.09867668928358327
-455.65347518990166,0.10701572171859337,0.09885338898661752,0.09885338898661752
-455.1742697774898,0.10719496034840395,0.09903008868965181,0.09903008868965181
-454.695064365078,0.10737632725700186,0.09920678839268608,0.09920678839268608
-454.21585895266617,0.10756210890431663,0.09938348809572037,0.09938348809572037
-453.73665354025434,0.10775133824351964,0.09956018779875467,0.09956018779875467
-453.2574481278425,0.1079437866234132,0.09973688750178895,0.09973688750178895
-452.7782427154307,0.10813945404399733,0.09991358720482324,0.09991358720482324
-452.29903730301885,0.1083391658610558,0.10009028690785753,0.10009028690785753
-451.819831890607,0.10854269571224504,0.10026698661089183,0.10026698661089183
-451.3406264781952,0.10874944460412482,0.10044368631392608,0.10044368631392608
-450.86142106578336,0.10895941253669517,0.10062038601696037,0.10062038601696037
-450.38221565337153,0.10917305452349735,0.10079708571999464,0.10079708571999464
-449.9030102409597,0.1093908848866728,0.10097378542302893,0.10097378542302893
