l,phase_flatten_smf_coupling,complex_hologram_power_factor,complex_conditional_smf_coupling,complex_total_detected_fraction,complex_restored_r_rms_over_w,best_smf_waist_over_w,best_total_detected_fraction
0.0,0.8888888879786672,0.4999999996586668,0.9999999993173335,0.4999999993173336,0.5000000001706666,0.7095075239398084,0.49999425530540337
1.0,0.4654211338651545,0.6795704571357876,0.5,0.3397852285678938,0.8660254037844388,1.2238030095759234,0.5733870640323485
2.0,0.19753086419753085,0.6927240092747485,0.16666666666666657,0.11545400154579136,1.118033988749895,1.583310533515732,0.4949144343933733
3.0,0.07757018897752581,0.6974144767191232,0.05,0.03487072383595616,1.3228756555322954,1.8729138166894663,0.43819394220191876
4.0,0.029263831732967534,0.6998053899157276,0.014285714285714278,0.00999721985593896,1.5000000000000002,2.1225718194254446,0.3966080390141972
5.0,0.01077363735798969,0.7012521772461933,0.003968253968253965,0.0027827467351039395,1.6583123951777001,2.347264021887825,0.3647351365399224
6.0,0.0039018442310623383,0.702221162483862,0.0010822510822510814,0.0007599796130777721,1.8027756377319946,2.551983584131327,0.33938465627941033
7.0,0.0013965826204801449,0.702915263872354,0.0002913752913752911,0.0002048121398229468,1.9364916731037085,2.7367305061559506,0.3186283421244212
8.0,0.0004954722833095032,0.7034368305098343,7.77000777000776e-05,5.4657096387710444e-05,2.0615528128088303,2.916484268125855,0.3012402170823272
