method,diag_share_mean_%,diag_share_min_%,diag_share_max_%
full_matrix_calibration,93.19076756509892,92.07514528431582,94.4101810351771
diagonal_only_calibration,91.59445721218933,89.39203499217668,93.83197248440048
raw_uncalibrated,88.90065679088599,76.81682853743852,97.15470216771736
