matrix,diag_mean_%,diag_min_%,diag_max_%,offdiag_mean_%,offdiag_median_%,offdiag_max_%,diag_col_share_min_%,diag_col_share_mean_%,diag_col_share_max_%,condition_number
combined_calib_S_percent,11.072897666666666,3.792727,19.489237,0.027591319444444443,0.001937,0.167137,92.38323020157704,97.22568773577156,99.55209553170981,5.150400922423887
raw_percentage,88.90065688888889,76.816829,97.154702,1.387417875,0.7265035,6.763973,76.816829,88.90065698810962,97.15470199999999,1.37203639035815
diag_only_percentage,91.59445711111111,89.392035,93.831972,1.0506929027777778,0.74759,3.911261,89.39203410607966,91.59445680921773,93.83197200000001,1.1576960445854472
full_matrix_percentage,93.19076755555555,92.075145,94.410181,0.8511541111111111,0.5888395,2.424875,92.07514684150294,93.190767137437,94.410181,1.116120759100642
