k,L_over_R,best_subset_size,best_s_min,best_F_min,feasible_solution_count,near_optimal_solution_count,best_subset_signature,best_avg_ER_sum_dB,best_avg_efficiency
0.01824,0.003280001274463075,0,,,0,0,,,
0.01832,0.00330880446667413,0,,,0,0,,,
0.0184,0.0033377331538101446,0,,,0,0,,,
0.01848,0.0033667873285619415,0,,,0,0,,,
0.01856,0.0033959669835886388,0,,,0,0,,,
0.018639999999999997,0.0034252721115176493,0,,,0,0,,,
0.01872,0.003454702704944689,0,,,0,0,,,
0.018799999999999997,0.0034842587564337633,0,,,0,0,,,
0.01888,0.0035139402585171904,0,,,0,0,,,
0.018959999999999998,0.0035437472036955815,0,,,0,0,,,
0.01904,0.0035736795844378633,0,,,0,0,,,
0.019119999999999998,0.00360373739318126,0,,,0,0,,,
0.019200000000000002,0.003633920622331314,0,,,0,0,,,
0.01928,0.003664229264261868,0,,,0,0,,,
0.01936,0.0036946633113150904,0,,,0,0,,,
0.01944,0.0037252227558014542,0,,,0,0,,,
0.01952,0.003755907589999756,0,,,0,0,,,
0.0196,0.003786717806157105,0,,,0,0,,,
0.01968,0.003817653396488937,0,,,0,0,,,
0.01976,0.0038487143531790056,0,,,0,0,,,
0.01984,0.003879900668379394,0,,,0,0,,,
0.01992,0.003911212334210508,0,,,0,0,,,
0.019999999999999997,0.003942649342761083,0,,,0,0,,,
0.02008,0.003974211686088189,0,,,0,0,,,
0.020159999999999997,0.004005899356217222,0,,,0,0,,,
0.02024,0.004037712345141917,0,,,0,0,,,
0.020319999999999998,0.004069650644824344,0,,,0,0,,,
0.0204,0.0041017142471949175,0,,,0,0,,,
0.020479999999999998,0.0041339031441523805,0,,,0,0,,,
0.020560000000000002,0.0041662173275638335,0,,,0,0,,,
0.02064,0.004198656789264706,0,,,0,0,,,
0.02072,0.00423122152105879,0,,,0,0,,,
0.0208,0.004263911514718216,0,,,0,0,,,
0.02088,0.004296726761983471,0,,,0,0,,,
0.02096,0.004329667254563396,0,,,0,0,,,
0.02104,0.004362732984135178,0,,,0,0,,,
0.02112,0.004395923942344373,0,,,0,0,,,
0.021199999999999997,0.00442924012080489,0,,,0,0,,,
0.02128,0.004462681511099001,0,,,0,0,,,
0.021359999999999997,0.004496248104777341,0,,,0,0,,,
0.02144,0.004529939893358915,0,,,0,0,,,
0.021519999999999997,0.004563756868331086,0,,,0,0,,,
0.0216,0.004597699021149605,0,,,0,0,,,
0.021679999999999998,0.004631766343238574,0,,,0,0,,,
0.02176,0.004665958825990486,0,,,0,0,,,
0.02184,0.004700276460766199,0,,,0,0,,,
0.02192,0.0047347192388949595,0,,,0,0,,,
0.022,0.004769287151674388,0,,,0,0,,,
0.02208,0.0048039801903704965,0,,,0,0,,,
0.02216,0.004838798346217671,0,,,0,0,,,
0.02224,0.004873741610418695,0,,,0,0,,,
0.02232,0.004908809974144737,0,,,0,0,,,
0.0224,0.004944003428535358,0,,,0,0,,,
0.02248,0.004979321964698514,0,,,0,0,,,
0.022559999999999997,0.005014765573710557,0,,,0,0,,,
0.02264,0.005050334246616243,0,,,0,0,,,
0.022719999999999997,0.005086027974428718,0,,,0,0,,,
0.0228,0.0051218467481295455,0,,,0,0,,,
0.022879999999999998,0.0051577905586686805,0,,,0,0,,,
0.02296,0.005193859396964499,0,,,0,0,,,
0.023039999999999998,0.005230053253903772,0,,,0,0,,,
0.02312,0.005266372120341702,0,,,0,0,,,
0.0232,0.00530281598710189,0,,,0,0,,,
0.02328,0.005339384844976363,0,,,0,0,,,
0.02336,0.005376078684725565,0,,,0,0,,,
0.02344,0.005412897497078363,0,,,0,0,,,
0.02352,0.005449841272732042,0,,,0,0,,,
0.0236,0.005486910002352326,0,,,0,0,,,
0.02368,0.0055241036765733545,0,,,0,0,,,
0.023759999999999996,0.005561422285997707,0,,,0,0,,,
0.02384,0.0055988658211963945,0,,,0,0,,,
0.023919999999999997,0.005636434272708861,0,,,0,0,,,
0.024,0.005674127631042996,0,,,0,0,,,
0.024079999999999997,0.005711945886675118,0,,,0,0,,,
0.02416,0.005749889030050005,0,,,0,0,,,
0.024239999999999998,0.005787957051580862,0,,,0,0,,,
0.02432,0.005826149941649359,0,,,0,0,,,
0.024399999999999998,0.005864467690605605,0,,,0,0,,,
0.02448,0.005902910288768167,0,,,0,0,,,
0.02456,0.005941477726424068,0,,,0,0,,,
0.02464,0.005980169993828785,0,,,0,0,,,
0.02472,0.00601898708120626,0,,,0,0,,,
0.0248,0.006057928978748893,0,,,0,0,,,
0.02488,0.00609699567661755,0,,,0,0,,,
0.02496,0.0061361871649415695,0,,,0,0,,,
0.02504,0.006175503433818755,0,,,0,0,,,
0.025119999999999996,0.006214944473315385,0,,,0,0,,,
0.0252,0.006254510273466215,0,,,0,0,,,
0.025279999999999997,0.006294200824274471,0,,,0,0,,,
0.02536,0.006334016115711871,0,,,0,0,,,
0.025439999999999997,0.006373956137718601,0,,,0,0,,,
0.02552,0.00641402088020335,0,,,0,0,,,
0.025599999999999998,0.006454210333043276,0,,,0,0,,,
0.02568,0.0064945244860840435,0,,,0,0,,,
0.025759999999999998,0.006534963329139799,0,,,0,0,,,
0.025840000000000002,0.006575526851993194,0,,,0,0,,,
0.02592,0.006616215044395364,0,,,0,0,,,
0.026000000000000002,0.006657027896065966,0,,,0,0,,,
0.02608,0.0066979653966931394,0,,,0,0,,,
0.026159999999999996,0.006739027535933541,0,,,0,0,,,
0.02624,0.0067802143034123375,0,,,0,0,,,
0.026319999999999996,0.0068215256887232,0,,,0,0,,,
0.0264,0.006862961681428322,0,,,0,0,,,
0.026479999999999997,0.0069045222710583986,0,,,0,0,,,
0.02656,0.006946207447112664,0,,,0,0,,,
0.026639999999999997,0.006988017199058853,0,,,0,0,,,
0.02672,0.0070299515163332466,0,,,0,0,,,
0.026799999999999997,0.007072010388340635,0,,,0,0,,,
0.02688,0.0071141938044543464,0,,,0,0,,,
0.026959999999999998,0.00715650175401624,0,,,0,0,,,
0.02704,0.007198934226336713,0,,,0,0,,,
0.02712,0.007241491210694691,0,,,0,0,,,
0.027200000000000002,0.007284172696337658,0,,,0,0,,,
0.02728,0.007326978672481619,0,,,0,0,,,
