rank,region_id,k,L_over_R,candidate_set_size,max_subset_size,subset_modes,s_min,F_min,F_eval_used,avg_ER_sum_dB,min_ER_sum_dB,avg_separation_efficiency,min_separation_efficiency,geometry_gap_to_target,feasible_under_budget,tau_min_at_budget,is_max_subset_for_k,max_subset_size_for_k,subset_size_gap_to_k_max,k_region_start,k_region_end,region_point_count
1,R015,0.28071999999999997,0.595911572413141,12,8,"[1,10,18,22,27,31,37,46]",0.10488000000000086,28.604118993134776,32.0,12.714076689350904,12.012138919598904,0.9488109575779827,0.940804910239026,0.09591157241314097,True,3.3561600000000276,True,8,0,0.2803866666666666,0.28121999999999997,35
2,R243,0.28071999999999997,0.595911572413141,12,8,"[1,6,10,18,22,27,37,46]",0.10488000000000075,28.604118993134808,32.0,12.707710984947266,12.092293524308884,0.9489297955625202,0.9418244360773701,0.09591157241314097,True,3.356160000000024,True,8,0,0.2803866666666666,0.28121999999999997,35
3,R014,0.2749933333333333,0.5781965463552693,12,8,"[1,10,18,22,27,31,37,46]",0.09997333333333369,30.008002133902266,32.0,12.577895544983578,12.269553141738548,0.9475408282670784,0.9440208533503135,0.07819654635526929,True,3.199146666666678,True,8,0,0.27343999999999996,0.27515999999999996,94
4,R241,0.2749933333333333,0.5781965463552693,12,8,"[1,6,10,18,22,27,31,37]",0.09997333333333303,30.008002133902465,32.0,12.57670616742778,12.274269914697687,0.9475290545456101,0.9440782199483091,0.07819654635526929,True,3.199146666666657,True,8,0,0.27343999999999996,0.27515999999999996,94
5,R158,0.25332666666666664,0.5104502705748287,12,7,"[1,4,6,15,37,40,46]",0.11975999999999903,25.050100200401005,32.0,13.907703211312539,13.053110842928016,0.9605068161281209,0.952826019422837,0.010450270574828724,True,3.832319999999969,True,7,0,0.25262666666666667,0.25399999999999995,57
6,R202,0.25332666666666664,0.5104502705748287,12,7,"[1,4,6,27,37,40,46]",0.11975999999999903,25.050100200401005,32.0,13.972677674871573,13.041368629208442,0.9609364641321818,0.9527043409976272,0.010450270574828724,True,3.832319999999969,True,7,0,0.25262666666666667,0.25399999999999995,57
7,R213,0.25332666666666664,0.5104502705748287,12,7,"[1,4,6,31,37,40,46]",0.11975999999999903,25.050100200401005,32.0,13.953104168955912,13.035607225106318,0.9607697215315426,0.9526445295536511,0.010450270574828724,True,3.832319999999969,True,7,0,0.25262666666666667,0.25399999999999995,57
8,R049,0.25332666666666664,0.5104502705748287,12,7,"[1,4,10,15,37,40,46]",0.11975999999999898,25.050100200401015,32.0,13.86303706060647,13.079635365388837,0.96016027776082,0.9530997848531055,0.010450270574828724,True,3.8323199999999673,True,7,0,0.25262666666666667,0.25399999999999995,57
9,R077,0.25332666666666664,0.5104502705748287,12,7,"[1,4,10,27,37,40,46]",0.11975999999999898,25.050100200401015,32.0,13.925687583513382,13.067821314439907,0.960615437067912,0.9529780365011662,0.010450270574828724,True,3.8323199999999673,True,7,0,0.25262666666666667,0.25399999999999995,57
10,R089,0.25332666666666664,0.5104502705748287,12,7,"[1,4,10,31,37,40,46]",0.11975999999999898,25.050100200401015,32.0,13.905708703578116,13.062024734269242,0.9604548955285621,0.9529181906877434,0.010450270574828724,True,3.8323199999999673,True,7,0,0.25262666666666667,0.25399999999999995,57
11,R305,0.23528,0.45382165775099165,12,7,"[4,15,22,31,37,40,46]",0.11751999999999985,25.52756977535742,32.0,13.659923650882652,12.986262044088381,0.9584414632605798,0.952129305514221,0.04617834224900835,True,3.760639999999995,True,7,0,0.23364666666666664,0.23584666666666665,89
12,R331,0.23528,0.45382165775099165,12,7,"[4,6,15,22,31,37,46]",0.11751999999999985,25.52756977535742,32.0,13.659814457388524,12.986889141048565,0.9584430993659456,0.952135886450597,0.04617834224900835,True,3.760639999999995,True,7,0,0.23263999999999999,0.23584666666666665,130
13,R048,0.24691333333333332,0.49030355855806457,12,7,"[1,4,10,15,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.627066544876316,12.51840160857409,0.9574590519073548,0.9469729562779899,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
14,R076,0.24691333333333332,0.49030355855806457,12,7,"[1,4,10,27,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.664429756764703,12.509540877928591,0.9577056297192911,0.9468704108513368,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
15,R088,0.24691333333333332,0.49030355855806457,12,7,"[1,4,10,31,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.652201119744268,12.505223128693306,0.9576136912853138,0.9468203736441133,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
16,R157,0.24691333333333332,0.49030355855806457,12,7,"[1,4,6,15,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.725297410688581,12.55662603780221,0.9584208054974341,0.9474131904199807,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
17,R201,0.24691333333333332,0.49030355855806457,12,7,"[1,4,6,27,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.744959719582381,12.547687055780878,0.9585711192457114,0.9473105496325372,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
18,R212,0.24691333333333332,0.49030355855806457,12,7,"[1,4,6,31,37,40,46]",0.11109999999999887,27.00270027002728,32.0,13.724383053662402,12.543331233723832,0.9584282086853869,0.9472604658976129,0.009696441441935433,True,3.5551999999999637,True,7,0,0.24654666666666666,0.24738,35
19,R036,0.2631533333333333,0.5412753915919174,12,7,"[1,4,10,15,18,31,40]",0.1051399999999989,28.533384059349736,32.0,13.128224457603407,12.257270173911895,0.9531033543564914,0.9438712048713693,0.0412753915919174,True,3.364479999999965,True,7,0,0.2627533333333333,0.26352,32
20,R040,0.2631533333333333,0.5412753915919174,12,7,"[1,4,10,15,22,31,40]",0.1051399999999989,28.533384059349736,32.0,13.366671099038763,12.18453630672402,0.9552682329349634,0.9429773209936988,0.0412753915919174,True,3.364479999999965,True,7,0,0.2627533333333333,0.26352,32
21,R047,0.2631533333333333,0.5412753915919174,12,7,"[1,4,10,15,31,37,40]",0.1051399999999989,28.533384059349736,32.0,13.127373822173235,12.257358789041435,0.9530947206623993,0.9438722858524394,0.0412753915919174,True,3.364479999999965,True,7,0,0.2627533333333333,0.26352,32
22,R142,0.27586,0.5808845840482643,12,7,"[1,4,6,10,18,27,31]",0.10343999999999998,29.002320185614856,32.0,13.668164301795594,12.08438784247379,0.9574008112118771,0.9417246166923877,0.08088458404826426,True,3.3100799999999992,True,7,0,0.2751933333333333,0.27624,43
23,R238,0.27586,0.5808845840482643,12,7,"[1,6,10,15,18,27,31]",0.10343999999999998,29.002320185614856,32.0,13.6717096557273,12.075947208931586,0.9573529243249588,0.9416178655176789,0.08088458404826426,True,3.3100799999999992,True,7,0,0.2751933333333333,0.27624,43
24,R240,0.27586,0.5808845840482643,12,7,"[1,6,10,15,27,31,40]",0.10343999999999998,29.002320185614856,32.0,13.236912974357567,12.088407852840097,0.9540203440620628,0.9417753945478493,0.08088458404826426,True,3.3100799999999992,True,7,0,0.2751933333333333,0.27624,43
25,R242,0.27586,0.5808845840482643,12,7,"[1,6,10,18,22,27,31]",0.10343999999999998,29.002320185614856,32.0,13.430945713503139,12.088426837875872,0.9554498576997281,0.9417756342545441,0.08088458404826426,True,3.3100799999999992,True,7,0,0.2751933333333333,0.27624,43
26,R353,0.27586,0.5808845840482643,12,7,"[6,10,18,22,27,31,37]",0.10343999999999998,29.002320185614856,32.0,13.30937757269862,12.128617107501205,0.9545696371466466,0.9422810093652703,0.08088458404826426,True,3.3100799999999992,True,7,0,0.2751933333333333,0.27624,43
