Time_ms,Lambda_aligned,Power_uW,Scan_Direction
250098,794.9735413007078,5.699999999999999,Falling
309,794.9735737683162,5.800000000000001,Rising
609,794.9736453880406,6.44,Rising
249458,794.9736940894531,7.16,Falling
909,794.973717007765,7.23,Rising
249158,794.9737657091775,8.08,Falling
248858,794.9738373289019,9.19,Falling
1598,794.9738814943986,9.75,Rising
248558,794.9739089486263,10.6,Falling
1898,794.973953114123,11.3,Rising
248245,794.9739836718721,12.4,Falling
2198,794.9740247338474,13.1,Rising
247945,794.9740552915965,14.6,Falling
2498,794.9740963535718,15.6,Rising
247645,794.9741269113209,17.4,Falling
2798,794.9741679732962,18.7,Rising
247345,794.9741985310453,21.1,Falling
3098,794.9742395930206,22.5,Rising
247045,794.9742701507697,26.1,Falling
3398,794.974311212745,28.0,Rising
246745,794.9743417704941,31.8,Falling
3698,794.9743828324694,35.0,Rising
246445,794.9744133902185,39.5,Falling
3998,794.9744544521938,43.0,Rising
246145,794.9744850099429,48.900000000000006,Falling
4298,794.9745260719181,52.8,Rising
245845,794.9745566296673,58.0,Falling
4598,794.9745976916425,61.9,Rising
245542,794.9746289655889,65.5,Falling
4898,794.9746693113669,67.3,Rising
245242,794.9747005853133,68.2,Falling
5198,794.9747409310913,67.3,Rising
244942,794.9747722050377,64.8,Falling
5498,794.9748125508157,61.9,Rising
244642,794.974843824762,58.5,Falling
5798,794.9748841705401,53.900000000000006,Rising
244342,794.9749154444864,49.9,Falling
6098,794.9749557902645,45.7,Rising
244042,794.9749870642108,40.6,Falling
6398,794.9750274099889,37.3,Rising
243742,794.9750586839352,33.0,Falling
6698,794.9750990297133,30.2,Rising
243442,794.9751303036596,26.7,Falling
6998,794.9751706494377,24.9,Rising
243142,794.975201923384,21.7,Falling
7298,794.9752422691621,20.3,Rising
242842,794.9752735431084,17.900000000000002,Falling
7601,794.9753146050837,16.799999999999997,Rising
242542,794.9753451628328,15.1,Falling
7901,794.9753862248081,14.2,Rising
242242,794.9754167825572,12.8,Falling
8201,794.9754578445325,12.2,Rising
241942,794.9754884022816,11.1,Falling
8501,794.9755294642569,10.5,Rising
241642,794.975560022006,9.66,Falling
8801,794.9756010839812,9.16,Rising
9101,794.9756727037056,8.11,Rising
241157,794.975675807227,7.869999999999999,Falling
240857,794.9757474269514,7.029999999999999,Falling
240557,794.9758190466758,6.3500000000000005,Falling
9734,794.9758238213242,6.42,Rising
240257,794.9758906664002,5.75,Falling
10034,794.9758954410485,5.859999999999999,Rising
239957,794.9759622861246,5.29,Falling
10334,794.9759670607729,5.36,Rising
239657,794.976033905849,4.9,Falling
10634,794.9760386804973,4.96,Rising
239357,794.9761055255734,4.5600000000000005,Falling
10934,794.9761103002216,4.63,Rising
239057,794.9761771452978,4.279999999999999,Falling
11234,794.976181919946,4.34,Rising
238757,794.9762487650222,4.05,Falling
11534,794.9762535396704,4.1,Rising
238457,794.9763203847466,3.87,Falling
11834,794.9763251593948,3.91,Rising
238154,794.9763927206682,3.73,Falling
12134,794.9763967791192,3.76,Rising
237854,794.9764643403926,3.62,Falling
12434,794.9764683988436,3.65,Rising
237554,794.976535960117,3.56,Falling
12734,794.976540018568,3.59,Rising
237254,794.9766075798414,3.55,Falling
13034,794.9766116382924,3.58,Rising
236954,794.9766791995658,3.59,Falling
13334,794.9766832580168,3.63,Rising
