family_id,family_type,representative_lambda_nm,power_raw_uW,power_smooth_uW,member_peak_ids,member_lambdas_nm,edge_margin_nm,family_rank,role
2,single_peak_family,794.9840173565269,202.0,190.62383131742098,[3],[794.9840173565269],0.004706962878569811,1,major_peak_1
1,wrapped_edge_family,794.9955954011721,77.8,73.9398169336373,"[1, 7]","[794.9747005853133, 794.9955954011721]",0.004706962878569811,2,crosstalk_candidate
3,single_peak_family,794.9793615969767,13.8,12.813530565544097,[2],[794.9793615969767],0.004706962878569811,3,major_peak_2
4,single_peak_family,794.9862905665791,12.1,11.912157567832434,[4],[794.9862905665791],0.004706962878569811,4,other
5,single_peak_family,794.9886162977625,11.2,10.747149395227028,[5],[794.9886162977625],0.004706962878569811,5,other
6,single_peak_family,794.9909573078204,5.4,5.273628636809333,[6],[794.9909573078204],0.004706962878569811,6,other
