peak_id,index,lambda_nm,power_raw_uW,power_smooth_uW,prominence_uW,width_points,distance_to_left_nm,distance_to_right_nm,is_left_edge_candidate,is_right_edge_candidate
1,30,794.9747005853133,68.2,64.91098398169238,59.619938433038136,19.233611823120484,0.0011592846054782058,0.02499050916435408,True,False
2,158,794.9793615969767,13.8,12.813530565544097,9.639496567505573,16.752354129874078,0.005820296268893799,0.020329497500938487,False,False
3,281,794.9840173565269,202.0,190.62383131742098,188.15075841778062,19.077126642829626,0.010476055819140129,0.015673737950692157,False,False
4,343,794.9862905665791,12.1,11.912157567832434,2.886740764955814,11.173295866143803,0.012749265871320858,0.013400527898511427,False,False
5,405,794.9886162977625,11.2,10.747149395227028,7.211536449820088,15.363934202422286,0.01507499705473947,0.011074796715092816,False,False
6,468,794.9909573078204,5.4,5.273628636809333,3.0022589081398676,16.855553587256907,0.01741600711261526,0.008733786657217024,False,False
7,596,794.9955954011721,77.8,73.9398169336373,71.16638770840034,19.528968488114856,0.02205410046428824,0.004095693305544046,False,True
