Time_ms,Lambda_aligned,Power_uW,Scan_Direction
23968,794.9792219385141,0.758,Rising
226947,794.9792563159818,0.763,Falling
24268,794.9792935582385,0.789,Rising
226647,794.9793279357062,0.785,Falling
24568,794.9793651779629,0.816,Rising
226347,794.9793995554306,0.8059999999999999,Falling
24868,794.9794367976873,0.837,Rising
226047,794.979471175155,0.841,Falling
25168,794.9795084174117,0.865,Rising
225747,794.9795427948794,0.857,Falling
25468,794.9795800371361,0.885,Rising
225447,794.9796144146038,0.871,Falling
25768,794.9796516568605,0.894,Rising
225147,794.9796860343282,0.892,Falling
26068,794.9797232765849,0.917,Rising
224847,794.9797576540525,0.905,Falling
26368,794.9797948963092,0.937,Rising
224547,794.9798292737769,0.922,Falling
26668,794.9798665160336,0.952,Rising
224247,794.9799008935013,0.952,Falling
26968,794.979938135758,0.981,Rising
223947,794.9799725132257,0.978,Falling
27268,794.9800097554823,1.01,Rising
223647,794.9800441329501,1.01,Falling
27568,794.9800813752067,1.0499999999999998,Rising
223347,794.9801157526745,1.06,Falling
27868,794.9801529949311,1.1,Rising
223047,794.9801873723989,1.1,Falling
28168,794.9802246146555,1.16,Rising
222747,794.9802589921233,1.15,Falling
28468,794.9802962343799,1.22,Rising
222447,794.9803306118476,1.23,Falling
28768,794.9803678541043,1.29,Rising
222147,794.980402231572,1.3,Falling
29068,794.9804394738287,1.39,Rising
221847,794.9804738512964,1.38,Falling
29368,794.9805110935531,1.49,Rising
221547,794.9805454710208,1.5,Falling
29668,794.9805827132775,1.61,Rising
221247,794.9806170907452,1.63,Falling
29968,794.9806543330019,1.76,Rising
220947,794.9806887104696,1.77,Falling
30273,794.9807271463884,1.93,Rising
220647,794.980760330194,1.96,Falling
30573,794.9807987661128,2.13,Rising
220347,794.9808319499184,2.18,Falling
30873,794.9808703858372,2.4,Rising
220044,794.9809042858401,2.43,Falling
31173,794.9809420055616,2.73,Rising
219744,794.9809759055645,2.79,Falling
31473,794.981013625286,3.08,Rising
219444,794.9810475252889,3.2,Falling
31788,794.9810888259966,3.61,Rising
219144,794.9811191450133,3.7,Falling
32091,794.9811611619182,4.289999999999999,Rising
218844,794.9811907647377,4.380000000000001,Falling
32391,794.9812327816426,5.04,Rising
218544,794.981262384462,5.24,Falling
32691,794.981304401367,6.17,Rising
218111,794.9813657555975,6.92,Falling
32991,794.9813760210914,7.64,Rising
217811,794.9814373753219,8.569999999999999,Falling
33432,794.9814813020862,10.2,Rising
217511,794.9815089950463,10.4,Falling
33732,794.9815529218106,12.6,Rising
217211,794.9815806147707,12.6,Falling
34032,794.981624541535,14.7,Rising
216911,794.9816522344951,14.8,Falling
34332,794.9816961612594,16.099999999999998,Rising
216611,794.9817238542195,16.0,Falling
34632,794.9817677809838,16.5,Rising
216311,794.9817954739439,15.9,Falling
34932,794.9818394007082,15.2,Rising
216011,794.9818670936683,14.6,Falling
35232,794.9819110204326,13.2,Rising
215711,794.9819387133927,12.4,Falling
35532,794.981982640157,11.0,Rising
215411,794.982010333117,10.2,Falling
35832,794.9820542598814,8.83,Rising
36132,794.9821258796057,7.220000000000001,Rising
214856,794.9821428296071,6.97,Falling
214543,794.982217552853,5.699999999999999,Falling
36644,794.9822481106021,5.17,Rising
214243,794.9822891725773,4.76,Falling
36944,794.9823197303265,4.32,Rising
213943,794.9823607923017,3.99,Falling
37244,794.9823913500508,3.72,Rising
213643,794.9824324120261,3.44,Falling
37544,794.9824629697752,3.19,Rising
213343,794.9825040317505,2.99,Falling
37844,794.9825345894996,2.77,Rising
213043,794.9825756514749,2.61,Falling
38144,794.982606209224,2.48,Rising
212743,794.9826472711993,2.33,Falling
38447,794.9826785451456,2.21,Rising
212443,794.9827188909237,2.1,Falling
38747,794.98275016487,1.99,Rising
212141,794.9827909881129,1.89,Falling
39047,794.9828217845944,1.84,Rising
211841,794.9828626078373,1.74,Falling
39347,794.9828934043188,1.69,Rising
211541,794.9829342275617,1.61,Falling
39647,794.9829650240432,1.56,Rising
211241,794.9830058472861,1.49,Falling
39947,794.9830366437676,1.47,Rising
210941,794.9830774670105,1.41,Falling
40247,794.983108263492,1.37,Rising
210641,794.9831490867349,1.33,Falling
40547,794.9831798832164,1.3,Rising
210341,794.9832207064593,1.26,Falling
40847,794.9832515029408,1.25,Rising
210041,794.9832923261837,1.21,Falling
41147,794.9833231226652,1.19,Rising
209741,794.9833639459081,1.16,Falling
41447,794.9833947423896,1.15,Rising
209441,794.9834355656325,1.12,Falling
41747,794.983466362114,1.13,Rising
209141,794.9835071853569,1.1,Falling
42047,794.9835379818384,1.1,Rising
208841,794.9835788050813,1.08,Falling
42347,794.9836096015628,1.09,Rising
208541,794.9836504248057,1.0699999999999998,Falling
42647,794.9836812212872,1.09,Rising
208241,794.98372204453,1.0699999999999998,Falling
42947,794.9837528410116,1.09,Rising
207941,794.9837936642544,1.09,Falling
43247,794.9838244607358,1.11,Rising
207641,794.9838652839788,1.1,Falling
43547,794.9838960804602,1.14,Rising
207341,794.9839369037032,1.13,Falling
43847,794.9839677001846,1.17,Rising
207041,794.9840085234276,1.16,Falling
44147,794.984039319909,1.18,Rising
206741,794.984080143152,1.16,Falling
44447,794.9841109396334,1.17,Rising
206441,794.9841517628764,1.15,Falling
44747,794.9841825593578,1.14,Rising
206141,794.9842233826008,1.11,Falling
45047,794.9842541790822,1.09,Rising
205841,794.9842950023252,1.06,Falling
45347,794.9843257988066,1.0499999999999998,Rising
205541,794.9843666220495,1.02,Falling
45647,794.984397418531,1.01,Rising
205241,794.9844382417739,0.985,Falling
45950,794.9844697544527,0.977,Rising
204938,794.9845105776956,0.953,Falling
46250,794.9845413741771,0.952,Rising
204638,794.98458219742,0.933,Falling
46550,794.9846129939015,0.934,Rising
204338,794.9846538171444,0.914,Falling
46850,794.9846846136259,0.923,Rising
204038,794.9847254368688,0.904,Falling
47150,794.9847562333503,0.912,Rising
203738,794.9847970565932,0.897,Falling
47450,794.9848278530746,0.904,Rising
203438,794.9848686763175,0.891,Falling
47750,794.984899472799,0.905,Rising
203138,794.9849402960419,0.888,Falling
48050,794.9849710925234,0.911,Rising
202838,794.9850119157663,0.895,Falling
48350,794.9850427122478,0.911,Rising
202538,794.9850835354907,0.902,Falling
48650,794.9851143319722,0.918,Rising
202238,794.9851551552151,0.913,Falling
48950,794.9851859516966,0.921,Rising
201938,794.9852267749395,0.928,Falling
49250,794.9852575714209,0.943,Rising
201638,794.9852983946639,0.947,Falling
49550,794.9853291911453,0.959,Rising
201338,794.9853700143883,0.963,Falling
49850,794.9854008108697,0.978,Rising
201038,794.9854416341127,0.984,Falling
50150,794.9854724305941,0.999,Rising
200738,794.9855132538371,1.01,Falling
50450,794.9855440503185,1.03,Rising
200438,794.9855848735615,1.04,Falling
50750,794.9856156700429,1.0699999999999998,Rising
200138,794.9856564932859,1.08,Falling
51050,794.9856872897673,1.12,Rising
199838,794.9857281130103,1.14,Falling
51350,794.9857589094917,1.17,Rising
199538,794.9857997327346,1.2,Falling
51650,794.9858305292161,1.25,Rising
199238,794.985871352459,1.28,Falling
51950,794.9859021489405,1.36,Rising
198938,794.9859429721834,1.37,Falling
52250,794.9859737686648,1.49,Rising
198638,794.9860145919077,1.5,Falling
52550,794.9860453883892,1.65,Rising
198338,794.9860862116321,1.6700000000000002,Falling
52850,794.9861170081136,1.85,Rising
198038,794.9861578313565,1.89,Falling
53150,794.986188627838,2.04,Rising
197738,794.9862294510809,2.09,Falling
53450,794.9862602475624,2.25,Rising
197435,794.9863017870026,2.26,Falling
53752,794.9863323447516,2.4,Rising
197135,794.986373406727,2.4,Falling
54052,794.986403964476,2.43,Rising
196835,794.9864450264514,2.3,Falling
54352,794.9864755842004,2.33,Rising
196535,794.9865166461758,2.09,Falling
54652,794.9865472039248,2.1900000000000004,Rising
196235,794.9865882659002,1.95,Falling
54952,794.9866188236492,2.03,Rising
195935,794.9866598856246,1.83,Falling
55252,794.9866904433736,1.88,Rising
195635,794.986731505349,1.73,Falling
55552,794.986762063098,1.76,Rising
195335,794.9868031250734,1.64,Falling
55852,794.9868336828224,1.66,Rising
195035,794.9868747447978,1.5799999999999998,Falling
56152,794.9869053025468,1.59,Rising
194735,794.9869463645222,1.53,Falling
56452,794.9869769222712,1.55,Rising
194435,794.9870179842466,1.5,Falling
56752,794.9870485419956,1.53,Rising
194135,794.987089603971,1.48,Falling
57052,794.98712016172,1.51,Rising
193835,794.9871612236954,1.48,Falling
57352,794.9871917814444,1.51,Rising
193535,794.9872328434196,1.49,Falling
57652,794.9872634011688,1.53,Rising
193235,794.987304463144,1.5,Falling
57952,794.9873350208932,1.55,Rising
192935,794.9873760828684,1.53,Falling
58252,794.9874066406176,1.57,Rising
192635,794.9874477025928,1.56,Falling
58552,794.987478260342,1.61,Rising
192335,794.9875193223172,1.59,Falling
58852,794.9875498800664,1.64,Rising
192035,794.9875909420416,1.63,Falling
59152,794.9876214997907,1.68,Rising
191735,794.987662561766,1.6700000000000002,Falling
59452,794.9876931195151,1.73,Rising
191435,794.9877341814904,1.72,Falling
59752,794.9877647392395,1.7799999999999998,Rising
191135,794.9878058012148,1.7799999999999998,Falling
60052,794.9878363589639,1.84,Rising
190835,794.9878774209392,1.84,Falling
60352,794.9879079786882,1.91,Rising
190535,794.9879490406636,1.91,Falling
60652,794.9879795984126,1.98,Rising
190233,794.9880211378528,1.98,Falling
60952,794.988051218137,2.05,Rising
189935,794.9880922801124,2.06,Falling
61252,794.9881228378614,2.14,Rising
189633,794.9881643773016,2.16,Falling
61555,794.9881951737831,2.24,Rising
189335,794.9882355195612,2.25,Falling
61855,794.9882667935075,2.35,Rising
189035,794.9883071392856,2.36,Falling
62155,794.9883384132319,2.47,Rising
188735,794.98837875901,2.5,Falling
62455,794.9884100329563,2.5900000000000003,Rising
188433,794.9884508561992,2.63,Falling
62755,794.9884816526807,2.74,Rising
188136,794.9885217597263,2.77,Falling
63068,794.9885563759265,2.91,Rising
187833,794.988594095648,2.94,Falling
63368,794.9886279956509,3.07,Rising
187535,794.9886652379075,3.12,Falling
63668,794.9886996153753,3.26,Rising
187233,794.9887373350967,3.3000000000000003,Falling
63968,794.9887712350996,3.46,Rising
186935,794.9888084773563,3.5,Falling
64268,794.988842854824,3.65,Rising
186633,794.9888805745455,3.68,Falling
64568,794.9889144745484,3.86,Rising
186335,794.9889517168051,3.89,Falling
64868,794.9889860942727,4.1,Rising
186035,794.9890233365295,4.140000000000001,Falling
65168,794.9890577139971,4.35,Rising
185735,794.9890949562539,4.390000000000001,Falling
65468,794.9891293337215,4.65,Rising
185433,794.9891670534431,4.7,Falling
65768,794.9892009534459,4.989999999999999,Rising
185119,794.9892420154213,5.069999999999999,Falling
66068,794.9892725731703,5.36,Rising
184819,794.9893136351457,5.44,Falling
66368,794.9893441928947,5.779999999999999,Rising
184519,794.9893852548701,5.88,Falling
66668,794.9894158126191,6.2700000000000005,Rising
184219,794.9894568745945,6.409999999999999,Falling
66968,794.9894874323435,6.8,Rising
67268,794.9895590520679,7.439999999999999,Rising
183537,794.9896196901012,7.85,Falling
183237,794.9896913098256,8.69,Falling
