scenario,N,tau0,rho,finesse,finesse_ceiling,delta,tau_eff,tau_margin,peak_headroom_ratio,platform_height_margin,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_branch_list,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,min_final_platform_width_L_mm,mean_final_platform_width_L_mm,pairwise_er_db,conservative_er_db,rho_is_boundary,final_exists
COMPARISON_RELAXED,25,3.000000000000,1.000000000000,75.000000000000,75,0.040000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,10,7,7,0,10,0,"3,4,6,7,8,9,11","3,4,6,7,8,9,11",-,"1,2,3,4,6,7,8,9,11,12",-,0.000000000,0.000000000,0.000000000,15.682017,10.689715,yes,no
COMPARISON_RELAXED,26,3.000000000000,1.000000000000,78.000000000000,78,0.038461538462,3.000000000000,0.000000000000,0.000000000000,0.000000000000,6,5,5,0,6,0,"3,5,7,9,11","3,5,7,9,11",-,"1,3,5,7,9,11",-,0.000000000,0.000000000,0.000000000,15.682017,10.681358,yes,no
COMPARISON_RELAXED,27,3.000000000000,1.000000000000,81.000000000000,81,0.037037037037,3.000000000000,0.000000000000,0.000000000000,0.000000000000,9,6,6,0,9,0,"4,5,7,8,10,11","4,5,7,8,10,11",-,"1,2,4,5,7,8,10,11,13",-,0.000000000,0.000000000,0.000000000,15.682017,10.673016,yes,no
COMPARISON_RELAXED,28,3.000000000000,1.000000000000,84.000000000000,84,0.035714285714,3.000000000000,0.000000000000,0.000000000000,0.000000000000,6,5,5,0,6,0,"3,5,9,11,13","3,5,9,11,13",-,"1,3,5,9,11,13",-,0.000000000,0.000000000,0.000000000,15.682017,10.665837,yes,no
COMPARISON_RELAXED,29,3.000000000000,1.000000000000,87.000000000000,87,0.034482758621,3.000000000000,0.000000000000,0.000000000000,0.000000000000,14,11,11,0,14,0,"3,4,5,6,7,8,9,10,11,12,13","3,4,5,6,7,8,9,10,11,12,13",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",-,0.000000000,0.000000000,0.000000000,15.682017,10.658669,yes,no
COMPARISON_RELAXED,30,3.000000000000,1.000000000000,90.000000000000,90,0.033333333333,3.000000000000,0.000000000000,0.000000000000,0.000000000000,4,3,3,0,4,0,"7,11,13","7,11,13",-,"1,7,11,13",-,0.000000000,0.000000000,0.000000000,15.682017,10.652434,yes,no
COMPARISON_RELAXED,31,3.000000000000,1.000000000000,93.000000000000,93,0.032258064516,3.000000000000,0.000000000000,0.000000000000,0.000000000000,15,11,11,0,15,0,"4,5,6,7,8,9,10,11,12,13,14","4,5,6,7,8,9,10,11,12,13,14",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",-,0.000000000,0.000000000,0.000000000,15.682017,10.646209,yes,no
COMPARISON_RELAXED,32,3.000000000000,1.000000000000,96.000000000000,96,0.031250000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,8,6,6,0,8,0,"5,7,9,11,13,15","5,7,9,11,13,15",-,"1,3,5,7,9,11,13,15",-,0.000000000,0.000000000,0.000000000,15.682017,10.640744,yes,no
COMPARISON_RELAXED,33,3.000000000000,1.000000000000,99.000000000000,99,0.030303030303,3.000000000000,0.000000000000,0.000000000000,0.000000000000,10,7,7,0,10,0,"4,5,7,8,10,13,14","4,5,7,8,10,13,14",-,"1,2,4,5,7,8,10,13,14,16",-,0.000000000,0.000000000,0.000000000,15.682017,10.635287,yes,no
COMPARISON_RELAXED,34,3.000000000000,1.000000000000,102.000000000000,102,0.029411764706,3.000000000000,0.000000000000,0.000000000000,0.000000000000,8,6,6,0,8,0,"5,7,9,11,13,15","5,7,9,11,13,15",-,"1,3,5,7,9,11,13,15",-,0.000000000,0.000000000,0.000000000,15.682017,10.630458,yes,no
COMPARISON_RELAXED,35,3.000000000000,1.000000000000,105.000000000000,105,0.028571428571,3.000000000000,0.000000000000,0.000000000000,0.000000000000,12,8,8,0,12,0,"4,6,8,9,11,12,13,16","4,6,8,9,11,12,13,16",-,"1,2,3,4,6,8,9,11,12,13,16,17",-,0.000000000,0.000000000,0.000000000,15.682017,10.625635,yes,no
COMPARISON_RELAXED,36,3.000000000000,1.000000000000,108.000000000000,108,0.027777777778,3.000000000000,0.000000000000,0.000000000000,0.000000000000,6,4,4,0,6,0,"5,7,11,13","5,7,11,13",-,"1,5,7,11,13,17",-,0.000000000,0.000000000,0.000000000,15.682017,10.621337,yes,no
COMPARISON_RELAXED,37,3.000000000000,1.000000000000,111.000000000000,111,0.027027027027,3.000000000000,0.000000000000,0.000000000000,0.000000000000,18,14,14,0,18,0,"4,5,6,7,8,9,10,11,12,13,14,15,16,17","4,5,6,7,8,9,10,11,12,13,14,15,16,17",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",-,0.000000000,0.000000000,0.000000000,15.682017,10.617043,yes,no
COMPARISON_RELAXED,38,3.000000000000,1.000000000000,114.000000000000,114,0.026315789474,3.000000000000,0.000000000000,0.000000000000,0.000000000000,9,7,7,0,9,0,"5,7,9,11,13,15,17","5,7,9,11,13,15,17",-,"1,3,5,7,9,11,13,15,17",-,0.000000000,0.000000000,0.000000000,15.682017,10.613193,yes,no
COMPARISON_RELAXED,39,3.000000000000,1.000000000000,117.000000000000,117,0.025641025641,3.000000000000,0.000000000000,0.000000000000,0.000000000000,12,9,9,0,12,0,"4,5,7,8,10,11,14,16,17","4,5,7,8,10,11,14,16,17",-,"1,2,4,5,7,8,10,11,14,16,17,19",-,0.000000000,0.000000000,0.000000000,15.682017,10.609347,yes,no
COMPARISON_RELAXED,40,3.000000000000,1.000000000000,120.000000000000,120,0.025000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,8,5,5,0,8,0,"7,9,11,13,17","7,9,11,13,17",-,"1,3,7,9,11,13,17,19",-,0.000000000,0.000000000,0.000000000,15.682017,10.605878,yes,no
COMPARISON_RELAXED,41,3.000000000000,1.000000000000,123.000000000000,123,0.024390243902,3.000000000000,0.000000000000,0.000000000000,0.000000000000,20,15,15,0,20,0,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",-,0.000000000,0.000000000,0.000000000,15.682017,10.602413,yes,no
COMPARISON_RELAXED,42,3.000000000000,1.000000000000,126.000000000000,126,0.023809523810,3.000000000000,0.000000000000,0.000000000000,0.000000000000,6,5,5,0,6,0,"5,11,13,17,19","5,11,13,17,19",-,"1,5,11,13,17,19",-,0.000000000,0.000000000,0.000000000,15.682017,10.599271,yes,no
COMPARISON_RELAXED,43,3.000000000000,1.000000000000,129.000000000000,129,0.023255813953,3.000000000000,0.000000000000,0.000000000000,0.000000000000,21,16,16,0,21,0,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-,0.000000000,0.000000000,0.000000000,15.682017,10.596132,yes,no
COMPARISON_RELAXED,44,3.000000000000,1.000000000000,132.000000000000,132,0.022727272727,3.000000000000,0.000000000000,0.000000000000,0.000000000000,10,7,7,0,10,0,"5,7,9,13,15,17,19","5,7,9,13,15,17,19",-,"1,3,5,7,9,13,15,17,19,21",-,0.000000000,0.000000000,0.000000000,15.682017,10.593274,yes,no
COMPARISON_RELAXED,45,3.000000000000,1.000000000000,135.000000000000,135,0.022222222222,3.000000000000,0.000000000000,0.000000000000,0.000000000000,12,8,8,0,12,0,"7,8,11,13,14,16,17,19","7,8,11,13,14,16,17,19",-,"1,2,4,7,8,11,13,14,16,17,19,22",-,0.000000000,0.000000000,0.000000000,15.682017,10.590418,yes,no
COMPARISON_RELAXED,46,3.000000000000,1.000000000000,138.000000000000,138,0.021739130435,3.000000000000,0.000000000000,0.000000000000,0.000000000000,11,9,9,0,11,0,"5,7,9,11,13,15,17,19,21","5,7,9,11,13,15,17,19,21",-,"1,3,5,7,9,11,13,15,17,19,21",-,0.000000000,0.000000000,0.000000000,15.682017,10.587806,yes,no
COMPARISON_RELAXED,47,3.000000000000,1.000000000000,141.000000000000,141,0.021276595745,3.000000000000,0.000000000000,0.000000000000,0.000000000000,23,18,18,0,23,0,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",-,0.000000000,0.000000000,0.000000000,15.682017,10.585196,yes,no
COMPARISON_RELAXED,48,3.000000000000,1.000000000000,144.000000000000,144,0.020833333333,3.000000000000,0.000000000000,0.000000000000,0.000000000000,8,6,6,0,8,0,"5,7,11,13,17,19","5,7,11,13,17,19",-,"1,5,7,11,13,17,19,23",-,0.000000000,0.000000000,0.000000000,15.682017,10.582800,yes,no
COMPARISON_RELAXED,49,3.000000000000,1.000000000000,147.000000000000,147,0.020408163265,3.000000000000,0.000000000000,0.000000000000,0.000000000000,21,15,15,0,21,0,"6,8,9,10,11,12,13,15,16,17,18,19,20,22,23","6,8,9,10,11,12,13,15,16,17,18,19,20,22,23",-,"1,2,3,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,22,23,24",-,0.000000000,0.000000000,0.000000000,15.682017,10.580406,yes,no
COMPARISON_RELAXED,50,3.000000000000,1.000000000000,150.000000000000,150,0.020000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,10,8,8,0,10,0,"7,9,11,13,17,19,21,23","7,9,11,13,17,19,21,23",-,"1,3,7,9,11,13,17,19,21,23",-,0.000000000,0.000000000,0.000000000,15.682017,10.578201,yes,no
COMPARISON_RELAXED,5,3.000000000000,1.020000000000,15.300000000000,16,0.196078431373,3.060000000000,0.060000000000,0.019607843137,0.003921568627,2,2,2,0,2,2,"1,2","1,2",-,"1,2","1,2",0.365026567,0.150435200,0.257730884,15.849460,11.852817,no,yes
COMPARISON_RELAXED,6,3.000000000000,1.020000000000,18.360000000000,19,0.163398692810,3.060000000000,0.060000000000,0.019607843137,0.003267973856,1,1,1,0,1,1,1,1,-,1,1,0.265454655,0.265454655,0.265454655,15.849460,11.660342,no,yes
COMPARISON_RELAXED,7,3.000000000000,1.020000000000,21.420000000000,22,0.140056022409,3.060000000000,0.060000000000,0.019607843137,0.002801120448,3,3,3,0,3,3,"1,2,3","1,2,3",-,"1,2,3","1,2,3",0.199487181,0.066450991,0.130344035,15.849460,11.476036,no,yes
COMPARISON_RELAXED,8,3.000000000000,1.020000000000,24.480000000000,25,0.122549019608,3.060000000000,0.060000000000,0.019607843137,0.002450980392,2,2,2,0,2,2,"1,3","1,3",-,"1,3","1,3",0.154531039,0.072670416,0.113600727,15.849460,11.375573,no,yes
COMPARISON_RELAXED,9,3.000000000000,1.020000000000,27.540000000000,28,0.108932461874,3.060000000000,0.060000000000,0.019607843137,0.002178649237,3,3,3,0,3,2,"1,2,4","1,2,4",-,"1,2,4","1,2",0.122849759,0.075834471,0.099342115,15.849460,11.277381,no,yes
COMPARISON_RELAXED,10,3.000000000000,1.020000000000,30.600000000000,31,0.098039215686,3.060000000000,0.060000000000,0.019607843137,0.001960784314,2,1,1,0,2,1,3,3,-,"1,3",3,0.069717244,0.069717244,0.069717244,15.849460,11.215646,no,yes
COMPARISON_RELAXED,11,3.000000000000,1.020000000000,33.660000000000,34,0.089126559715,3.060000000000,0.060000000000,0.019607843137,0.001782531194,5,4,4,0,5,1,"2,3,4,5","2,3,4,5",-,"1,2,3,4,5",3,0.054444695,0.054444695,0.054444695,15.849460,11.154778,no,yes
COMPARISON_RELAXED,12,3.000000000000,1.020000000000,36.720000000000,37,0.081699346405,3.060000000000,0.060000000000,0.019607843137,0.001633986928,2,1,1,0,2,0,5,5,-,"1,5",-,0.000000000,0.000000000,0.000000000,15.849460,11.112990,no,no
COMPARISON_RELAXED,13,3.000000000000,1.020000000000,39.780000000000,40,0.075414781297,3.060000000000,0.060000000000,0.019607843137,0.001508295626,6,5,5,0,6,0,"2,3,4,5,6","2,3,4,5,6",-,"1,2,3,4,5,6",-,0.000000000,0.000000000,0.000000000,15.849460,11.071601,no,no
COMPARISON_RELAXED,14,3.000000000000,1.020000000000,42.840000000000,43,0.070028011204,3.060000000000,0.060000000000,0.019607843137,0.001400560224,3,2,2,0,3,0,"3,5","3,5",-,"1,3,5",-,0.000000000,0.000000000,0.000000000,15.849460,11.041437,no,no
COMPARISON_RELAXED,15,3.000000000000,1.020000000000,45.900000000000,46,0.065359477124,3.060000000000,0.060000000000,0.019607843137,0.001307189542,4,3,3,0,4,0,"2,4,7","2,4,7",-,"1,2,4,7",-,0.000000000,0.000000000,0.000000000,15.849460,11.011480,no,no
COMPARISON_RELAXED,16,3.000000000000,1.020000000000,48.960000000000,49,0.061274509804,3.060000000000,0.060000000000,0.019607843137,0.001225490196,4,3,3,0,4,0,"3,5,7","3,5,7",-,"1,3,5,7",-,0.000000000,0.000000000,0.000000000,15.849460,10.988680,no,no
COMPARISON_RELAXED,17,3.000000000000,1.020000000000,52.020000000000,53,0.057670126874,3.060000000000,0.060000000000,0.019607843137,0.001153402537,8,7,7,0,8,0,"2,3,4,5,6,7,8","2,3,4,5,6,7,8",-,"1,2,3,4,5,6,7,8",-,0.000000000,0.000000000,0.000000000,15.849460,10.966000,no,no
COMPARISON_RELAXED,18,3.000000000000,1.020000000000,55.080000000000,56,0.054466230937,3.060000000000,0.060000000000,0.019607843137,0.001089324619,3,2,2,0,3,0,"5,7","5,7",-,"1,5,7",-,0.000000000,0.000000000,0.000000000,15.849460,10.948161,no,no
COMPARISON_RELAXED,19,3.000000000000,1.020000000000,58.140000000000,59,0.051599587203,3.060000000000,0.060000000000,0.019607843137,0.001031991744,9,7,7,0,9,0,"2,3,4,5,6,7,8","2,3,4,5,6,7,8",-,"1,2,3,4,5,6,7,8,9",-,0.000000000,0.000000000,0.000000000,15.849460,10.930395,no,no
