rho,k_plane_concave,naive_2x_k_plane_concave,k_double_concave_effective,k_cc_over_k_pc,k_cc_over_naive_2kpc
0.05,0.071783146564,0.143566293129,0.101082624104,1.408166525741,0.704083262870
0.10,0.102416382350,0.204832764699,0.143566293129,1.401790317478,0.700895158739
0.15,0.126591655553,0.253183311107,0.176601836761,1.395051166599,0.697525583300
0.20,0.147583617650,0.295167235301,0.204832764699,1.387909904637,0.693954952318
0.25,0.166666666667,0.333333333333,0.230053456163,1.380320736976,0.690160368488
0.30,0.184505059783,0.369010119566,0.253183311107,1.372229636438,0.686114818219
0.35,0.201506657990,0.403013315979,0.274768878481,1.363572207597,0.681786103799
0.40,0.217952891576,0.435905783151,0.295167235301,1.354270792955,0.677135396478
0.45,0.234057859785,0.468115719571,0.314627705726,1.344230465129,0.672115232565
0.50,0.250000000000,0.500000000000,0.333333333333,1.333333333333,0.666666666667
0.55,0.265942140215,0.531884280429,0.351423978053,1.321430209480,0.660715104740
0.60,0.282047108424,0.564094216849,0.369010119566,1.308327965590,0.654163982795
0.65,0.298493342010,0.596986684021,0.386181582696,1.293769502847,0.646884751424
0.70,0.315494940217,0.630989880434,0.403013315979,1.277400251496,0.638700125748
0.75,0.333333333333,0.666666666667,0.419569376745,1.258708130235,0.629354065117
0.80,0.352416382350,0.704832764699,0.435905783151,1.236905561100,0.618452780550
0.85,0.373408344447,0.746816688893,0.452072630230,1.210665580865,0.605332790433
0.90,0.397583617650,0.795167235301,0.468115719571,1.177401932044,0.588700966022
0.95,0.428216853436,0.856433706871,0.484077866763,1.130450291434,0.565225145717
