,in_1,in_4,in_6,in_31,in_37,in_40,in_46
out_1,0.9526445295536511,0.0049127269360317045,0.004181413882977088,0.0025797181250035634,0.016795771605869658,0.016582966122823447,0.0025726384365025905
out_4,0.0048728019075366885,0.9604499689517155,0.0023143197095717135,0.009960875953228615,0.0028124919604911925,0.016712743034286114,0.002837367384354575
out_6,0.004139182474971181,0.002309716296937503,0.9623642073053443,0.0031126088965652996,0.011503408241416947,0.0026055856463451954,0.01394399654956132
out_31,0.002530031660073929,0.009849067218069973,0.0030838045117306642,0.9713532041347007,0.00231140637995884,0.0038537207704823846,0.006696570960845525
out_37,0.01670528165994333,0.002820259045017832,0.011558166836305861,0.002344101695475951,0.9578048587070965,0.004874978332925471,0.003912881875039731
out_40,0.016575562687151345,0.01684215544610282,0.0026309948868277347,0.003927648458407517,0.00489919712732998,0.9530700259682252,0.002335288693631369
out_46,0.0025326100566725163,0.0028161061061247276,0.013867092867242725,0.006721842736618368,0.003872865977836914,0.0022999801249120257,0.967701256100065
