tau,ER_sum_inf_dB,eta_sort_inf
1,1.471002033,0.583877311159
2,7.041492991,0.834983112000
3,10.469296344,0.917635411976
4,12.934242586,0.951580396584
5,14.856617222,0.968350217330
6,16.431600300,0.977763131524
