N,preferred_m,k_star,L_over_R_star,F_min,ER_sum_pred_dB,eta_sort_pred,I_pred_bits
4,1,0.250000000000,0.500000000000,12.000000,12.150219736,0.942550948700,1.533574338407
9,2,0.222222222222,0.413175911167,27.000000,11.108820953,0.928102491124,2.463716528666
15,4,0.266666666667,0.552264231634,45.000000,10.842724383,0.923905201095,3.082461810801
30,7,0.233333333333,0.447735768366,90.000000,10.652434255,0.920766962967,3.947073668441
50,13,0.260000000000,0.531395259765,150.000000,10.578200531,0.919510941346,4.597795937215
100,23,0.230000000000,0.437333383218,300.000000,10.523396808,0.918572042311,5.493258986285
