N,preferred_m,k_star,L_over_R_star,F_min,ER_sum_lorentz_ring_dB,eta_sort_lorentz_ring,I_lorentz_ring_bits,ER_sum_airy_exact_dB,eta_sort_airy_exact,I_airy_exact_bits,delta_ER_sum_airy_minus_lorentz_dB,delta_eta_airy_minus_lorentz
4,1,0.250000000000,0.500000000000,12.000000,12.150219736,0.942550948700,1.602555700902,10.803256624,0.923263823428,1.492436229425,-1.346963113,-0.019287125272
9,2,0.222222222222,0.413175911167,27.000000,11.108820953,0.928102491124,2.631856500520,10.533915377,0.918753017424,2.561215572558,-0.574905576,-0.009349473700
15,4,0.266666666667,0.552264231634,45.000000,10.842724383,0.923905201095,3.318075490719,10.492485896,0.918038082944,3.265791632190,-0.350238487,-0.005867118151
30,7,0.233333333333,0.447735768366,90.000000,10.652434255,0.920766962967,4.274437347852,10.475086063,0.917736114900,4.241529054124,-0.177348193,-0.003030848067
50,13,0.260000000000,0.531395259765,150.000000,10.578200531,0.919510941346,4.991507499497,10.471380055,0.917671667732,4.968800331645,-0.106820476,-0.001839273614
100,23,0.230000000000,0.437333383218,300.000000,10.523396808,0.918572042311,5.974910783729,10.469817210,0.917644476201,5.961534440625,-0.053579598,-0.000927566110
