case,F,tau0,delta,k_star,lr_star,L_star_mm,analytic_left_lr,analytic_right_lr,analytic_left_L_mm,analytic_right_L_mm,numeric_left_lr,numeric_right_lr,L_nom_mm,lr_nom,smin_at_nominal_lr,tau_eff_at_nominal_lr,nominal_offset_from_peak_mm,margin_to_left_mm,margin_to_right_mm
design_nominal,29.800000,3.000000,0.100671140940,0.222222222222,0.413175911167,10.329397779,0.406723596973,0.421262187814,10.168089924,10.531554695,0.406724350171,0.421261435350,10.250000000,0.410000000000,0.105975558257,3.158071636066,-0.079397779,0.081910076,0.281554695
experiment_finesse,31.350000,3.000000,0.095693779904,0.222222222222,0.413175911167,10.329397779,0.403652974546,0.425124989512,10.091324364,10.628124738,0.403653641157,0.425124732316,10.250000000,0.410000000000,0.105975558257,3.322333751365,-0.079397779,0.158675636,0.378124738
