dataset_key,l,scan_direction,raw_lambda_center_nm,final_lambda_center_nm,delta_lambda_nm,raw_nu_center_ghz,final_nu_center_ghz,delta_nu_ghz,raw_fwhm_ghz,final_fwhm_ghz,delta_fwhm_ghz,raw_peak_power_uw,final_peak_power_uw,delta_peak_power_uw,raw_r_squared,final_r_squared
0p88mm,0,Rising,794.9956393900444,794.9956393900443,1.1368683772161603e-13,377099.4998538784,377099.49985387846,-5.820766091346741e-11,0.31026181290370036,0.3102618129141822,-1.0481837620091028e-11,59.72909222449028,59.72909222833028,-3.840000317723025e-09,0.9999867509277687,0.9999867509277149
0p88mm,0,Falling,794.9957016652171,794.9957016652171,0.0,377099.47031417594,377099.47031417594,0.0,0.311455338547293,0.31145533855486973,-7.576717031554381e-12,59.02106319997494,59.021063207148245,-7.173305505148164e-09,0.9999694539643653,0.9999694539643292
0p88mm,1,Rising,794.9909723771616,794.9909723771616,0.0,377101.71362521045,377101.71362521045,0.0,0.30738333820423136,0.30738333820423136,0.0,144.3496559250572,144.3496559250572,0.0,0.9999621001742852,0.9999621001742852
0p88mm,1,Falling,794.990980175867,794.990980175867,0.0,377101.7099259167,377101.7099259167,0.0,0.30756519944595156,0.30756519944595156,0.0,142.65493396367296,142.65493396367296,0.0,0.9999639394439401,0.9999639394439401
0p88mm,2,Rising,794.9862816065918,794.9862816065918,0.0,377103.9386920588,377103.9386920588,0.0,0.3050141938030917,0.3050141938030917,0.0,173.84647220150353,173.84647220150353,0.0,0.9999780505367756,0.9999780505367756
0p88mm,2,Falling,794.9863171456763,794.9863171456763,0.0,377103.92183399666,377103.92183399666,0.0,0.30343961066738473,0.30343961066738473,0.0,171.18361468814504,171.18361468814504,0.0,0.9999300666518959,0.9999300666518959
0p88mm,3,Rising,794.9816643836058,794.9816643836058,0.0,377106.128897257,377106.128897257,0.0,0.3110349116649386,0.3110349116660978,-1.1592393711623572e-12,185.27071547006813,209.3058352952552,-24.03511982518708,0.9999843776627637,0.9999843776628045
0p88mm,3,Falling,794.9817255626888,794.9817255626887,1.1368683772161603e-13,377106.09987645515,377106.0998764552,-5.820766091346741e-11,0.30934178021482317,0.30934178022689846,-1.2075285216184284e-11,183.42784265928114,207.22388708638695,-23.796044427105812,0.9999792957004576,0.9999792957006074
0p88mm,4,Rising,794.9770240099936,794.9770240099934,1.1368683772161603e-13,377108.33010971564,377108.3301097157,-5.820766091346741e-11,0.30952850314777325,0.3095285031325449,1.522837411727096e-11,189.2118023474886,219.2454217499422,-30.03361940245361,0.9999676679180659,0.9999676679185256
0p88mm,4,Falling,794.9770428670427,794.9770428670427,0.0,377108.3211646142,377108.3211646142,0.0,0.3098702103167143,0.30987021028848727,2.8227031823035986e-11,188.25352119563027,218.13503247604405,-29.881511280413775,0.999987979988309,0.9999879799883886
0p88mm,5,Rising,794.9932641451668,794.9932641451668,0.0,377100.62653468904,377100.62653468904,0.0,0.3105933613804359,0.3105933613804359,0.0,218.29112647362186,218.29112647362186,0.0,0.9999460126558134,0.9999460126558134
0p88mm,5,Falling,794.9932816015433,794.9932816015433,0.0,377100.61825435434,377100.61825435434,0.0,0.31019296685629033,0.31019296685629033,0.0,215.64200996920692,215.64200996920692,0.0,0.999947188029424,0.999947188029424
0p88mm,6,Rising,794.9886084164726,794.9886084164726,0.0,377102.8349665949,377102.8349665949,0.0,0.3064679852920144,0.3064679852920144,0.0,213.79749497629138,213.79749497629138,0.0,0.9999750498819024,0.9999750498819024
0p88mm,6,Falling,794.9886468826179,794.9886468826179,0.0,377102.8167201803,377102.8167201803,0.0,0.30811620124249484,0.30811620124249484,0.0,209.22295014532597,209.22295014532597,0.0,0.9999633673568863,0.9999633673568863
0p88mm,7,Rising,794.983985404439,794.983985404439,0.0,377105.02790503885,377105.02790503885,0.0,0.3070449511708028,0.3070449511708028,0.0,202.1227781283486,202.1227781283486,0.0,0.9998999277071897,0.9998999277071897
0p88mm,7,Falling,794.9839817912087,794.9839817912087,0.0,377105.0296189945,377105.0296189945,0.0,0.30847622896663013,0.30847622896663013,0.0,198.47373942773172,198.47373942773172,0.0,0.9999169363581902,0.9999169363581902
0p88mm,8,Rising,794.9793764250103,794.9793764250103,0.0,377107.2142124672,377107.2142124672,0.0,0.3103049299781317,0.3103049312979204,-1.319788722753401e-09,187.87314984182728,216.10279392910064,-28.229644087273357,0.9999414885715705,0.9999414885719088
0p88mm,8,Falling,794.9793877006209,794.9793877006208,1.1368683772161603e-13,377107.2088637574,377107.2088637574,0.0,0.30725691731740207,0.3072569177125864,-3.951843297045343e-10,192.910283162873,221.8968023229304,-28.986519160057412,0.9999843478290956,0.9999843478295602
0p88mm,9,Rising,794.9956096904273,794.9956096904272,1.1368683772161603e-13,377099.51394164265,377099.5139416427,-5.820766091346741e-11,0.30737491047797777,0.30737490996725625,5.107215206301419e-10,212.65960715571745,212.65960745215256,-2.9643510401911044e-07,0.9999767763650682,0.9999767763650509
0p88mm,9,Falling,794.9956351392266,794.9956351392266,0.0,377099.5018702181,377099.5018702181,0.0,0.31099972534697806,0.3109997256739272,-3.269491344326525e-10,208.45308451859628,208.45308450683444,1.1761841278712382e-08,0.999957234387821,0.9999572343877727
