l,lambda_center_nm,nu_center_ghz,fwhm_ghz,fwhm_nm,finesse,falling_branch_shift_fsr,rising_falling_lambda_diff_nm,rising_falling_fwhm_diff_ghz
0,794.9956705276295,377099.48508402717,0.31085857573452597,0.0006553475453233011,31.971669290486172,0,6.227517280876782e-05,0.0011935256406875316
1,794.9909762765143,377101.71177556354,0.30747426882509143,0.000648205143389423,32.323574969291116,0,7.798705382811022e-06,0.0001818612417202048
2,794.9862993761336,377103.9302630277,0.3042269022352382,0.0006413516268101058,32.66860197593871,0,3.553908447884169e-05,0.001574583135706964
3,794.9816949731461,377106.1143868561,0.31018834594649813,0.0006539115849940926,32.040751077121556,0,6.117908287706086e-05,0.001693131439199358
4,794.9770334385179,377108.32563716493,0.30969935671051607,0.0006528730847900997,32.091340728181564,0,1.885704921278375e-05,0.00034170715594239454
5,794.9932728733548,377100.6223945217,0.31039316411836315,0.0006543624241445009,32.019608446357,0,1.745637644035014e-05,0.0004003945241455864
6,794.9886276495448,377102.8258433876,0.3072920932672546,0.0006478172604499325,32.34273773146538,0,3.846614526992198e-05,0.001648215950480425
7,794.9839835978239,377105.0287620167,0.3077605900687165,0.0006487973408571602,32.29350313266789,0,3.6132302057012566e-06,0.0014312777958273015
8,794.9793820628157,377107.21153811226,0.3087809245052534,0.0006509407962196403,32.186792611687785,0,1.127561063185567e-05,0.0030480135853340196
9,794.9956224148267,377099.5079059304,0.3091873178205917,0.0006518241447320923,32.144486551233,0,2.5448799419791612e-05,0.0036248157066709474
