N,m,delta,analytic_left_k,analytic_right_k,numeric_left_k,numeric_right_k,analytic_left_lr,analytic_right_lr,numeric_left_lr,numeric_right_lr,abs_error_left_lr,abs_error_right_lr
9,1,0.100671140940,0.100671140940,0.112416107383,0.100671361111,0.112415861111,0.096734412339,0.119625903818,0.096734821260,0.119625401660,4.089212106428e-07,5.021572840463e-07
9,2,0.100671140940,0.220134228188,0.224832214765,0.220134472222,0.224831972222,0.406723596973,0.421262187814,0.406724350171,0.421261435350,7.531977800346e-07,7.524636270184e-07
9,4,0.100671140940,0.442953020134,0.449664429530,0.442953194444,0.449664194444,0.968223187052,0.975201427729,0.968223379160,0.975201198025,1.921077932288e-07,2.297035298637e-07
