Time_ms,Lambda_aligned,Power_uW,Scan_Direction
251329,794.9735081587819,4.068873786367453,Falling
251029,794.9735790204293,4.080466019370891,Falling
251629,794.9735797785063,4.405048543638954,Falling
514,794.9736227084612,4.72963106790224,Rising
250729,794.9736506401537,4.520970873726846,Falling
251929,794.9736513982307,4.89192233003254,Falling
814,794.9736943281856,5.390388349437063,Rising
250429,794.9737222598781,5.031029126137102,Falling
252229,794.9737230179551,5.529495145546873,Falling
1114,794.9737659479099,6.167067961062726,Rising
250129,794.9737938796025,5.7033786406766325,Falling
252529,794.9737946376795,6.294582524161237,Falling
1414,794.9738375676343,7.059669902777448,Rising
249829,794.9738654993268,6.503242718314929,Falling
252829,794.9738662574039,7.233553397911571,Falling
1714,794.9739091873587,8.114563106616817,Rising
253129,794.9739378771283,8.392776698832728,Falling
249277,794.9739972796197,8.462330096864374,Falling
2323,794.9740545753992,11.279242718113272,Rising
253671,794.974067270097,11.232873786067271,Falling
248977,794.974068899344,9.91135922299955,Falling
2623,794.9741261951236,13.562912620896672,Rising
253971,794.9741388898213,13.56291262088478,Falling
248677,794.9741405190684,11.708155339394928,Falling
2923,794.974197814848,16.345048543046044,Rising
254271,794.9742105095457,16.345048543029502,Falling
248377,794.9742121387928,14.026601941179498,Falling
3223,794.9742694345724,19.93864077579348,Rising
248074,794.9742844747145,17.040582523474274,Falling
3523,794.9743410542968,24.45961164920347,Rising
247774,794.9743560944389,20.866019416348703,Falling
3823,794.9744126740212,30.487572813689987,Rising
247474,794.9744277141633,25.96660194012906,Falling
4123,794.9744842937456,38.254368929368745,Rising
247174,794.9744993338877,32.11048543458351,Falling
4423,794.97455591347,46.71669902536329,Rising
246874,794.9745709536121,39.87728155008796,Falling
4723,794.9746275331944,54.599417470653,Rising
246574,794.9746425733365,48.33961164585494,Falling
5023,794.9746991529188,59.69999999359612,Rising
246274,794.9747141930609,55.75864077053528,Falling
5323,794.9747707726432,59.236310672278925,Rising
245974,794.9747858127853,59.58407766230191,Falling
5623,794.9748423923676,53.90388348744536,Rising
245674,794.9748574325097,58.07708737009101,Falling
5923,794.974914012092,45.5574757206451,Rising
245374,794.9749290522341,52.5128155250594,Falling
6223,794.9749856318164,38.37029125483636,Rising
245074,794.9750006719585,45.67339804929819,Falling
6523,794.9750572515408,31.64679610955718,Rising
244774,794.9750722916829,37.79067960310064,Falling
6823,794.9751288712652,25.61883494496582,Rising
244474,794.9751439114071,30.487572807574136,Falling
7123,794.9752004909896,20.750097081312028,Rising
244174,794.9752155311315,24.575533973178075,Falling
7423,794.975272110714,17.156504848580468,Rising
243874,794.9752871508559,19.706796109652903,Falling
7723,794.9753437304383,14.142524266338238,Rising
243574,794.9753587705803,16.229126207080427,Falling
8023,794.9754153501627,11.82407766459018,Rising
243261,794.9754334938261,13.446990284996934,Falling
8323,794.9754869698871,9.9925048491877,Rising
242961,794.9755051135505,11.302427178389012,Falling
8623,794.9755585896115,8.543475723043215,Rising
242270,794.975670077649,7.882718440706991,Falling
9309,794.9757223600479,6.23662135404526,Rising
241970,794.9757416973735,6.8741941688248325,Falling
9609,794.9757939797723,5.529495140333097,Rising
241670,794.9758133170978,6.016368926047069,Falling
9909,794.9758655994967,4.915106790681934,Rising
241370,794.9758849368222,5.3324271783375305,Falling
