Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_rank,selected_peak_label,is_active_selected_peak
251329,794.9735081587819,4.068873786367453,Falling,4.096231003574247,0,,0
251029,794.9735790204293,4.072647089124203,Falling,4.1966764064843955,0,,0
251629,794.9735797785063,4.332254264433072,Falling,4.303307629080137,0,,0
514,794.9736227084612,4.588587938015345,Rising,4.418210304802124,0,,0
250729,794.9736506401537,4.419491644857384,Falling,4.543470067091013,0,,0
251929,794.9736513982307,4.716193965796357,Falling,4.681172549387456,0,,0
814,794.9736943281856,5.111634435491621,Rising,4.833403385132108,0,,0
250429,794.9737222598781,4.821978919034007,Falling,5.002248207765625,0,,0
252229,794.9737230179551,5.220692890456242,Falling,5.189792650728659,0,,0
1114,794.9737659479099,5.727418797049394,Rising,5.3981223474618645,0,,0
250129,794.9737938796025,5.354299202914048,Falling,5.629322931405834,0,,0
252529,794.9737946376795,5.827203465596151,Falling,5.808237254258527,0,,0
1414,794.9738375676343,6.435941022669589,Rising,6.08339951930623,0,,0
249829,794.9738654993268,5.988631137273103,Falling,6.536229082976281,0,,0
252829,794.9738662574039,6.572820836844835,Falling,6.815380371095042,0,,0
1714,794.9739091873587,7.274296257989501,Rising,7.195383119558209,0,,0
253129,794.9739378771283,7.494640149830178,Falling,7.785279637253809,0,,0
249277,794.9739972796197,7.545671877056101,Falling,8.14891725587617,0,,0
2323,794.9740545753992,9.794754511848659,Rising,8.756155351442807,0,,0
253671,794.974067270097,9.756673967483955,Falling,9.087069266848452,0,,0
248977,794.974068899344,8.699335850212659,Falling,9.811625525337723,0,,0
2623,794.9741261951236,11.616131106323795,Rising,10.1400138817767,0,,0
253971,794.9741388898213,11.615145707586379,Falling,10.967437698343506,0,,0
248677,794.9741405190684,10.13121341557738,Falling,11.395398149118199,0,,0
2923,794.974197814848,13.836280516291712,Rising,12.429453409125554,0,,0
254271,794.9742105095457,13.835295117550576,Falling,12.983983897569065,0,,0
248377,794.9742121387928,11.980411369253453,Falling,14.346355647283428,0,,0
3223,794.9742694345724,16.705594974738077,Rising,15.262424091398753,0,,0
248074,794.9742844747145,14.38598091405647,Falling,16.946071114033423,0,,0
3523,794.9743410542968,20.31681234571449,Rising,18.53350644508267,0,,0
247774,794.9743560944389,17.44077110060443,Falling,20.765027596488753,0,,0
3823,794.9744126740212,25.13362194955212,Rising,22.9912111975038,0,,0
247474,794.9744277141633,21.515677791877135,Falling,25.640650899965433,0,,0
4123,794.9744842937456,31.341499514343543,Rising,28.709281663133446,0,,0
247174,794.9744993338877,26.42522525968911,Falling,31.36098966455825,0,,0
4423,794.97455591347,38.1058042633876,Rising,34.7531828990341,0,,0
246874,794.9745709536121,32.63310282434109,Falling,37.387392851776454,0,,0
4723,794.9746275331944,44.40641969186778,Rising,40.13655229366009,0,,0
246574,794.9746425733365,39.39740757320309,Falling,42.11947122803541,0,,0
5023,794.9746991529188,48.4813263824707,Rising,43.9501619427132,0,,0
246274,794.9747141930609,45.32707154519578,Falling,44.96786737058476,0,,0
5323,794.9747707726432,48.10481559766536,Rising,45.53481899933412,2,peak_rank_2,1
245974,794.9747858127853,48.3818617308575,Falling,45.39701488517987,0,,0
5623,794.9748423923676,43.833314522046926,Rising,44.5852070108269,0,,0
245674,794.9748574325097,47.1707101693372,Falling,43.32775765452442,0,,0
5923,794.974914012092,37.15062898085513,Rising,41.27582716903785,0,,0
245374,794.9749290522341,42.71373336556033,Falling,39.14753925594462,0,,0
6223,794.9749856318164,31.39532208045656,Rising,36.3000458320293,0,,0
245074,794.9750006719585,37.23664005719978,Falling,33.67375043517464,0,,0
6523,794.9750572515408,26.01096663648163,Rising,30.606857232904684,0,,0
244774,794.9750722916829,30.92490597249016,Falling,27.903814180943964,0,,0
6823,794.9751288712652,21.18303837705696,Rising,25.165112767877325,0,,0
244474,794.9751439114071,25.076861208326193,Falling,22.629364069036743,0,,0
7123,794.9752004909896,17.282488758382343,Rising,20.50986919599434,0,,0
244174,794.9752155311315,20.341670813057764,Falling,18.344941334314484,0,,0
7423,794.975272110714,14.402055644445513,Rising,16.83589820205421,0,,0
243874,794.9752871508559,16.441121194486044,Falling,14.880293388265404,0,,0
7723,794.9753437304383,11.985311850900146,Rising,13.747813069209426,0,,0
243574,794.9753587705803,13.653425944676478,Falling,12.110241580131014,0,,0
8023,794.9754153501627,10.124995241750117,Rising,11.29662763784177,0,,0
243261,794.9754334938261,11.421916975054181,Falling,9.975972532205517,0,,0
8323,794.9754869698871,8.65417766167655,Rising,9.35987621924479,0,,0
242961,794.9755051135505,9.700707162016258,Falling,8.29892005972636,0,,0
8623,794.9755585896115,7.489395033009382,Rising,7.805552554007436,0,,0
242270,794.975670077649,6.95213518694885,Falling,6.955906038630295,0,,0
9309,794.9757223600479,5.631199208354987,Rising,6.558035852936083,0,,0
241970,794.9757416973735,6.139756441691541,Falling,5.901683679721028,0,,0
