,in_1,in_4,in_10,in_15,in_37,in_40,in_46
out_1,1.0,0.005115026388510072,0.004043481240077175,0.0024558544534343738,0.017535692634240357,0.017399525397912695,0.002658504802267785
out_4,0.005115026388510072,1.0,0.0024132330912153836,0.0062029064330759364,0.0029363934990762793,0.01753569263424019,0.0029320695477749567
out_10,0.004043481240077175,0.0024132330912153836,1.0,0.004344939110615101,0.010254638488686374,0.002655798234898112,0.017535692634240367
out_15,0.0024558544534343738,0.0062029064330759364,0.004344939110615101,1.0,0.0025351363494057148,0.0032044048275293112,0.012010179460714941
out_37,0.017535692634240357,0.0029363934990762793,0.010254638488686374,0.0025351363494057148,1.0,0.005115026388510093,0.004043481240077175
out_40,0.017399525397912695,0.01753569263424019,0.002655798234898112,0.0032044048275293112,0.005115026388510093,1.0,0.002413233091215383
out_46,0.002658504802267785,0.0029320695477749567,0.017535692634240367,0.012010179460714941,0.004043481240077175,0.002413233091215383,1.0
