dataset_key,l,scan_direction,primary_label,reference_label,raw_lambda_center_nm,final_lambda_center_nm,delta_lambda_nm,raw_nu_center_ghz,final_nu_center_ghz,delta_nu_ghz,raw_fwhm_ghz,final_fwhm_ghz,delta_fwhm_ghz,raw_peak_power_uw,final_peak_power_uw,delta_peak_power_uw,raw_r_squared,final_r_squared
0p98mm_raw,0,Rising,raw,final,794.9744497084547,794.9744497084546,-1.1368683772161603e-13,377109.5512691565,377109.55126915657,5.820766091346741e-11,0.306086993233596,0.3060869932400784,6.482370196181364e-12,2.8072263396519483,3.2718407266623477,0.46461438701039937,0.9998523859070917,0.9998523859085237
0p98mm_raw,0,Falling,raw,final,794.9953711196986,794.9953711196986,0.0,377099.62710570515,377099.62710570515,0.0,0.30789711754147986,0.3078971175384832,-2.9966584769169913e-12,3.2352040649627223,3.235204065394591,4.318687629734086e-10,0.9999686894324734,0.9999686894327605
0p98mm_raw,1,Rising,raw,final,794.9906986999383,794.9906986999383,0.0,377101.84344327,377101.84344327,0.0,0.3059094624854752,0.3059094624855207,4.551914400963142e-14,2.980648061172569,2.980648061170291,-2.2781776465308212e-12,0.9992642688567079,0.9992642688567079
0p98mm_raw,1,Falling,raw,final,794.99068672163,794.99068672163,0.0,377101.84912515065,377101.84912515065,0.0,0.30481858865319417,0.3048185886532608,6.661338147750939e-14,2.946924820214743,2.946924820211687,-3.055777852978281e-12,0.9989978117963729,0.9989978117963729
0p98mm_raw,2,Rising,raw,final,794.9860807049523,794.9860807049523,0.0,377104.0339903305,377104.0339903305,0.0,0.3055476869086676,0.3055476869086658,-1.8318679906315083e-15,3.4124232434121438,3.4124232434120554,-8.837375276016246e-14,0.999207773373977,0.999207773373977
0p98mm_raw,2,Falling,raw,final,794.9860782871438,794.9860782871438,0.0,377104.0351372253,377104.0351372253,0.0,0.3040831213634227,0.3040831213633316,-9.10937991704941e-14,3.359271807751463,3.3592718077561297,4.666489417104458e-12,0.999271389243143,0.999271389243143
0p98mm_raw,3,Rising,raw,final,794.981469558987,794.981469558987,0.0,377106.2213139493,377106.2213139493,0.0,0.307669037386388,0.30766903738621665,-1.713629238508929e-13,3.520056658503409,3.5200566585069435,3.5345060211966484e-12,0.9995974626915662,0.9995974626915664
0p98mm_raw,3,Falling,raw,final,794.9814593258849,794.9814593258849,0.0,377106.22616810835,377106.22616810835,0.0,0.30804663965364454,0.30804663965365314,8.604228440844963e-15,3.4655390026182316,3.465539002617665,-5.666578317686799e-13,0.9994765740299217,0.9994765740299217
0p98mm_raw,4,Rising,raw,final,794.976804972648,794.976804972648,0.0,377108.43401313404,377108.43401313404,0.0,0.3047311844876687,0.30473118448194514,-5.723588270001301e-12,3.465602449262404,3.907435067683628,0.44183261842122423,0.9990801708828284,0.9990801708867555
0p98mm_raw,4,Falling,raw,final,794.9768102778286,794.9768102778286,0.0,377108.431496547,377108.431496547,0.0,0.30611385187354323,0.30611385187946155,5.918321388520553e-12,3.39026247209508,3.8224899323747596,0.43222746027967984,0.997052635523512,0.9970526355247801
0p98mm_raw,5,Rising,raw,final,794.9721642130587,794.9721642130586,-1.1368683772161603e-13,377110.6354355991,377110.63543559914,5.820766091346741e-11,0.3066704294140687,0.3066704294103047,-3.763989120386668e-12,3.2248291329865424,3.750198757898188,0.5253696249116455,0.9997905148570098,0.9997905148585625
0p98mm_raw,5,Falling,raw,final,794.97217355833,794.97217355833,0.0,377110.6310024864,377110.6310024864,0.0,0.3108838797404585,0.3108838797496069,9.148404256364984e-12,3.169155149464253,3.68545470619721,0.5162995567329571,0.9966377361629674,0.996637736164357
0p98mm_raw,6,Rising,raw,final,794.9884215565254,794.9884215565254,0.0,377102.92360362894,377102.92360362894,0.0,0.3022296394420292,0.30222963944189085,-1.383337888682945e-13,3.436418245945198,3.4364182459455086,3.1041835768519377e-13,0.9995026689757356,0.9995026689757356
