l,rising_lambda_nm,falling_lambda_nm,merged_lambda_nm,rising_nu_ghz,falling_nu_ghz,merged_nu_ghz,rising_falling_lambda_diff_nm,rising_falling_nu_diff_ghz,falling_branch_shift_fsr,m_l,k_fit_role,used_in_k_relative_fit
0,794.9744497084547,794.9953711196986,794.9744547477371,377109.5512691565,377099.62710570515,377109.5488786878,1.0078565082949353e-05,0.004780937451869249,1,0,reference,False
1,794.9906986999383,794.99068672163,794.9906927107841,377101.84344327,377101.84912515065,377101.84628421033,1.1978308293691953e-05,0.005681880633346736,0,-1,anchor,True
2,794.9860807049523,794.9860782871438,794.986079496048,377104.0339903305,377104.0351372253,377104.0345637779,2.4178085595849552e-06,0.0011468947632238269,0,-1,anchor,True
3,794.981469558987,794.9814593258849,794.9814644424359,377106.2213139493,377106.22616810835,377106.2237410288,1.0233102102574776e-05,0.004854159022215754,0,-1,anchor,True
4,794.976804972648,794.9768102778286,794.9768076252384,377108.43401313404,377108.431496547,377108.4327548405,5.3051805934956064e-06,0.002516587032005191,0,-1,anchor,True
5,794.9721642130587,794.97217355833,794.9721688856943,377110.6354355991,377110.6310024864,377110.63321904273,9.345271450911241e-06,0.004433112684637308,0,-1,anchor,True
6,794.9884215565254,794.988415276058,794.9884184162917,377102.92360362894,377102.92658277,377102.9250931995,6.280467346186924e-06,0.0029791410779580474,0,-2,anchor,True
7,794.9837944329336,794.9838077359088,794.9838010844212,377105.11849344504,377105.1121831026,377105.1153382738,1.3302975389706262e-05,0.006310342461802065,0,-2,anchor,True
8,794.9791674542329,795.0000964786437,794.9791761758056,377107.3133400808,377097.3856832147,377107.3092029047,1.74431455661761e-05,0.008274352177977562,1,-2,anchor,True
9,794.9745106497711,794.9745074885711,794.9745090691712,377109.5223606164,377109.5238601848,377109.52311040065,3.161199970236339e-06,0.0014995684032328427,0,-2,holdout,False
