l,lambda_center_nm,nu_center_ghz,fwhm_ghz,fwhm_nm,finesse,falling_branch_shift_fsr,rising_falling_lambda_diff_nm,rising_falling_fwhm_diff_ghz
0,794.9744547477371,377109.5488786878,0.30699205538753793,0.0006471787341428609,32.31152839253565,1,1.0078565082949353e-05,0.0018101243078838536
1,794.9906927107841,377101.84628421033,0.3053640255693347,0.0006437559524433894,32.48379535029759,0,1.1978308293691953e-05,0.001090873832281014
2,794.986079496048,377104.0345637779,0.30481540413604513,0.0006425919133594032,32.54226124841804,0,2.4178085595849552e-06,0.0014645655452449335
3,794.9814644424359,377106.2237410288,0.30785783852001625,0.0006489982394797741,32.220659255009906,0,1.0233102102574776e-05,0.0003776022672565271
4,794.9768076252384,377108.4327548405,0.30542251818060595,0.0006438567727325118,32.47757425689112,0,5.3051805934956064e-06,0.001382667385874503
5,794.9721688856943,377110.63321904273,0.3087771545772636,0.0006509210366225579,32.12472932953087,0,9.345271450911241e-06,0.0042134503263898115
6,794.9884184162917,377102.9250931995,0.3046232372036546,0.0006421905782950359,32.56279003858706,0,6.280467346186924e-06,0.004787195523250853
7,794.9838010844212,377105.1153382738,0.3009491363356863,0.0006344376637658168,32.960328893826684,0,1.3302975389706262e-05,0.00483135352091435
8,794.9791761758056,377107.3092029047,0.3087899527325424,0.0006509767753177379,32.1233978831201,1,1.74431455661761e-05,0.005780201447623146
9,794.9745090691712,377109.52311040065,0.30297638056515264,0.0006386964121892372,32.7397881492753,0,3.161199970236339e-06,0.008648944699615635
