k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87,rank_by_smin,rank_by_ERmin_F32p21,rank_by_ERmin_F87
7/29,0.2413793103448276,29,7,1/29,0.034482758620689655,87.0,0.4729305457072911,0.027069454292708905,True,3.441632986403526,6.245809010406742,6,0.6883604289488044,0.7959608063544715,11.525972203367118,14.445405587001451,6,0.9342542248471951,0.9611415257550245,1,7,5
8/29,0.27586206896551724,29,8,1/29,0.034482758620689655,87.0,0.5808909982763824,0.08089099827638235,True,3.511236487179718,7.336072727661652,4,0.6917880824982414,0.8266166460217051,11.587790024803589,15.671641519406846,4,0.9351231428895724,0.9678772849715799,2,5,4
6/29,0.20689655172413793,29,6,1/29,0.034482758620689655,87.0,0.36623583073538957,0.13376416926461043,True,3.9518031178915995,6.878878849092126,22,0.7129871265559123,0.8162982201916438,11.993222181604,15.13826701135436,22,0.9405618683293527,0.9658298095530592,3,2,2
