rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
39,9/38,0.23684210526315788,38,9,1/38,0.02631578947368421,114.0,0.4587103272638337,0.041289672736166294,True,1.6326765041972364,5.6253500735945545,27,0.5928929430147389,0.7531865002104587,9.372558392609085,13.719224869676621,27,0.8964243204394127,0.9451548179456873
40,13/51,0.2549019607843137,51,13,1/51,0.0196078431372549,153.0,0.515397529278085,0.01539752927808502,True,1.9849554697168843,6.263567991856877,10,0.6123148067026892,0.7752115743767009,9.347269028361712,14.15801459327688,10,0.895882410042618,0.9458332897618592
41,11/53,0.20754716981132076,53,11,1/53,0.018867924528301886,159.0,0.36820641696546624,0.13179358303453376,True,2.1343073462058797,6.85534190451041,22,0.6204461725834808,0.8125843744001348,9.339690796404565,15.022784420827415,22,0.8957195334401411,0.9616259459937574
42,17/57,0.2982456140350877,57,17,1/57,0.017543859649122806,171.0,0.6492574055008471,0.1492574055008471,True,2.3700690157711977,7.748539372673304,37,0.6331440173202811,0.8380137688961895,9.313995206303938,15.966317345379778,37,0.8951655892111573,0.9663709263771386
43,14/53,0.2641509433962264,53,14,1/53,0.018867924528301886,159.0,0.5443979476614675,0.04439794766146754,True,2.082604426681202,5.307592237786536,46,0.6176386303821695,0.7502056332866455,9.30024628359146,13.087078662209697,46,0.894868124888756,0.9395696286856484
44,15/62,0.24193548387096775,62,15,1/62,0.016129032258064516,186.0,0.4746754155806436,0.025324584419356422,True,2.8617799483060296,5.9310128522070515,4,0.6590242979130767,0.779822583019516,9.290532768518307,13.890891352036887,4,0.8946575196837029,0.9516972953720733
45,9/41,0.21951219512195122,41,9,1/41,0.024390243902439025,123.0,0.40480444541766575,0.09519555458233425,True,1.7590889551777162,3.6971414295791374,31,0.5998992179542314,0.6995209308417393,9.282356005161278,11.434208424655603,31,0.8944799453606536,0.9317382365979076
46,11/54,0.2037037037037037,54,11,1/54,0.018518518518518517,162.0,0.3565983836444549,0.1434016163555451,True,2.117916552071096,5.8705742384871655,27,0.6195569916955697,0.7633013084031585,9.258557645034633,13.624715988088889,27,0.8939616145071799,0.9418875000041805
47,11/51,0.21568627450980393,51,11,1/51,0.0196078431372549,153.0,0.3930334583967514,0.10696654160324859,True,1.8671604616658155,5.7277069973456145,18,0.6058568537414035,0.7715784947807612,9.256907558588287,13.779206938981323,18,0.8939255923787462,0.9494249155967741
48,15/53,0.2830188679245283,53,15,1/53,0.018867924528301886,159.0,0.6029893093705492,0.10298930937054918,True,1.9233376523418477,6.9741107166828655,15,0.6089414575857021,0.8120132152824192,9.179807611689686,15.166035838350064,15,0.8922304034736411,0.9610273871107481
