pareto_rank,pareto_metric,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87,rank_by_smin,rank_by_ERmin_F32p21,rank_by_ERmin_F87
1,ER_min_dB_F87,6/29,0.20689655172413793,29,6,1/29,0.034482758620689655,87.0,0.36623583073538957,0.13376416926461043,True,3.9518031178915995,6.878878849092126,22,0.7129871265559123,0.8162982201916438,11.993222181604,15.13826701135436,22,0.9405618683293527,0.9658298095530592,3,2,2
2,ER_min_dB_F87,10/37,0.2702702702702703,37,10,1/37,0.02702702702702703,111.0,0.5635089098734394,0.06350890987343938,True,4.188081021002088,7.258901067653814,15,0.7239901617671772,0.8309412960962083,12.049789819708248,15.507592706136542,15,0.9412858792483823,0.9685916555850258,10,1,1
