,in_1,in_6,in_10,in_18,in_22,in_27,in_37,in_46
out_1,1.0,0.0026378460488091274,0.002420451196229053,0.005567816884553629,0.022498097633230872,0.0036895010313428536,0.022083848761666462,0.002871449412843485
out_6,0.0026378460488091274,1.0,0.016712449553016956,0.002863233227718164,0.0024054820384730937,0.022498097633230917,0.003707203274266599,0.005526481736394447
out_10,0.002420451196229053,0.016712449553016956,1.0,0.004926634105514053,0.0028632332277181687,0.005567816884553607,0.0025595406513225045,0.022083848761665976
out_18,0.005567816884553629,0.002863233227718164,0.004926634105514053,1.0,0.016712449553017126,0.0024204511962290527,0.0031984661841961996,0.013144758405651024
out_22,0.022498097633230872,0.0024054820384730937,0.0028632332277181687,0.016712449553017126,1.0,0.0026378460488091274,0.006332636528503295,0.004443014073925808
out_27,0.0036895010313428536,0.022498097633230917,0.005567816884553607,0.0024204511962290527,0.0026378460488091274,1.0,0.007378781648716701,0.0031984661841961788
out_37,0.022083848761666462,0.003707203274266599,0.0025595406513225045,0.0031984661841961996,0.006332636528503295,0.007378781648716701,1.0,0.002420451196229055
out_46,0.002871449412843485,0.005526481736394447,0.022083848761665976,0.013144758405651024,0.004443014073925808,0.0031984661841961788,0.002420451196229055,1.0
