mode_i,mode_j,pos_i,pos_j,s_ij
1,6,0.2749933333333333,0.6499599999999999,0.37496666666666656
1,10,0.2749933333333333,0.7499333333333329,0.4749399999999996
1,18,0.2749933333333333,0.9498799999999994,0.3251133333333339
1,22,0.2749933333333333,0.04985333333333308,0.22514000000000023
1,27,0.2749933333333333,0.42481999999999953,0.14982666666666622
1,31,0.2749933333333333,0.5247933333333332,0.2497999999999999
1,37,0.2749933333333333,0.17475333333333332,0.10024
6,10,0.6499599999999999,0.7499333333333329,0.09997333333333303
6,18,0.6499599999999999,0.9498799999999994,0.2999199999999995
6,22,0.6499599999999999,0.04985333333333308,0.3998933333333332
6,27,0.6499599999999999,0.42481999999999953,0.22514000000000034
6,31,0.6499599999999999,0.5247933333333332,0.12516666666666665
6,37,0.6499599999999999,0.17475333333333332,0.47520666666666656
10,18,0.7499333333333329,0.9498799999999994,0.1999466666666665
10,22,0.7499333333333329,0.04985333333333308,0.2999200000000002
10,27,0.7499333333333329,0.42481999999999953,0.32511333333333337
10,31,0.7499333333333329,0.5247933333333332,0.22513999999999967
10,37,0.7499333333333329,0.17475333333333332,0.4248200000000004
18,22,0.9498799999999994,0.04985333333333308,0.09997333333333369
18,27,0.9498799999999994,0.42481999999999953,0.47494000000000014
18,31,0.9498799999999994,0.5247933333333332,0.42508666666666617
18,37,0.9498799999999994,0.17475333333333332,0.22487333333333392
22,27,0.04985333333333308,0.42481999999999953,0.37496666666666645
22,31,0.04985333333333308,0.5247933333333332,0.47494000000000014
22,37,0.04985333333333308,0.17475333333333332,0.12490000000000023
27,31,0.42481999999999953,0.5247933333333332,0.09997333333333369
27,37,0.42481999999999953,0.17475333333333332,0.2500666666666662
31,37,0.5247933333333332,0.17475333333333332,0.3500399999999999
