,in_1,in_6,in_10,in_18,in_22,in_27,in_31,in_37
out_1,1.0,0.0028152852193703863,0.0024187038822041053,0.003302040192961035,0.005674562973819631,0.011580214560379,0.004802035493503824,0.0245012802322449
out_6,0.0028152852193703863,1.0,0.024624692225819735,0.0036693290092322784,0.002657456221962171,0.005674562973819625,0.01614706190151546,0.0024183866667650683
out_10,0.0024187038822041053,0.024624692225819735,1.0,0.006929198213604794,0.003669329009232268,0.0033020401929610413,0.005674562973819652,0.002542665098883992
out_18,0.003302040192961035,0.0036693290092322784,0.006929198213604794,1.0,0.024624692225819422,0.0024187038822041044,0.0025416444430760945,0.005685642304340422
out_22,0.005674562973819631,0.002657456221962171,0.003669329009232268,0.024624692225819422,1.0,0.0028152852193703863,0.0024187038822041044,0.016211429829494146
out_27,0.011580214560379,0.005674562973819625,0.0033020401929610413,0.0024187038822041044,0.0028152852193703863,1.0,0.024624692225819422,0.004794031532378282
out_31,0.004802035493503824,0.01614706190151546,0.005674562973819652,0.0025416444430760945,0.0024187038822041044,0.024624692225819422,1.0,0.0030255647055863664
out_37,0.0245012802322449,0.0024183866667650683,0.002542665098883992,0.005685642304340422,0.016211429829494146,0.004794031532378282,0.0030255647055863664,1.0
