l,pos_meas,pos_fit,residual,m_l
0,0.0,0.0,0.0,0
1,0.7234806485339306,0.142914811674,0.4194341631400694,-1
2,0.9440865976065698,0.285829623348,0.34174302574143023,-1
3,0.16478234635048555,0.428744435022,0.26396208867151444,-1
4,0.3874752016858762,0.571659246696,0.1841840450101238,-1
5,0.6093126254798121,0.71457405837,0.10526143289018786,-1
6,0.8322288700452282,0.857488870044,0.02525999999877182,-3
7,0.05303602299852735,0.00040368171799998187,0.05263234128052737,-3
8,0.27335994241641115,0.14331849339199998,0.13004144902441117,-3
9,0.4973913275341176,0.286233305066,0.2111580224681176,-3
